
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Segment,2,1,1,100000000,510000000003,
2,,Segment,2,2,1,100000000,510000000023,
3,,Segment,3,2,1,100000000,510000000028,
3,,Segment,3,3,1,100000000,510000000050,
1,,Segment,1,2,1,100000000,510000000064,
2,,Segment,2,2,1,100000000,510000000068,
1,,Segment,1,2,1,100000000,510000000073,
2,,Segment,2,2,1,100000000,510000000075,
2,,Segment,2,3,1,100000000,510000000083,
2,,Segment,2,3,1,100000000,510000000086,
3,,Segment,3,3,1,100000000,510000000093,
4,,Segment,4,3,1,100000000,510000000096,
4,,Segment,4,4,1,100000000,510000000103,
3,,Segment,3,4,1,100000000,510000000110,
3,,Segment,3,2,1,100000000,510000000117,
4,,Segment,4,2,1,100000000,510000000124,
4,,Segment,4,3,1,100000000,510000000134,
3,,Segment,3,3,1,100000000,510000000137,
2,,Segment,2,3,1,100000000,510000000149,
3,,Segment,3,3,1,100000000,510000000151,
3,,Segment,3,4,1,100000000,510000000163,
3,,Segment,3,4,1,100000000,510000000184,
2,,Segment,2,3,1,100000000,510000000209,
2,,Segment,2,1,1,100000001,510000000226,
3,,Segment,3,1,1,100000001,510000000230,
2,,Segment,2,2,1,100000001,510000000252,
1,,Segment,1,1,1,100000001,510000000264,
3,,Segment,3,1,1,100000001,510000000274,
3,,Segment,3,2,1,100000001,510000000282,
4,,Segment,4,3,1,100000001,510000000314,
2,,Segment,2,2,1,100000001,510000000318,
3,,Segment,3,2,1,100000001,510000000326,
4,,Segment,4,2,1,100000001,510000000350,
4,,Segment,4,3,1,100000001,510000000359,
1,,Segment,1,1,1,100000001,510000000384,
2,,Segment,2,1,1,100000001,510000000397,
3,,Segment,3,2,1,100000001,510000000402,
1,,Segment,1,1,1,100000001,510000000417,
3,,Segment,3,3,1,100000001,510000000438,
2,,Segment,2,2,1,100000001,510000000458,
1,,Segment,1,1,1,100000002,510000000474,
2,,Segment,2,1,1,100000002,510000000493,
3,,Segment,3,1,1,100000002,510000000496,
1,,Segment,1,1,1,100000002,510000000506,
2,,Segment,2,1,1,100000002,510000000514,
1,,Segment,1,1,1,100000002,510000000526,
2,,Segment,2,1,1,100000002,510000000535,
1,,Segment,1,1,1,100000002,510000000544,
2,,Segment,2,1,1,100000002,510000000546,
3,,Segment,3,1,1,100000002,510000000554,
3,,Segment,3,2,1,100000002,510000000563,
1,,Segment,1,1,1,100000002,510000000581,
2,,Segment,2,2,1,100000002,510000000605,
1,,Segment,1,1,1,100000002,510000000623,
2,,Segment,2,1,1,100000002,510000000626,
3,,Segment,3,2,1,100000002,510000000644,
3,,Segment,3,2,1,100000002,510000000647,
4,,Segment,4,2,1,100000002,510000000649,
5,,Segment,5,2,1,100000002,510000000662,
2,,Segment,2,2,1,100000002,510000000683,
5,,Segment,5,3,1,100000002,510000000720,
2,,Segment,2,2,1,100000002,510000000724,
2,,Segment,2,2,1,100000002,510000000730,
2,,Segment,2,2,1,100000002,510000000738,
1,,Segment,1,1,1,100000002,510000000745,
2,,Segment,2,1,1,100000002,510000000749,
2,,Segment,2,2,1,100000002,510000000754,
1,,Segment,1,1,1,100000003,510000000764,
2,,Segment,2,1,1,100000003,510000000769,
2,,Segment,2,1,1,100000003,510000000781,
2,,Segment,2,2,1,100000003,510000000789,
2,,Segment,2,2,1,100000003,510000000797,
1,,Segment,1,1,1,100000003,510000000804,
1,,Segment,1,1,1,100000003,510000000823,
2,,Segment,2,2,1,100000003,510000000833,
1,,Segment,1,1,1,100000004,510000000849,
1,,Segment,1,1,1,100000004,510000000871,
3,,Segment,3,1,1,100000004,510000000884,
3,,Segment,3,2,1,100000004,510000000894,
3,,Segment,3,2,1,100000004,510000000902,
4,,Segment,4,2,1,100000004,510000000904,
5,,Segment,5,2,1,100000004,510000000915,
1,,Segment,1,1,1,100000004,510000000923,
4,,Segment,4,3,1,100000004,510000000942,
4,,Segment,4,3,1,100000004,510000000956,
3,,Segment,3,3,1,100000004,510000000973,
5,,Segment,5,3,1,100000004,510000000978,
4,,Segment,4,4,1,100000004,510000000984,
1,,Segment,1,1,1,100000005,510000000993,
2,,Segment,2,1,1,100000005,510000000995,
3,,Segment,3,1,1,100000005,510000000999,
2,,Segment,2,2,1,100000005,510000001015,
3,,Segment,3,3,1,100000005,510000001032,
3,,Segment,3,3,1,100000005,510000001055,
4,,Segment,4,2,1,100000005,510000001076,
5,,Segment,5,2,1,100000005,510000001082,
