
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.78136,°,Segment,2,1,1,100000000,510000000003,
60.7062,°,Segment,2,2,1,100000000,510000000023,
7.05661,°,Segment,3,2,1,100000000,510000000028,
8.54785,°,Segment,3,3,1,100000000,510000000050,
97.3929,°,Segment,1,2,1,100000000,510000000064,
5.31024,°,Segment,2,2,1,100000000,510000000068,
149.987,°,Segment,1,2,1,100000000,510000000073,
12.3772,°,Segment,2,2,1,100000000,510000000075,
53.1897,°,Segment,2,3,1,100000000,510000000083,
74.6057,°,Segment,2,3,1,100000000,510000000086,
6.02984,°,Segment,3,3,1,100000000,510000000093,
3.25883,°,Segment,4,3,1,100000000,510000000096,
84.2761,°,Segment,4,4,1,100000000,510000000103,
108.592,°,Segment,3,4,1,100000000,510000000110,
6.83931,°,Segment,3,2,1,100000000,510000000117,
0.100871,°,Segment,4,2,1,100000000,510000000124,
56.8995,°,Segment,4,3,1,100000000,510000000134,
105.319,°,Segment,3,3,1,100000000,510000000137,
117.026,°,Segment,2,3,1,100000000,510000000149,
28.2231,°,Segment,3,3,1,100000000,510000000151,
99.0319,°,Segment,3,4,1,100000000,510000000163,
92.2964,°,Segment,3,4,1,100000000,510000000184,
70.5675,°,Segment,2,3,1,100000000,510000000209,
5.38314,°,Segment,2,1,1,100000001,510000000226,
2.24027,°,Segment,3,1,1,100000001,510000000230,
69.7351,°,Segment,2,2,1,100000001,510000000252,
0,°,Segment,1,1,1,100000001,510000000264,
11.1658,°,Segment,3,1,1,100000001,510000000274,
114.077,°,Segment,3,2,1,100000001,510000000282,
2.77798,°,Segment,4,3,1,100000001,510000000314,
63.5736,°,Segment,2,2,1,100000001,510000000318,
4.40953,°,Segment,3,2,1,100000001,510000000326,
5.75408,°,Segment,4,2,1,100000001,510000000350,
45.0851,°,Segment,4,3,1,100000001,510000000359,
0,°,Segment,1,1,1,100000001,510000000384,
9.93331,°,Segment,2,1,1,100000001,510000000397,
48.1535,°,Segment,3,2,1,100000001,510000000402,
0,°,Segment,1,1,1,100000001,510000000417,
61.0718,°,Segment,3,3,1,100000001,510000000438,
41.334,°,Segment,2,2,1,100000001,510000000458,
0,°,Segment,1,1,1,100000002,510000000474,
11.2147,°,Segment,2,1,1,100000002,510000000493,
6.58645,°,Segment,3,1,1,100000002,510000000496,
0,°,Segment,1,1,1,100000002,510000000506,
15.0761,°,Segment,2,1,1,100000002,510000000514,
0,°,Segment,1,1,1,100000002,510000000526,
2.99905,°,Segment,2,1,1,100000002,510000000535,
0,°,Segment,1,1,1,100000002,510000000544,
1.63399,°,Segment,2,1,1,100000002,510000000546,
12.0937,°,Segment,3,1,1,100000002,510000000554,
39.8331,°,Segment,3,2,1,100000002,510000000563,
0,°,Segment,1,1,1,100000002,510000000581,
91.1355,°,Segment,2,2,1,100000002,510000000605,
0,°,Segment,1,1,1,100000002,510000000623,
10.1755,°,Segment,2,1,1,100000002,510000000626,
68.2127,°,Segment,3,2,1,100000002,510000000644,
45.9243,°,Segment,3,2,1,100000002,510000000647,
81.4628,°,Segment,4,2,1,100000002,510000000649,
5.67606,°,Segment,5,2,1,100000002,510000000662,
13.1848,°,Segment,2,2,1,100000002,510000000683,
70.392,°,Segment,5,3,1,100000002,510000000720,
82.9719,°,Segment,2,2,1,100000002,510000000724,
77.7361,°,Segment,2,2,1,100000002,510000000730,
126.559,°,Segment,2,2,1,100000002,510000000738,
0,°,Segment,1,1,1,100000002,510000000745,
5.11424,°,Segment,2,1,1,100000002,510000000749,
80.3554,°,Segment,2,2,1,100000002,510000000754,
0,°,Segment,1,1,1,100000003,510000000764,
2.68875,°,Segment,2,1,1,100000003,510000000769,
21.5793,°,Segment,2,1,1,100000003,510000000781,
13.2702,°,Segment,2,2,1,100000003,510000000789,
60.5196,°,Segment,2,2,1,100000003,510000000797,
0,°,Segment,1,1,1,100000003,510000000804,
0,°,Segment,1,1,1,100000003,510000000823,
11.1627,°,Segment,2,2,1,100000003,510000000833,
0,°,Segment,1,1,1,100000004,510000000849,
0,°,Segment,1,1,1,100000004,510000000871,
9.21959,°,Segment,3,1,1,100000004,510000000884,
45.4575,°,Segment,3,2,1,100000004,510000000894,
13.937,°,Segment,3,2,1,100000004,510000000902,
8.23669,°,Segment,4,2,1,100000004,510000000904,
4.05483,°,Segment,5,2,1,100000004,510000000915,
0,°,Segment,1,1,1,100000004,510000000923,
5.37447,°,Segment,4,3,1,100000004,510000000942,
128.14,°,Segment,4,3,1,100000004,510000000956,
73.9874,°,Segment,3,3,1,100000004,510000000973,
95.2202,°,Segment,5,3,1,100000004,510000000978,
18.1723,°,Segment,4,4,1,100000004,510000000984,
2.66587,°,Segment,1,1,1,100000005,510000000993,
9.14871,°,Segment,2,1,1,100000005,510000000995,
8.00869,°,Segment,3,1,1,100000005,510000000999,
72.8182,°,Segment,2,2,1,100000005,510000001015,
20.9629,°,Segment,3,3,1,100000005,510000001032,
64.2019,°,Segment,3,3,1,100000005,510000001055,
17.7831,°,Segment,4,2,1,100000005,510000001076,
1.94943,°,Segment,5,2,1,100000005,510000001082,
1.77927,°,Segment,6,3,1,100000005,510000001086,
31.7425,°,Segment,7,2,1,100000005,510000001093,
143.078,°,Segment,7,3,1,100000005,510000001101,
46.1033,°,Segment,4,3,1,100000005,510000001110,
6.84519,°,Segment,5,3,1,100000005,510000001117,
104.71,°,Segment,5,4,1,100000005,510000001124,
