
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
12.5754,°,Segment,2,1,1,100000000,510000000003,
42.7483,°,Segment,2,2,1,100000000,510000000023,
28.5148,°,Segment,3,2,1,100000000,510000000028,
17.8069,°,Segment,3,3,1,100000000,510000000050,
85.1841,°,Segment,1,2,1,100000000,510000000064,
17.326,°,Segment,2,2,1,100000000,510000000068,
146.232,°,Segment,1,2,1,100000000,510000000073,
26.2535,°,Segment,2,2,1,100000000,510000000075,
31.923,°,Segment,2,3,1,100000000,510000000083,
35.8568,°,Segment,2,3,1,100000000,510000000086,
8.79549,°,Segment,3,3,1,100000000,510000000093,
8.62516,°,Segment,4,3,1,100000000,510000000096,
63.2318,°,Segment,4,4,1,100000000,510000000103,
80.5557,°,Segment,3,4,1,100000000,510000000110,
20.8177,°,Segment,3,2,1,100000000,510000000117,
4.55677,°,Segment,4,2,1,100000000,510000000124,
55.2514,°,Segment,4,3,1,100000000,510000000134,
62.6558,°,Segment,3,3,1,100000000,510000000137,
110.219,°,Segment,2,3,1,100000000,510000000149,
35.6743,°,Segment,3,3,1,100000000,510000000151,
45.2343,°,Segment,3,4,1,100000000,510000000163,
61.745,°,Segment,3,4,1,100000000,510000000184,
55.9117,°,Segment,2,3,1,100000000,510000000209,
5.20601,°,Segment,2,1,1,100000001,510000000226,
8.48325,°,Segment,3,1,1,100000001,510000000230,
48.1982,°,Segment,2,2,1,100000001,510000000252,
0,°,Segment,1,1,1,100000001,510000000264,
16.8816,°,Segment,3,1,1,100000001,510000000274,
33.9201,°,Segment,3,2,1,100000001,510000000282,
3.44702,°,Segment,4,3,1,100000001,510000000314,
51.5431,°,Segment,2,2,1,100000001,510000000318,
23.657,°,Segment,3,2,1,100000001,510000000326,
6.50056,°,Segment,4,2,1,100000001,510000000350,
13.587,°,Segment,4,3,1,100000001,510000000359,
0,°,Segment,1,1,1,100000001,510000000384,
23.986,°,Segment,2,1,1,100000001,510000000397,
28.886,°,Segment,3,2,1,100000001,510000000402,
0,°,Segment,1,1,1,100000001,510000000417,
9.27885,°,Segment,3,3,1,100000001,510000000438,
36.4168,°,Segment,2,2,1,100000001,510000000458,
0,°,Segment,1,1,1,100000002,510000000474,
12.736,°,Segment,2,1,1,100000002,510000000493,
17.3153,°,Segment,3,1,1,100000002,510000000496,
0,°,Segment,1,1,1,100000002,510000000506,
28.8709,°,Segment,2,1,1,100000002,510000000514,
0,°,Segment,1,1,1,100000002,510000000526,
5.96841,°,Segment,2,1,1,100000002,510000000535,
0,°,Segment,1,1,1,100000002,510000000544,
38.4252,°,Segment,2,1,1,100000002,510000000546,
48.0403,°,Segment,3,1,1,100000002,510000000554,
12.5456,°,Segment,3,2,1,100000002,510000000563,
0,°,Segment,1,1,1,100000002,510000000581,
82.7408,°,Segment,2,2,1,100000002,510000000605,
0,°,Segment,1,1,1,100000002,510000000623,
27.1127,°,Segment,2,1,1,100000002,510000000626,
63.6598,°,Segment,3,2,1,100000002,510000000644,
52.0782,°,Segment,3,2,1,100000002,510000000647,
38.0706,°,Segment,4,2,1,100000002,510000000649,
31.2005,°,Segment,5,2,1,100000002,510000000662,
15.5829,°,Segment,2,2,1,100000002,510000000683,
42.986,°,Segment,5,3,1,100000002,510000000720,
48.6306,°,Segment,2,2,1,100000002,510000000724,
15.7737,°,Segment,2,2,1,100000002,510000000730,
61.2428,°,Segment,2,2,1,100000002,510000000738,
0,°,Segment,1,1,1,100000002,510000000745,
14.1855,°,Segment,2,1,1,100000002,510000000749,
39.0662,°,Segment,2,2,1,100000002,510000000754,
0,°,Segment,1,1,1,100000003,510000000764,
10.7131,°,Segment,2,1,1,100000003,510000000769,
51.8904,°,Segment,2,1,1,100000003,510000000781,
5.43,°,Segment,2,2,1,100000003,510000000789,
54.4952,°,Segment,2,2,1,100000003,510000000797,
0,°,Segment,1,1,1,100000003,510000000804,
0,°,Segment,1,1,1,100000003,510000000823,
11.5458,°,Segment,2,2,1,100000003,510000000833,
0,°,Segment,1,1,1,100000004,510000000849,
0,°,Segment,1,1,1,100000004,510000000871,
11.0982,°,Segment,3,1,1,100000004,510000000884,
41.6523,°,Segment,3,2,1,100000004,510000000894,
21.4062,°,Segment,3,2,1,100000004,510000000902,
10.2146,°,Segment,4,2,1,100000004,510000000904,
15.6099,°,Segment,5,2,1,100000004,510000000915,
0,°,Segment,1,1,1,100000004,510000000923,
34.0131,°,Segment,4,3,1,100000004,510000000942,
48.9075,°,Segment,4,3,1,100000004,510000000956,
76.7081,°,Segment,3,3,1,100000004,510000000973,
54.6381,°,Segment,5,3,1,100000004,510000000978,
18.9986,°,Segment,4,4,1,100000004,510000000984,
3.40542,°,Segment,1,1,1,100000005,510000000993,
12.6318,°,Segment,2,1,1,100000005,510000000995,
18.9654,°,Segment,3,1,1,100000005,510000000999,
58.2874,°,Segment,2,2,1,100000005,510000001015,
36.9179,°,Segment,3,3,1,100000005,510000001032,
81.8632,°,Segment,3,3,1,100000005,510000001055,
22.1019,°,Segment,4,2,1,100000005,510000001076,
7.78903,°,Segment,5,2,1,100000005,510000001082,
1.85604,°,Segment,6,3,1,100000005,510000001086,
60.8987,°,Segment,7,2,1,100000005,510000001093,
127.142,°,Segment,7,3,1,100000005,510000001101,
47.062,°,Segment,4,3,1,100000005,510000001110,
25.6042,°,Segment,5,3,1,100000005,510000001117,
74.5365,°,Segment,5,4,1,100000005,510000001124,
38.0264,°,Segment,5,3,1,100000005,510000001129,
76.3411,°,Segment,2,3,1,100000005,510000001133,
19.2573,°,Segment,3,4,1,100000005,510000001136,
101.857,°,Segment,3,3,1,100000005,510000001156,
49.8281,°,Segment,4,3,1,100000005,510000001159,
