
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
145.143,,Segment,1,2,Image 1,1,1,100000000,510000000003,
194.667,,Segment,1,2,Image 1,2,1,100000000,510000000023,
214.913,,Segment,1,3,Image 1,2,1,100000000,510000000028,
206.867,,Segment,1,3,Image 1,3,1,100000000,510000000050,
177.4,,Segment,1,1,Image 1,2,1,100000000,510000000064,
145.8,,Segment,1,2,Image 1,2,1,100000000,510000000068,
176.667,,Segment,1,1,Image 1,2,1,100000000,510000000073,
129.222,,Segment,1,2,Image 1,2,1,100000000,510000000075,
170.75,,Segment,1,2,Image 1,3,1,100000000,510000000083,
214.625,,Segment,1,2,Image 1,3,1,100000000,510000000086,
228.5,,Segment,1,3,Image 1,3,1,100000000,510000000093,
181.875,,Segment,1,4,Image 1,3,1,100000000,510000000096,
202.625,,Segment,1,4,Image 1,4,1,100000000,510000000103,
143.5,,Segment,1,3,Image 1,4,1,100000000,510000000110,
178.625,,Segment,1,3,Image 1,2,1,100000000,510000000117,
126.091,,Segment,1,4,Image 1,2,1,100000000,510000000124,
103.25,,Segment,1,4,Image 1,3,1,100000000,510000000134,
234.769,,Segment,1,3,Image 1,3,1,100000000,510000000137,
165,,Segment,1,2,Image 1,3,1,100000000,510000000149,
101.462,,Segment,1,3,Image 1,3,1,100000000,510000000151,
137.727,,Segment,1,3,Image 1,4,1,100000000,510000000163,
120.923,,Segment,1,3,Image 1,4,1,100000000,510000000184,
107.375,,Segment,1,2,Image 1,3,1,100000000,510000000209,
242.4,,Segment,1,2,Image 1,1,1,100000001,510000000226,
169.087,,Segment,1,3,Image 1,1,1,100000001,510000000230,
125,,Segment,1,2,Image 1,2,1,100000001,510000000252,
172.312,,Segment,1,1,Image 1,1,1,100000001,510000000264,
190.333,,Segment,1,3,Image 1,1,1,100000001,510000000274,
189.455,,Segment,1,3,Image 1,2,1,100000001,510000000282,
226,,Segment,1,4,Image 1,3,1,100000001,510000000314,
177.444,,Segment,1,2,Image 1,2,1,100000001,510000000318,
167.32,,Segment,1,3,Image 1,2,1,100000001,510000000326,
156,,Segment,1,4,Image 1,2,1,100000001,510000000350,
182.962,,Segment,1,4,Image 1,3,1,100000001,510000000359,
177.786,,Segment,1,1,Image 1,1,1,100000001,510000000384,
160.833,,Segment,1,2,Image 1,1,1,100000001,510000000397,
179.812,,Segment,1,3,Image 1,2,1,100000001,510000000402,
176.933,,Segment,1,1,Image 1,1,1,100000001,510000000417,
139.19,,Segment,1,3,Image 1,3,1,100000001,510000000438,
166.625,,Segment,1,2,Image 1,2,1,100000001,510000000458,
141.85,,Segment,1,1,Image 1,1,1,100000002,510000000474,
174.75,,Segment,1,2,Image 1,1,1,100000002,510000000493,
148.4,,Segment,1,3,Image 1,1,1,100000002,510000000496,
155,,Segment,1,1,Image 1,1,1,100000002,510000000506,
116.923,,Segment,1,2,Image 1,1,1,100000002,510000000514,
159.7,,Segment,1,1,Image 1,1,1,100000002,510000000526,
122.2,,Segment,1,2,Image 1,1,1,100000002,510000000535,
255,,Segment,1,1,Image 1,1,1,100000002,510000000544,
201.667,,Segment,1,2,Image 1,1,1,100000002,510000000546,
174.2,,Segment,1,3,Image 1,1,1,100000002,510000000554,
108.368,,Segment,1,3,Image 1,2,1,100000002,510000000563,
154.04,,Segment,1,1,Image 1,1,1,100000002,510000000581,
121.158,,Segment,1,2,Image 1,2,1,100000002,510000000605,
111.5,,Segment,1,1,Image 1,1,1,100000002,510000000623,
111.263,,Segment,1,2,Image 1,1,1,100000002,510000000626,
173,,Segment,1,3,Image 1,2,1,100000002,510000000644,
125.333,,Segment,1,3,Image 1,2,1,100000002,510000000647,
126.857,,Segment,1,4,Image 1,2,1,100000002,510000000649,
164.818,,Segment,1,5,Image 1,2,1,100000002,510000000662,
138.105,,Segment,1,2,Image 1,2,1,100000002,510000000683,
197.8,,Segment,1,5,Image 1,3,1,100000002,510000000720,
131.286,,Segment,1,2,Image 1,2,1,100000002,510000000724,
90.8889,,Segment,1,2,Image 1,2,1,100000002,510000000730,
123,,Segment,1,2,Image 1,2,1,100000002,510000000738,
181.2,,Segment,1,1,Image 1,1,1,100000002,510000000745,
82.1667,,Segment,1,2,Image 1,1,1,100000002,510000000749,
112.5,,Segment,1,2,Image 1,2,1,100000002,510000000754,
144.167,,Segment,1,1,Image 1,1,1,100000003,510000000764,
106.5,,Segment,1,2,Image 1,1,1,100000003,510000000769,
71.2222,,Segment,1,2,Image 1,1,1,100000003,510000000781,
76.2222,,Segment,1,2,Image 1,2,1,100000003,510000000789,
162.143,,Segment,1,2,Image 1,2,1,100000003,510000000797,
119.25,,Segment,1,1,Image 1,1,1,100000003,510000000804,
148.9,,Segment,1,1,Image 1,1,1,100000003,510000000823,
144.25,,Segment,1,2,Image 1,2,1,100000003,510000000833,
119.783,,Segment,1,1,Image 1,1,1,100000004,510000000849,
128,,Segment,1,1,Image 1,1,1,100000004,510000000871,
148.455,,Segment,1,3,Image 1,1,1,100000004,510000000884,
96,,Segment,1,3,Image 1,2,1,100000004,510000000894,
147,,Segment,1,3,Image 1,2,1,100000004,510000000902,
184.25,,Segment,1,4,Image 1,2,1,100000004,510000000904,
80.1111,,Segment,1,5,Image 1,2,1,100000004,510000000915,
159.632,,Segment,1,1,Image 1,1,1,100000004,510000000923,
100.733,,Segment,1,4,Image 1,3,1,100000004,510000000942,
98.9444,,Segment,1,4,Image 1,3,1,100000004,510000000956,
120,,Segment,1,3,Image 1,3,1,100000004,510000000973,
88.1429,,Segment,1,5,Image 1,3,1,100000004,510000000978,
97.125,,Segment,1,4,Image 1,4,1,100000004,510000000984,
221.667,,Segment,1,1,Image 1,1,1,100000005,510000000993,
163.6,,Segment,1,2,Image 1,1,1,100000005,510000000995,
112.882,,Segment,1,3,Image 1,1,1,100000005,510000000999,
99.8125,,Segment,1,2,Image 1,2,1,100000005,510000001015,
117.333,,Segment,1,3,Image 1,3,1,100000005,510000001032,
142.381,,Segment,1,3,Image 1,3,1,100000005,510000001055,
206.571,,Segment,1,4,Image 1,2,1,100000005,510000001076,
219.4,,Segment,1,5,Image 1,2,1,100000005,510000001082,
190.143,,Segment,1,6,Image 1,3,1,100000005,510000001086,
127.25,,Segment,1,7,Image 1,2,1,100000005,510000001093,
131.4,,Segment,1,7,Image 1,3,1,100000005,510000001101,
235.875,,Segment,1,4,Image 1,3,1,100000005,510000001110,
251.714,,Segment,1,5,Image 1,3,1,100000005,510000001117,
124.833,,Segment,1,5,Image 1,4,1,100000005,510000001124,
139.75,,Segment,1,5,Image 1,3,1,100000005,510000001129,
201.75,,Segment,1,2,Image 1,3,1,100000005,510000001133,
135.619,,Segment,1,3,Image 1,4,1,100000005,510000001136,
88.25,,Segment,1,3,Image 1,3,1,100000005,510000001156,
87.4118,,Segment,1,4,Image 1,3,1,100000005,510000001159,
89.6471,,Segment,1,4,Image 1,4,1,100000005,510000001175,
141.643,,Segment,1,3,Image 1,2,1,100000005,510000001191,
101.944,,Segment,1,4,Image 1,2,1,100000005,510000001204,
87.5625,,Segment,1,4,Image 1,3,1,100000005,510000001221,
141.391,,Segment,1,3,Image 1,4,1,100000005,510000001236,
154,,Segment,1,1,Image 1,1,1,100000006,510000001259,
185.667,,Segment,1,2,Image 1,1,1,100000006,510000001262,
181,,Segment,1,3,Image 1,1,1,100000006,510000001267,
156.286,,Segment,1,2,Image 1,2,1,100000006,510000001272,
113,,Segment,1,3,Image 1,3,1,100000006,510000001278,
105.667,,Segment,1,2,Image 1,1,1,100000006,510000001285,
137.333,,Segment,1,1,Image 1,1,1,100000006,510000001329,
136.091,,Segment,1,2,Image 1,1,1,100000006,510000001331,
125.556,,Segment,1,2,Image 1,2,1,100000006,510000001353,
118.8,,Segment,1,2,Image 1,2,1,100000006,510000001379,
167,,Segment,1,4,Image 1,2,1,100000006,510000001399,
131,,Segment,1,3,Image 1,1,1,100000006,510000001408,
150.333,,Segment,1,2,Image 1,2,1,100000006,510000001416,
130.077,,Segment,1,3,Image 1,2,1,100000006,510000001418,
107.474,,Segment,1,3,Image 1,3,1,100000006,510000001430,
156.611,,Segment,1,3,Image 1,2,1,100000006,510000001448,
138.857,,Segment,1,3,Image 1,2,1,100000006,510000001465,
146,,Segment,1,4,Image 1,3,1,100000006,510000001486,
167.909,,Segment,1,2,Image 1,1,1,100000007,510000001536,
50,,Segment,1,3,Image 1,1,1,100000007,510000001546,
66.3333,,Segment,1,4,Image 1,1,1,100000007,510000001549,
101.304,,Segment,1,5,Image 1,1,1,100000007,510000001551,
133.667,,Segment,1,6,Image 1,1,1,100000007,510000001573,
104.333,,Segment,1,6,Image 1,2,1,100000007,510000001575,
117.763,,Segment,1,3,Image 1,2,1,100000007,510000001583,
145,,Segment,1,2,Image 1,2,1,100000007,510000001620,
122.333,,Segment,1,3,Image 1,2,1,100000007,510000001624,
164,,Segment,1,4,Image 1,2,1,100000007,510000001626,
150,,Segment,1,4,Image 1,3,1,100000007,510000001628,
76.3333,,Segment,1,3,Image 1,3,1,100000007,510000001630,
239,,Segment,1,1,Image 1,1,1,100000007,510000001632,
142.8,,Segment,1,2,Image 1,1,1,100000007,510000001634,
128.941,,Segment,1,2,Image 1,1,1,100000007,510000001639,
166.2,,Segment,1,2,Image 1,2,1,100000007,510000001655,
117.273,,Segment,1,3,Image 1,2,1,100000007,510000001659,
89.2,,Segment,1,3,Image 1,3,1,100000007,510000001680,
134.875,,Segment,1,2,Image 1,2,1,100000007,510000001689,
87.6429,,Segment,1,5,Image 1,2,1,100000007,510000001704,
82.6,,Segment,1,4,Image 1,2,1,100000007,510000001717,
115.167,,Segment,1,2,Image 1,2,1,100000007,510000001731,
183.222,,Segment,1,1,Image 1,1,1,100000008,510000001749,
255,,Segment,1,1,Image 1,1,1,100000008,510000001766,
255,,Segment,1,2,Image 1,1,1,100000008,510000001768,
153.176,,Segment,1,4,Image 1,1,1,100000008,510000001772,
192.538,,Segment,1,4,Image 1,2,1,100000008,510000001788,
155.875,,Segment,1,2,Image 1,2,1,100000008,510000001800,
110.15,,Segment,1,3,Image 1,2,1,100000008,510000001831,
126.556,,Segment,1,3,Image 1,3,1,100000008,510000001850,
218.111,,Segment,1,3,Image 1,2,1,100000008,510000001867,
164.87,,Segment,1,4,Image 1,2,1,100000008,510000001875,
130.769,,Segment,1,1,Image 1,1,1,100000008,510000001928,
249.5,,Segment,1,1,Image 1,1,1,100000008,510000001966,
206,,Segment,1,2,Image 1,1,1,100000008,510000001969,
181.857,,Segment,1,3,Image 1,1,1,100000008,510000001975,
121.5,,Segment,1,4,Image 1,1,1,100000008,510000001981,
142.444,,Segment,1,1,Image 1,1,1,100000008,510000001996,
84.4091,,Segment,1,3,Image 1,2,1,100000008,510000002049,
135.082,,Segment,1,4,Image 1,2,1,100000008,510000002070,
135.462,,Segment,1,2,Image 1,2,1,100000008,510000002130,
165.462,,Segment,1,1,Image 1,1,1,100000008,510000002155,
202.25,,Segment,1,4,Image 1,3,1,100000008,510000002180,
181,,Segment,1,5,Image 1,3,1,100000008,510000002187,
146.5,,Segment,1,5,Image 1,4,1,100000008,510000002191,
