
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
163.125,,Segment,3,2,Image 1,1,1,100000000,510000000003,
93.5625,,Segment,3,2,Image 1,2,1,100000000,510000000023,
115.062,,Segment,3,3,Image 1,2,1,100000000,510000000028,
126.062,,Segment,3,3,Image 1,3,1,100000000,510000000050,
133.062,,Segment,3,1,Image 1,2,1,100000000,510000000064,
172.062,,Segment,3,2,Image 1,2,1,100000000,510000000068,
114.031,,Segment,3,1,Image 1,2,1,100000000,510000000073,
167.062,,Segment,3,2,Image 1,2,1,100000000,510000000075,
162.031,,Segment,3,2,Image 1,3,1,100000000,510000000083,
76.5625,,Segment,3,2,Image 1,3,1,100000000,510000000086,
96.5625,,Segment,3,3,Image 1,3,1,100000000,510000000093,
133.062,,Segment,3,4,Image 1,3,1,100000000,510000000096,
134.625,,Segment,3,4,Image 1,4,1,100000000,510000000103,
166.062,,Segment,3,3,Image 1,4,1,100000000,510000000110,
118.062,,Segment,3,3,Image 1,2,1,100000000,510000000117,
168.031,,Segment,3,4,Image 1,2,1,100000000,510000000124,
179.008,,Segment,3,4,Image 1,3,1,100000000,510000000134,
73.125,,Segment,3,3,Image 1,3,1,100000000,510000000137,
107.125,,Segment,3,2,Image 1,3,1,100000000,510000000149,
194.031,,Segment,3,3,Image 1,3,1,100000000,510000000151,
166.125,,Segment,3,3,Image 1,4,1,100000000,510000000163,
185.062,,Segment,3,3,Image 1,4,1,100000000,510000000184,
197.562,,Segment,3,2,Image 1,3,1,100000000,510000000209,
67.0625,,Segment,3,2,Image 1,1,1,100000001,510000000226,
163.125,,Segment,3,3,Image 1,1,1,100000001,510000000230,
174.125,,Segment,3,2,Image 1,2,1,100000001,510000000252,
174.125,,Segment,3,1,Image 1,1,1,100000001,510000000264,
118.125,,Segment,3,3,Image 1,1,1,100000001,510000000274,
130.125,,Segment,3,3,Image 1,2,1,100000001,510000000282,
131.062,,Segment,3,4,Image 1,3,1,100000001,510000000314,
92.125,,Segment,3,2,Image 1,2,1,100000001,510000000318,
147.125,,Segment,3,3,Image 1,2,1,100000001,510000000326,
173.125,,Segment,3,4,Image 1,2,1,100000001,510000000350,
164.625,,Segment,3,4,Image 1,3,1,100000001,510000000359,
132.125,,Segment,3,1,Image 1,1,1,100000001,510000000384,
159.562,,Segment,3,2,Image 1,1,1,100000001,510000000397,
151.125,,Segment,3,3,Image 1,2,1,100000001,510000000402,
137.125,,Segment,3,1,Image 1,1,1,100000001,510000000417,
169.125,,Segment,3,3,Image 1,3,1,100000001,510000000438,
157.562,,Segment,3,2,Image 1,2,1,100000001,510000000458,
169.625,,Segment,3,1,Image 1,1,1,100000002,510000000474,
173.008,,Segment,3,2,Image 1,1,1,100000002,510000000493,
171.531,,Segment,3,3,Image 1,1,1,100000002,510000000496,
168.125,,Segment,3,1,Image 1,1,1,100000002,510000000506,
194.062,,Segment,3,2,Image 1,1,1,100000002,510000000514,
164.125,,Segment,3,1,Image 1,1,1,100000002,510000000526,
199.562,,Segment,3,2,Image 1,1,1,100000002,510000000535,
20.0156,,Segment,3,1,Image 1,1,1,100000002,510000000544,
104.125,,Segment,3,2,Image 1,1,1,100000002,510000000546,
148.625,,Segment,3,3,Image 1,1,1,100000002,510000000554,
200.062,,Segment,3,3,Image 1,2,1,100000002,510000000563,
178.125,,Segment,3,1,Image 1,1,1,100000002,510000000581,
192.125,,Segment,3,2,Image 1,2,1,100000002,510000000605,
144.625,,Segment,3,1,Image 1,1,1,100000002,510000000623,
198.062,,Segment,3,2,Image 1,1,1,100000002,510000000626,
164.531,,Segment,3,3,Image 1,2,1,100000002,510000000644,
172.008,,Segment,3,3,Image 1,2,1,100000002,510000000647,
198.062,,Segment,3,4,Image 1,2,1,100000002,510000000649,
187.625,,Segment,3,5,Image 1,2,1,100000002,510000000662,
181.562,,Segment,3,2,Image 1,2,1,100000002,510000000683,
82.125,,Segment,3,5,Image 1,3,1,100000002,510000000720,
