
Segment Center Intensity Min Ch=4 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,2,Image 1,1,1,100000000,510000000003,
0,,Segment,4,2,Image 1,2,1,100000000,510000000023,
0,,Segment,4,3,Image 1,2,1,100000000,510000000028,
0,,Segment,4,3,Image 1,3,1,100000000,510000000050,
0,,Segment,4,1,Image 1,2,1,100000000,510000000064,
0,,Segment,4,2,Image 1,2,1,100000000,510000000068,
0,,Segment,4,1,Image 1,2,1,100000000,510000000073,
0,,Segment,4,2,Image 1,2,1,100000000,510000000075,
0,,Segment,4,2,Image 1,3,1,100000000,510000000083,
0,,Segment,4,2,Image 1,3,1,100000000,510000000086,
0,,Segment,4,3,Image 1,3,1,100000000,510000000093,
0,,Segment,4,4,Image 1,3,1,100000000,510000000096,
0,,Segment,4,4,Image 1,4,1,100000000,510000000103,
0,,Segment,4,3,Image 1,4,1,100000000,510000000110,
0,,Segment,4,3,Image 1,2,1,100000000,510000000117,
0,,Segment,4,4,Image 1,2,1,100000000,510000000124,
0,,Segment,4,4,Image 1,3,1,100000000,510000000134,
0,,Segment,4,3,Image 1,3,1,100000000,510000000137,
0,,Segment,4,2,Image 1,3,1,100000000,510000000149,
0,,Segment,4,3,Image 1,3,1,100000000,510000000151,
0,,Segment,4,3,Image 1,4,1,100000000,510000000163,
0,,Segment,4,3,Image 1,4,1,100000000,510000000184,
0,,Segment,4,2,Image 1,3,1,100000000,510000000209,
0,,Segment,4,2,Image 1,1,1,100000001,510000000226,
0,,Segment,4,3,Image 1,1,1,100000001,510000000230,
0,,Segment,4,2,Image 1,2,1,100000001,510000000252,
0,,Segment,4,1,Image 1,1,1,100000001,510000000264,
0,,Segment,4,3,Image 1,1,1,100000001,510000000274,
0,,Segment,4,3,Image 1,2,1,100000001,510000000282,
0,,Segment,4,4,Image 1,3,1,100000001,510000000314,
0,,Segment,4,2,Image 1,2,1,100000001,510000000318,
0,,Segment,4,3,Image 1,2,1,100000001,510000000326,
0,,Segment,4,4,Image 1,2,1,100000001,510000000350,
0,,Segment,4,4,Image 1,3,1,100000001,510000000359,
0,,Segment,4,1,Image 1,1,1,100000001,510000000384,
0,,Segment,4,2,Image 1,1,1,100000001,510000000397,
0,,Segment,4,3,Image 1,2,1,100000001,510000000402,
0,,Segment,4,1,Image 1,1,1,100000001,510000000417,
0,,Segment,4,3,Image 1,3,1,100000001,510000000438,
0,,Segment,4,2,Image 1,2,1,100000001,510000000458,
0,,Segment,4,1,Image 1,1,1,100000002,510000000474,
0,,Segment,4,2,Image 1,1,1,100000002,510000000493,
0,,Segment,4,3,Image 1,1,1,100000002,510000000496,
0,,Segment,4,1,Image 1,1,1,100000002,510000000506,
0,,Segment,4,2,Image 1,1,1,100000002,510000000514,
0,,Segment,4,1,Image 1,1,1,100000002,510000000526,
0,,Segment,4,2,Image 1,1,1,100000002,510000000535,
0,,Segment,4,1,Image 1,1,1,100000002,510000000544,
0,,Segment,4,2,Image 1,1,1,100000002,510000000546,
0,,Segment,4,3,Image 1,1,1,100000002,510000000554,
0,,Segment,4,3,Image 1,2,1,100000002,510000000563,
0,,Segment,4,1,Image 1,1,1,100000002,510000000581,
0,,Segment,4,2,Image 1,2,1,100000002,510000000605,
0,,Segment,4,1,Image 1,1,1,100000002,510000000623,
0,,Segment,4,2,Image 1,1,1,100000002,510000000626,
0,,Segment,4,3,Image 1,2,1,100000002,510000000644,
0,,Segment,4,3,Image 1,2,1,100000002,510000000647,
0,,Segment,4,4,Image 1,2,1,100000002,510000000649,
0,,Segment,4,5,Image 1,2,1,100000002,510000000662,
0,,Segment,4,2,Image 1,2,1,100000002,510000000683,
0,,Segment,4,5,Image 1,3,1,100000002,510000000720,
0,,Segment,4,2,Image 1,2,1,100000002,510000000724,
0,,Segment,4,2,Image 1,2,1,100000002,510000000730,
0,,Segment,4,2,Image 1,2,1,100000002,510000000738,
0,,Segment,4,1,Image 1,1,1,100000002,510000000745,
0,,Segment,4,2,Image 1,1,1,100000002,510000000749,
0,,Segment,4,2,Image 1,2,1,100000002,510000000754,
0,,Segment,4,1,Image 1,1,1,100000003,510000000764,
0,,Segment,4,2,Image 1,1,1,100000003,510000000769,
0,,Segment,4,2,Image 1,1,1,100000003,510000000781,
0,,Segment,4,2,Image 1,2,1,100000003,510000000789,
0,,Segment,4,2,Image 1,2,1,100000003,510000000797,
0,,Segment,4,1,Image 1,1,1,100000003,510000000804,
0,,Segment,4,1,Image 1,1,1,100000003,510000000823,
0,,Segment,4,2,Image 1,2,1,100000003,510000000833,
0,,Segment,4,1,Image 1,1,1,100000004,510000000849,
0,,Segment,4,1,Image 1,1,1,100000004,510000000871,
0,,Segment,4,3,Image 1,1,1,100000004,510000000884,
0,,Segment,4,3,Image 1,2,1,100000004,510000000894,
0,,Segment,4,3,Image 1,2,1,100000004,510000000902,
0,,Segment,4,4,Image 1,2,1,100000004,510000000904,
0,,Segment,4,5,Image 1,2,1,100000004,510000000915,
0,,Segment,4,1,Image 1,1,1,100000004,510000000923,
0,,Segment,4,4,Image 1,3,1,100000004,510000000942,
0,,Segment,4,4,Image 1,3,1,100000004,510000000956,
0,,Segment,4,3,Image 1,3,1,100000004,510000000973,
0,,Segment,4,5,Image 1,3,1,100000004,510000000978,
0,,Segment,4,4,Image 1,4,1,100000004,510000000984,
0,,Segment,4,1,Image 1,1,1,100000005,510000000993,
0,,Segment,4,2,Image 1,1,1,100000005,510000000995,
0,,Segment,4,3,Image 1,1,1,100000005,510000000999,
0,,Segment,4,2,Image 1,2,1,100000005,510000001015,
0,,Segment,4,3,Image 1,3,1,100000005,510000001032,
0,,Segment,4,3,Image 1,3,1,100000005,510000001055,
0,,Segment,4,4,Image 1,2,1,100000005,510000001076,
0,,Segment,4,5,Image 1,2,1,100000005,510000001082,
0,,Segment,4,6,Image 1,3,1,100000005,510000001086,
0,,Segment,4,7,Image 1,2,1,100000005,510000001093,
0,,Segment,4,7,Image 1,3,1,100000005,510000001101,
0,,Segment,4,4,Image 1,3,1,100000005,510000001110,
0,,Segment,4,5,Image 1,3,1,100000005,510000001117,
0,,Segment,4,5,Image 1,4,1,100000005,510000001124,
0,,Segment,4,5,Image 1,3,1,100000005,510000001129,
0,,Segment,4,2,Image 1,3,1,100000005,510000001133,
0,,Segment,4,3,Image 1,4,1,100000005,510000001136,
0,,Segment,4,3,Image 1,3,1,100000005,510000001156,
0,,Segment,4,4,Image 1,3,1,100000005,510000001159,
0,,Segment,4,4,Image 1,4,1,100000005,510000001175,
0,,Segment,4,3,Image 1,2,1,100000005,510000001191,
0,,Segment,4,4,Image 1,2,1,100000005,510000001204,
0,,Segment,4,4,Image 1,3,1,100000005,510000001221,
0,,Segment,4,3,Image 1,4,1,100000005,510000001236,
0,,Segment,4,1,Image 1,1,1,100000006,510000001259,
0,,Segment,4,2,Image 1,1,1,100000006,510000001262,
0,,Segment,4,3,Image 1,1,1,100000006,510000001267,
0,,Segment,4,2,Image 1,2,1,100000006,510000001272,
