
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
84.0812,,Segment,1,2,Image 1,1,1,100000000,510000000003,
89.966,,Segment,1,2,Image 1,2,1,100000000,510000000023,
61.0452,,Segment,1,3,Image 1,2,1,100000000,510000000028,
54.2474,,Segment,1,3,Image 1,3,1,100000000,510000000050,
28.4577,,Segment,1,1,Image 1,2,1,100000000,510000000064,
55.6539,,Segment,1,2,Image 1,2,1,100000000,510000000068,
32.2525,,Segment,1,1,Image 1,2,1,100000000,510000000073,
35.574,,Segment,1,2,Image 1,2,1,100000000,510000000075,
35.3933,,Segment,1,2,Image 1,3,1,100000000,510000000083,
55.7448,,Segment,1,2,Image 1,3,1,100000000,510000000086,
28.4121,,Segment,1,3,Image 1,3,1,100000000,510000000093,
83.6891,,Segment,1,4,Image 1,3,1,100000000,510000000096,
54.8451,,Segment,1,4,Image 1,4,1,100000000,510000000103,
59.57,,Segment,1,3,Image 1,4,1,100000000,510000000110,
48.0545,,Segment,1,3,Image 1,2,1,100000000,510000000117,
38.0895,,Segment,1,4,Image 1,2,1,100000000,510000000124,
33.1841,,Segment,1,4,Image 1,3,1,100000000,510000000134,
32.1562,,Segment,1,3,Image 1,3,1,100000000,510000000137,
73.0114,,Segment,1,2,Image 1,3,1,100000000,510000000149,
55.8606,,Segment,1,3,Image 1,3,1,100000000,510000000151,
65.6431,,Segment,1,3,Image 1,4,1,100000000,510000000163,
53.2439,,Segment,1,3,Image 1,4,1,100000000,510000000184,
35.0123,,Segment,1,2,Image 1,3,1,100000000,510000000209,
12.8468,,Segment,1,2,Image 1,1,1,100000001,510000000226,
64.5546,,Segment,1,3,Image 1,1,1,100000001,510000000230,
52.2582,,Segment,1,2,Image 1,2,1,100000001,510000000252,
67.2205,,Segment,1,1,Image 1,1,1,100000001,510000000264,
84.643,,Segment,1,3,Image 1,1,1,100000001,510000000274,
64.477,,Segment,1,3,Image 1,2,1,100000001,510000000282,
29.4194,,Segment,1,4,Image 1,3,1,100000001,510000000314,
89.9544,,Segment,1,2,Image 1,2,1,100000001,510000000318,
78.1638,,Segment,1,3,Image 1,2,1,100000001,510000000326,
87.9102,,Segment,1,4,Image 1,2,1,100000001,510000000350,
58.1354,,Segment,1,4,Image 1,3,1,100000001,510000000359,
57.72,,Segment,1,1,Image 1,1,1,100000001,510000000384,
66.9189,,Segment,1,2,Image 1,1,1,100000001,510000000397,
54.6514,,Segment,1,3,Image 1,2,1,100000001,510000000402,
87.5682,,Segment,1,1,Image 1,1,1,100000001,510000000417,
77.3832,,Segment,1,3,Image 1,3,1,100000001,510000000438,
50.9851,,Segment,1,2,Image 1,2,1,100000001,510000000458,
72.0717,,Segment,1,1,Image 1,1,1,100000002,510000000474,
27.7162,,Segment,1,2,Image 1,1,1,100000002,510000000493,
53.1003,,Segment,1,3,Image 1,1,1,100000002,510000000496,
60.2052,,Segment,1,1,Image 1,1,1,100000002,510000000506,
80.5877,,Segment,1,2,Image 1,1,1,100000002,510000000514,
60.6301,,Segment,1,1,Image 1,1,1,100000002,510000000526,
47.1143,,Segment,1,2,Image 1,1,1,100000002,510000000535,
0,,Segment,1,1,Image 1,1,1,100000002,510000000544,
71.4765,,Segment,1,2,Image 1,1,1,100000002,510000000546,
76.4628,,Segment,1,3,Image 1,1,1,100000002,510000000554,
51.6804,,Segment,1,3,Image 1,2,1,100000002,510000000563,
71.6176,,Segment,1,1,Image 1,1,1,100000002,510000000581,
65.1914,,Segment,1,2,Image 1,2,1,100000002,510000000605,
103.587,,Segment,1,1,Image 1,1,1,100000002,510000000623,
58.1268,,Segment,1,2,Image 1,1,1,100000002,510000000626,
66.2156,,Segment,1,3,Image 1,2,1,100000002,510000000644,
25.3815,,Segment,1,3,Image 1,2,1,100000002,510000000647,
73.7427,,Segment,1,4,Image 1,2,1,100000002,510000000649,
53.2214,,Segment,1,5,Image 1,2,1,100000002,510000000662,
59.3774,,Segment,1,2,Image 1,2,1,100000002,510000000683,
72.4166,,Segment,1,5,Image 1,3,1,100000002,510000000720,
62.4608,,Segment,1,2,Image 1,2,1,100000002,510000000724,
26.4005,,Segment,1,2,Image 1,2,1,100000002,510000000730,
31.9961,,Segment,1,2,Image 1,2,1,100000002,510000000738,
87.2156,,Segment,1,1,Image 1,1,1,100000002,510000000745,
7.33523,,Segment,1,2,Image 1,1,1,100000002,510000000749,
64.0629,,Segment,1,2,Image 1,2,1,100000002,510000000754,
59.2774,,Segment,1,1,Image 1,1,1,100000003,510000000764,
38.1849,,Segment,1,2,Image 1,1,1,100000003,510000000769,
26.5111,,Segment,1,2,Image 1,1,1,100000003,510000000781,
18.0356,,Segment,1,2,Image 1,2,1,100000003,510000000789,
83.583,,Segment,1,2,Image 1,2,1,100000003,510000000797,
41.9987,,Segment,1,1,Image 1,1,1,100000003,510000000804,
61.7275,,Segment,1,1,Image 1,1,1,100000003,510000000823,
78.3498,,Segment,1,2,Image 1,2,1,100000003,510000000833,
73.6667,,Segment,1,1,Image 1,1,1,100000004,510000000849,
68.0708,,Segment,1,1,Image 1,1,1,100000004,510000000871,
67.963,,Segment,1,3,Image 1,1,1,100000004,510000000884,
71.5192,,Segment,1,3,Image 1,2,1,100000004,510000000894,
76.4068,,Segment,1,3,Image 1,2,1,100000004,510000000902,
74.4022,,Segment,1,4,Image 1,2,1,100000004,510000000904,
10.9893,,Segment,1,5,Image 1,2,1,100000004,510000000915,
56.9508,,Segment,1,1,Image 1,1,1,100000004,510000000923,
