
Segment Center Intensity Sum Ch=2 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3142,,Segment,2,2,Image 1,1,1,100000000,510000000003,
622,,Segment,2,2,Image 1,2,1,100000000,510000000023,
2723,,Segment,2,3,Image 1,2,1,100000000,510000000028,
1882,,Segment,2,3,Image 1,3,1,100000000,510000000050,
646,,Segment,2,1,Image 1,2,1,100000000,510000000064,
811,,Segment,2,2,Image 1,2,1,100000000,510000000068,
314,,Segment,2,1,Image 1,2,1,100000000,510000000073,
1472,,Segment,2,2,Image 1,2,1,100000000,510000000075,
637,,Segment,2,2,Image 1,3,1,100000000,510000000083,
626,,Segment,2,2,Image 1,3,1,100000000,510000000086,
399,,Segment,2,3,Image 1,3,1,100000000,510000000093,
1046,,Segment,2,4,Image 1,3,1,100000000,510000000096,
1021,,Segment,2,4,Image 1,4,1,100000000,510000000103,
872,,Segment,2,3,Image 1,4,1,100000000,510000000110,
915,,Segment,2,3,Image 1,2,1,100000000,510000000117,
1743,,Segment,2,4,Image 1,2,1,100000000,510000000124,
699,,Segment,2,4,Image 1,3,1,100000000,510000000134,
1141,,Segment,2,3,Image 1,3,1,100000000,510000000137,
317,,Segment,2,2,Image 1,3,1,100000000,510000000149,
2333,,Segment,2,3,Image 1,3,1,100000000,510000000151,
3313,,Segment,2,3,Image 1,4,1,100000000,510000000163,
4473,,Segment,2,3,Image 1,4,1,100000000,510000000184,
2924,,Segment,2,2,Image 1,3,1,100000000,510000000209,
245,,Segment,2,2,Image 1,1,1,100000001,510000000226,
3278,,Segment,2,3,Image 1,1,1,100000001,510000000230,
2148,,Segment,2,2,Image 1,2,1,100000001,510000000252,
2197,,Segment,2,1,Image 1,1,1,100000001,510000000264,
921,,Segment,2,3,Image 1,1,1,100000001,510000000274,
3949,,Segment,2,3,Image 1,2,1,100000001,510000000282,
407,,Segment,2,4,Image 1,3,1,100000001,510000000314,
880,,Segment,2,2,Image 1,2,1,100000001,510000000318,
3445,,Segment,2,3,Image 1,2,1,100000001,510000000326,
1531,,Segment,2,4,Image 1,2,1,100000001,510000000350,
3769,,Segment,2,4,Image 1,3,1,100000001,510000000359,
1572,,Segment,2,1,Image 1,1,1,100000001,510000000384,
798,,Segment,2,2,Image 1,1,1,100000001,510000000397,
2196,,Segment,2,3,Image 1,2,1,100000001,510000000402,
1729,,Segment,2,1,Image 1,1,1,100000001,510000000417,
3183,,Segment,2,3,Image 1,3,1,100000001,510000000438,
2360,,Segment,2,2,Image 1,2,1,100000001,510000000458,
3100,,Segment,2,1,Image 1,1,1,100000002,510000000474,
670,,Segment,2,2,Image 1,1,1,100000002,510000000493,
1665,,Segment,2,3,Image 1,1,1,100000002,510000000496,
1271,,Segment,2,1,Image 1,1,1,100000002,510000000506,
2225,,Segment,2,2,Image 1,1,1,100000002,510000000514,
1389,,Segment,2,1,Image 1,1,1,100000002,510000000526,
1826,,Segment,2,2,Image 1,1,1,100000002,510000000535,
72,,Segment,2,1,Image 1,1,1,100000002,510000000544,
752,,Segment,2,2,Image 1,1,1,100000002,510000000546,
1407,,Segment,2,3,Image 1,1,1,100000002,510000000554,
3413,,Segment,2,3,Image 1,2,1,100000002,510000000563,
3325,,Segment,2,1,Image 1,1,1,100000002,510000000581,
3141,,Segment,2,2,Image 1,2,1,100000002,510000000605,
472,,Segment,2,1,Image 1,1,1,100000002,510000000623,
3401,,Segment,2,2,Image 1,1,1,100000002,510000000626,
641,,Segment,2,3,Image 1,2,1,100000002,510000000644,
513,,Segment,2,3,Image 1,2,1,100000002,510000000647,
2422,,Segment,2,4,Image 1,2,1,100000002,510000000649,
3658,,Segment,2,5,Image 1,2,1,100000002,510000000662,
6451,,Segment,2,2,Image 1,2,1,100000002,510000000683,
532,,Segment,2,5,Image 1,3,1,100000002,510000000720,
1114,,Segment,2,2,Image 1,2,1,100000002,510000000724,
1710,,Segment,2,2,Image 1,2,1,100000002,510000000730,
1468,,Segment,2,2,Image 1,2,1,100000002,510000000738,
494,,Segment,2,1,Image 1,1,1,100000002,510000000745,
1146,,Segment,2,2,Image 1,1,1,100000002,510000000749,
1780,,Segment,2,2,Image 1,2,1,100000002,510000000754,
920,,Segment,2,1,Image 1,1,1,100000003,510000000764,
2175,,Segment,2,2,Image 1,1,1,100000003,510000000769,
1751,,Segment,2,2,Image 1,1,1,100000003,510000000781,
1736,,Segment,2,2,Image 1,2,1,100000003,510000000789,
978,,Segment,2,2,Image 1,2,1,100000003,510000000797,
3246,,Segment,2,1,Image 1,1,1,100000003,510000000804,
1589,,Segment,2,1,Image 1,1,1,100000003,510000000823,
2290,,Segment,2,2,Image 1,2,1,100000003,510000000833,
3836,,Segment,2,1,Image 1,1,1,100000004,510000000849,
1768,,Segment,2,1,Image 1,1,1,100000004,510000000871,
1756,,Segment,2,3,Image 1,1,1,100000004,510000000884,
1451,,Segment,2,3,Image 1,2,1,100000004,510000000894,
371,,Segment,2,3,Image 1,2,1,100000004,510000000902,
1608,,Segment,2,4,Image 1,2,1,100000004,510000000904,
1760,,Segment,2,5,Image 1,2,1,100000004,510000000915,
2792,,Segment,2,1,Image 1,1,1,100000004,510000000923,
2767,,Segment,2,4,Image 1,3,1,100000004,510000000942,
3028,,Segment,2,4,Image 1,3,1,100000004,510000000956,
996,,Segment,2,3,Image 1,3,1,100000004,510000000973,
1313,,Segment,2,5,Image 1,3,1,100000004,510000000978,
1430,,Segment,2,4,Image 1,4,1,100000004,510000000984,
298,,Segment,2,1,Image 1,1,1,100000005,510000000993,
761,,Segment,2,2,Image 1,1,1,100000005,510000000995,
3098,,Segment,2,3,Image 1,1,1,100000005,510000000999,
3007,,Segment,2,2,Image 1,2,1,100000005,510000001015,
3934,,Segment,2,3,Image 1,3,1,100000005,510000001032,
3369,,Segment,2,3,Image 1,3,1,100000005,510000001055,
660,,Segment,2,4,Image 1,2,1,100000005,510000001076,
459,,Segment,2,5,Image 1,2,1,100000005,510000001082,
778,,Segment,2,6,Image 1,3,1,100000005,510000001086,
1113,,Segment,2,7,Image 1,2,1,100000005,510000001093,
1579,,Segment,2,7,Image 1,3,1,100000005,510000001101,
839,,Segment,2,4,Image 1,3,1,100000005,510000001110,
573,,Segment,2,5,Image 1,3,1,100000005,510000001117,
980,,Segment,2,5,Image 1,4,1,100000005,510000001124,
585,,Segment,2,5,Image 1,3,1,100000005,510000001129,
326,,Segment,2,2,Image 1,3,1,100000005,510000001133,
3423,,Segment,2,3,Image 1,4,1,100000005,510000001136,
650,,Segment,2,3,Image 1,3,1,100000005,510000001156,
3148,,Segment,2,4,Image 1,3,1,100000005,510000001159,
3128,,Segment,2,4,Image 1,4,1,100000005,510000001175,
2290,,Segment,2,3,Image 1,2,1,100000005,510000001191,
3191,,Segment,2,4,Image 1,2,1,100000005,510000001204,
3123,,Segment,2,4,Image 1,3,1,100000005,510000001221,
3661,,Segment,2,3,Image 1,4,1,100000005,510000001236,
517,,Segment,2,1,Image 1,1,1,100000006,510000001259,
759,,Segment,2,2,Image 1,1,1,100000006,510000001262,
857,,Segment,2,3,Image 1,1,1,100000006,510000001267,
1050,,Segment,2,2,Image 1,2,1,100000006,510000001272,
1138,,Segment,2,3,Image 1,3,1,100000006,510000001278,
8285,,Segment,2,2,Image 1,1,1,100000006,510000001285,
422,,Segment,2,1,Image 1,1,1,100000006,510000001329,
3783,,Segment,2,2,Image 1,1,1,100000006,510000001331,
4560,,Segment,2,2,Image 1,2,1,100000006,510000001353,
3497,,Segment,2,2,Image 1,2,1,100000006,510000001379,
1077,,Segment,2,4,Image 1,2,1,100000006,510000001399,
1391,,Segment,2,3,Image 1,1,1,100000006,510000001408,
429,,Segment,2,2,Image 1,2,1,100000006,510000001416,
2065,,Segment,2,3,Image 1,2,1,100000006,510000001418,
3250,,Segment,2,3,Image 1,3,1,100000006,510000001430,
2610,,Segment,2,3,Image 1,2,1,100000006,510000001448,
3492,,Segment,2,3,Image 1,2,1,100000006,510000001465,
7351,,Segment,2,4,Image 1,3,1,100000006,510000001486,
1493,,Segment,2,2,Image 1,1,1,100000007,510000001536,
793,,Segment,2,3,Image 1,1,1,100000007,510000001546,
606,,Segment,2,4,Image 1,1,1,100000007,510000001549,
4171,,Segment,2,5,Image 1,1,1,100000007,510000001551,
502,,Segment,2,6,Image 1,1,1,100000007,510000001573,
1699,,Segment,2,6,Image 1,2,1,100000007,510000001575,
6875,,Segment,2,3,Image 1,2,1,100000007,510000001583,
734,,Segment,2,2,Image 1,2,1,100000007,510000001620,
472,,Segment,2,3,Image 1,2,1,100000007,510000001624,
491,,Segment,2,4,Image 1,2,1,100000007,510000001626,
487,,Segment,2,4,Image 1,3,1,100000007,510000001628,
584,,Segment,2,3,Image 1,3,1,100000007,510000001630,
209,,Segment,2,1,Image 1,1,1,100000007,510000001632,
806,,Segment,2,2,Image 1,1,1,100000007,510000001634,
3027,,Segment,2,2,Image 1,1,1,100000007,510000001639,
699,,Segment,2,2,Image 1,2,1,100000007,510000001655,
3983,,Segment,2,3,Image 1,2,1,100000007,510000001659,
1925,,Segment,2,3,Image 1,3,1,100000007,510000001680,
2606,,Segment,2,2,Image 1,2,1,100000007,510000001689,
2678,,Segment,2,5,Image 1,2,1,100000007,510000001704,
2877,,Segment,2,4,Image 1,2,1,100000007,510000001717,
3016,,Segment,2,2,Image 1,2,1,100000007,510000001731,
2423,,Segment,2,1,Image 1,1,1,100000008,510000001749,
115,,Segment,2,1,Image 1,1,1,100000008,510000001766,
234,,Segment,2,2,Image 1,1,1,100000008,510000001768,
2531,,Segment,2,4,Image 1,1,1,100000008,510000001772,
1719,,Segment,2,4,Image 1,2,1,100000008,510000001788,
4899,,Segment,2,2,Image 1,2,1,100000008,510000001800,
3741,,Segment,2,3,Image 1,2,1,100000008,510000001831,
3239,,Segment,2,3,Image 1,3,1,100000008,510000001850,
881,,Segment,2,3,Image 1,2,1,100000008,510000001867,
8241,,Segment,2,4,Image 1,2,1,100000008,510000001875,
6405,,Segment,2,1,Image 1,1,1,100000008,510000001928,
283,,Segment,2,1,Image 1,1,1,100000008,510000001966,
916,,Segment,2,2,Image 1,1,1,100000008,510000001969,
1038,,Segment,2,3,Image 1,1,1,100000008,510000001975,
2938,,Segment,2,4,Image 1,1,1,100000008,510000001981,
8847,,Segment,2,1,Image 1,1,1,100000008,510000001996,
4382,,Segment,2,3,Image 1,2,1,100000008,510000002049,
10891,,Segment,2,4,Image 1,2,1,100000008,510000002070,
4489,,Segment,2,2,Image 1,2,1,100000008,510000002130,
3747,,Segment,2,1,Image 1,1,1,100000008,510000002155,
969,,Segment,2,4,Image 1,3,1,100000008,510000002180,
656,,Segment,2,5,Image 1,3,1,100000008,510000002187,
3145,,Segment,2,5,Image 1,4,1,100000008,510000002191,
533,,Segment,2,2,Image 1,1,1,100000009,510000002212,
3510,,Segment,2,3,Image 1,1,1,100000009,510000002215,
400,,Segment,2,4,Image 1,1,1,100000009,510000002235,
2137,,Segment,2,4,Image 1,2,1,100000009,510000002237,
3789,,Segment,2,2,Image 1,2,1,100000009,510000002248,
3767,,Segment,2,2,Image 1,1,1,100000009,510000002271,
1373,,Segment,2,2,Image 1,2,1,100000009,510000002296,
596,,Segment,2,2,Image 1,2,1,100000009,510000002305,
719,,Segment,2,3,Image 1,2,1,100000009,510000002310,
1146,,Segment,2,4,Image 1,2,1,100000009,510000002314,
2503,,Segment,2,4,Image 1,3,1,100000009,510000002320,
3135,,Segment,2,3,Image 1,3,1,100000009,510000002333,
3827,,Segment,2,2,Image 1,1,1,100000009,510000002352,
1359,,Segment,2,2,Image 1,2,1,100000009,510000002376,
944,,Segment,2,3,Image 1,3,1,100000009,510000002388,
319,,Segment,2,3,Image 1,2,1,100000009,510000002396,
1093,,Segment,2,4,Image 1,2,1,100000009,510000002398,
2105,,Segment,2,4,Image 1,3,1,100000009,510000002403,
3515,,Segment,2,3,Image 1,2,1,100000009,510000002417,
3890,,Segment,2,1,Image 1,1,1,100000010,510000002436,
4479,,Segment,2,2,Image 1,1,1,100000010,510000002463,
2352,,Segment,2,2,Image 1,2,1,100000010,510000002487,
1190,,Segment,2,2,Image 1,1,1,100000010,510000002501,
5468,,Segment,2,3,Image 1,1,1,100000010,510000002510,
1640,,Segment,2,3,Image 1,2,1,100000010,510000002538,
2737,,Segment,2,4,Image 1,2,1,100000010,510000002548,
2445,,Segment,2,4,Image 1,3,1,100000010,510000002565,
466,,Segment,2,1,Image 1,1,1,100000010,510000002584,
1493,,Segment,2,2,Image 1,1,1,100000010,510000002588,
823,,Segment,2,2,Image 1,2,1,100000010,510000002597,
745,,Segment,2,3,Image 1,2,1,100000010,510000002602,
876,,Segment,2,4,Image 1,3,1,100000010,510000002608,
1867,,Segment,2,1,Image 1,1,1,100000010,510000002612,
2220,,Segment,2,2,Image 1,1,1,100000010,510000002624,
5108,,Segment,2,2,Image 1,2,1,100000010,510000002635,
1150,,Segment,2,3,Image 1,3,1,100000010,510000002672,
4298,,Segment,2,4,Image 1,3,1,100000010,510000002680,
2293,,Segment,2,4,Image 1,4,1,100000010,510000002707,
3126,,Segment,2,2,Image 1,2,1,100000010,510000002726,
1695,,Segment,2,1,Image 1,1,1,100000010,510000002748,
3404,,Segment,2,3,Image 1,1,1,100000011,510000002766,
1148,,Segment,2,3,Image 1,2,1,100000011,510000002785,
3400,,Segment,2,4,Image 1,2,1,100000011,510000002792,
3370,,Segment,2,4,Image 1,3,1,100000011,510000002809,
3211,,Segment,2,2,Image 1,2,1,100000011,510000002827,
2255,,Segment,2,3,Image 1,1,1,100000011,510000002847,
2710,,Segment,2,3,Image 1,1,1,100000011,510000002860,
671,,Segment,2,2,Image 1,2,1,100000011,510000002874,
3212,,Segment,2,1,Image 1,1,1,100000011,510000002880,
674,,Segment,2,3,Image 1,3,1,100000011,510000002898,
2650,,Segment,2,3,Image 1,2,1,100000011,510000002902,
3811,,Segment,2,3,Image 1,2,1,100000011,510000002917,
1681,,Segment,2,3,Image 1,3,1,100000011,510000002938,
2080,,Segment,2,3,Image 1,2,1,100000011,510000002946,
688,,Segment,2,1,Image 1,1,1,100000012,510000002958,
1867,,Segment,2,2,Image 1,1,1,100000012,510000002963,
4997,,Segment,2,3,Image 1,1,1,100000012,510000002974,
2358,,Segment,2,3,Image 1,2,1,100000012,510000003000,
4197,,Segment,2,2,Image 1,1,1,100000012,510000003014,
4001,,Segment,2,2,Image 1,2,1,100000012,510000003040,
190,,Segment,2,1,Image 1,1,1,100000012,510000003065,
3695,,Segment,2,2,Image 1,1,1,100000012,510000003067,
3876,,Segment,2,2,Image 1,2,1,100000012,510000003086,
1896,,Segment,2,2,Image 1,2,1,100000012,510000003109,
381,,Segment,2,2,Image 1,1,1,100000012,510000003121,
930,,Segment,2,3,Image 1,1,1,100000012,510000003124,
2526,,Segment,2,4,Image 1,1,1,100000012,510000003130,
1569,,Segment,2,4,Image 1,2,1,100000012,510000003147,
3608,,Segment,2,5,Image 1,2,1,100000012,510000003157,
2978,,Segment,2,5,Image 1,3,1,100000012,510000003175,
1358,,Segment,2,5,Image 1,2,1,100000012,510000003190,
6077,,Segment,2,2,Image 1,2,1,100000012,510000003198,
2187,,Segment,2,2,Image 1,2,1,100000012,510000003232,
4438,,Segment,2,3,Image 1,2,1,100000012,510000003243,
4108,,Segment,2,4,Image 1,1,1,100000013,510000003271,
439,,Segment,2,3,Image 1,2,1,100000013,510000003294,
4459,,Segment,2,4,Image 1,2,1,100000013,510000003296,
2918,,Segment,2,4,Image 1,2,1,100000013,510000003319,
548,,Segment,2,3,Image 1,2,1,100000013,510000003334,
3041,,Segment,2,4,Image 1,2,1,100000013,510000003336,
3072,,Segment,2,4,Image 1,3,1,100000013,510000003352,
354,,Segment,2,2,Image 1,1,1,100000013,510000003369,
587,,Segment,2,3,Image 1,1,1,100000013,510000003372,
2531,,Segment,2,2,Image 1,2,1,100000013,510000003375,
2336,,Segment,2,2,Image 1,2,1,100000013,510000003389,
361,,Segment,2,1,Image 1,1,1,100000013,510000003402,
4052,,Segment,2,2,Image 1,1,1,100000013,510000003405,
2595,,Segment,2,2,Image 1,2,1,100000013,510000003429,
1783,,Segment,2,3,Image 1,3,1,100000013,510000003442,
3969,,Segment,2,4,Image 1,3,1,100000013,510000003451,
3455,,Segment,2,3,Image 1,2,1,100000013,510000003473,
977,,Segment,2,1,Image 1,1,1,100000014,510000003491,
1213,,Segment,2,4,Image 1,1,1,100000014,510000003501,
1468,,Segment,2,3,Image 1,2,1,100000014,510000003507,
231,,Segment,2,1,Image 1,1,1,100000014,510000003515,
1388,,Segment,2,3,Image 1,2,1,100000014,510000003518,
208,,Segment,2,1,Image 1,1,1,100000014,510000003527,
4020,,Segment,2,2,Image 1,2,1,100000014,510000003529,
381,,Segment,2,2,Image 1,1,1,100000014,510000003552,
2481,,Segment,2,3,Image 1,1,1,100000014,510000003554,
2323,,Segment,2,3,Image 1,2,1,100000014,510000003570,
1968,,Segment,2,4,Image 1,2,1,100000014,510000003582,
2763,,Segment,2,2,Image 1,2,1,100000014,510000003592,
4570,,Segment,2,4,Image 1,1,1,100000014,510000003609,
947,,Segment,2,4,Image 1,2,1,100000014,510000003635,
1002,,Segment,2,2,Image 1,2,1,100000014,510000003640,
1602,,Segment,2,3,Image 1,2,1,100000014,510000003647,
3361,,Segment,2,3,Image 1,3,1,100000014,510000003656,
76,,Segment,2,0,Image 1,1,1,100000000,510000003676,
152,,Segment,2,1,Image 1,1,1,100000000,510000003677,
117,,Segment,2,1,Image 1,2,1,100000000,510000003678,
105,,Segment,2,2,Image 1,2,1,100000000,510000003679,
21,,Segment,2,1,Image 1,1,1,100000001,510000003680,
96,,Segment,2,1,Image 1,1,1,100000001,510000003681,
209,,Segment,2,2,Image 1,1,1,100000001,510000003682,
286,,Segment,2,4,Image 1,2,1,100000001,510000003683,
389,,Segment,2,4,Image 1,1,1,100000002,510000003684,
224,,Segment,2,1,Image 1,1,1,100000003,510000003685,
86,,Segment,2,1,Image 1,1,1,100000004,510000003686,
140,,Segment,2,2,Image 1,1,1,100000004,510000003687,
114,,Segment,2,2,Image 1,2,1,100000004,510000003688,
202,,Segment,2,3,Image 1,3,1,100000004,510000003689,
