
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
21,,Segment,3,2,Image 1,1,1,100000000,510000000003,
6,,Segment,3,2,Image 1,2,1,100000000,510000000023,
23,,Segment,3,3,Image 1,2,1,100000000,510000000028,
15,,Segment,3,3,Image 1,3,1,100000000,510000000050,
5,,Segment,3,1,Image 1,2,1,100000000,510000000064,
5,,Segment,3,2,Image 1,2,1,100000000,510000000068,
3,,Segment,3,1,Image 1,2,1,100000000,510000000073,
9,,Segment,3,2,Image 1,2,1,100000000,510000000075,
4,,Segment,3,2,Image 1,3,1,100000000,510000000083,
8,,Segment,3,2,Image 1,3,1,100000000,510000000086,
4,,Segment,3,3,Image 1,3,1,100000000,510000000093,
8,,Segment,3,4,Image 1,3,1,100000000,510000000096,
8,,Segment,3,4,Image 1,4,1,100000000,510000000103,
6,,Segment,3,3,Image 1,4,1,100000000,510000000110,
8,,Segment,3,3,Image 1,2,1,100000000,510000000117,
11,,Segment,3,4,Image 1,2,1,100000000,510000000124,
4,,Segment,3,4,Image 1,3,1,100000000,510000000134,
13,,Segment,3,3,Image 1,3,1,100000000,510000000137,
3,,Segment,3,2,Image 1,3,1,100000000,510000000149,
13,,Segment,3,3,Image 1,3,1,100000000,510000000151,
22,,Segment,3,3,Image 1,4,1,100000000,510000000163,
26,,Segment,3,3,Image 1,4,1,100000000,510000000184,
16,,Segment,3,2,Image 1,3,1,100000000,510000000209,
5,,Segment,3,2,Image 1,1,1,100000001,510000000226,
23,,Segment,3,3,Image 1,1,1,100000001,510000000230,
13,,Segment,3,2,Image 1,2,1,100000001,510000000252,
16,,Segment,3,1,Image 1,1,1,100000001,510000000264,
9,,Segment,3,3,Image 1,1,1,100000001,510000000274,
33,,Segment,3,3,Image 1,2,1,100000001,510000000282,
4,,Segment,3,4,Image 1,3,1,100000001,510000000314,
9,,Segment,3,2,Image 1,2,1,100000001,510000000318,
25,,Segment,3,3,Image 1,2,1,100000001,510000000326,
10,,Segment,3,4,Image 1,2,1,100000001,510000000350,
26,,Segment,3,4,Image 1,3,1,100000001,510000000359,
14,,Segment,3,1,Image 1,1,1,100000001,510000000384,
6,,Segment,3,2,Image 1,1,1,100000001,510000000397,
16,,Segment,3,3,Image 1,2,1,100000001,510000000402,
15,,Segment,3,1,Image 1,1,1,100000001,510000000417,
21,,Segment,3,3,Image 1,3,1,100000001,510000000438,
16,,Segment,3,2,Image 1,2,1,100000001,510000000458,
20,,Segment,3,1,Image 1,1,1,100000002,510000000474,
4,,Segment,3,2,Image 1,1,1,100000002,510000000493,
10,,Segment,3,3,Image 1,1,1,100000002,510000000496,
9,,Segment,3,1,Image 1,1,1,100000002,510000000506,
13,,Segment,3,2,Image 1,1,1,100000002,510000000514,
10,,Segment,3,1,Image 1,1,1,100000002,510000000526,
10,,Segment,3,2,Image 1,1,1,100000002,510000000535,
3,,Segment,3,1,Image 1,1,1,100000002,510000000544,
9,,Segment,3,2,Image 1,1,1,100000002,510000000546,
10,,Segment,3,3,Image 1,1,1,100000002,510000000554,
19,,Segment,3,3,Image 1,2,1,100000002,510000000563,
25,,Segment,3,1,Image 1,1,1,100000002,510000000581,
19,,Segment,3,2,Image 1,2,1,100000002,510000000605,
4,,Segment,3,1,Image 1,1,1,100000002,510000000623,
19,,Segment,3,2,Image 1,1,1,100000002,510000000626,
4,,Segment,3,3,Image 1,2,1,100000002,510000000644,
3,,Segment,3,3,Image 1,2,1,100000002,510000000647,
14,,Segment,3,4,Image 1,2,1,100000002,510000000649,
22,,Segment,3,5,Image 1,2,1,100000002,510000000662,
38,,Segment,3,2,Image 1,2,1,100000002,510000000683,
5,,Segment,3,5,Image 1,3,1,100000002,510000000720,
7,,Segment,3,2,Image 1,2,1,100000002,510000000724,
9,,Segment,3,2,Image 1,2,1,100000002,510000000730,
8,,Segment,3,2,Image 1,2,1,100000002,510000000738,
5,,Segment,3,1,Image 1,1,1,100000002,510000000745,
6,,Segment,3,2,Image 1,1,1,100000002,510000000749,
10,,Segment,3,2,Image 1,2,1,100000002,510000000754,
6,,Segment,3,1,Image 1,1,1,100000003,510000000764,
12,,Segment,3,2,Image 1,1,1,100000003,510000000769,
9,,Segment,3,2,Image 1,1,1,100000003,510000000781,
9,,Segment,3,2,Image 1,2,1,100000003,510000000789,
7,,Segment,3,2,Image 1,2,1,100000003,510000000797,
20,,Segment,3,1,Image 1,1,1,100000003,510000000804,
10,,Segment,3,1,Image 1,1,1,100000003,510000000823,
16,,Segment,3,2,Image 1,2,1,100000003,510000000833,
23,,Segment,3,1,Image 1,1,1,100000004,510000000849,
11,,Segment,3,1,Image 1,1,1,100000004,510000000871,
11,,Segment,3,3,Image 1,1,1,100000004,510000000884,
8,,Segment,3,3,Image 1,2,1,100000004,510000000894,
3,,Segment,3,3,Image 1,2,1,100000004,510000000902,
12,,Segment,3,4,Image 1,2,1,100000004,510000000904,
9,,Segment,3,5,Image 1,2,1,100000004,510000000915,
19,,Segment,3,1,Image 1,1,1,100000004,510000000923,
15,,Segment,3,4,Image 1,3,1,100000004,510000000942,
18,,Segment,3,4,Image 1,3,1,100000004,510000000956,
6,,Segment,3,3,Image 1,3,1,100000004,510000000973,
7,,Segment,3,5,Image 1,3,1,100000004,510000000978,
8,,Segment,3,4,Image 1,4,1,100000004,510000000984,
3,,Segment,3,1,Image 1,1,1,100000005,510000000993,
5,,Segment,3,2,Image 1,1,1,100000005,510000000995,
17,,Segment,3,3,Image 1,1,1,100000005,510000000999,
16,,Segment,3,2,Image 1,2,1,100000005,510000001015,
24,,Segment,3,3,Image 1,3,1,100000005,510000001032,
21,,Segment,3,3,Image 1,3,1,100000005,510000001055,
7,,Segment,3,4,Image 1,2,1,100000005,510000001076,
5,,Segment,3,5,Image 1,2,1,100000005,510000001082,
7,,Segment,3,6,Image 1,3,1,100000005,510000001086,
8,,Segment,3,7,Image 1,2,1,100000005,510000001093,
10,,Segment,3,7,Image 1,3,1,100000005,510000001101,
8,,Segment,3,4,Image 1,3,1,100000005,510000001110,
7,,Segment,3,5,Image 1,3,1,100000005,510000001117,
6,,Segment,3,5,Image 1,4,1,100000005,510000001124,
4,,Segment,3,5,Image 1,3,1,100000005,510000001129,
4,,Segment,3,2,Image 1,3,1,100000005,510000001133,
21,,Segment,3,3,Image 1,4,1,100000005,510000001136,
4,,Segment,3,3,Image 1,3,1,100000005,510000001156,
17,,Segment,3,4,Image 1,3,1,100000005,510000001159,
17,,Segment,3,4,Image 1,4,1,100000005,510000001175,
14,,Segment,3,3,Image 1,2,1,100000005,510000001191,
18,,Segment,3,4,Image 1,2,1,100000005,510000001204,
16,,Segment,3,4,Image 1,3,1,100000005,510000001221,
23,,Segment,3,3,Image 1,4,1,100000005,510000001236,
4,,Segment,3,1,Image 1,1,1,100000006,510000001259,
6,,Segment,3,2,Image 1,1,1,100000006,510000001262,
6,,Segment,3,3,Image 1,1,1,100000006,510000001267,
7,,Segment,3,2,Image 1,2,1,100000006,510000001272,
7,,Segment,3,3,Image 1,3,1,100000006,510000001278,
45,,Segment,3,2,Image 1,1,1,100000006,510000001285,
3,,Segment,3,1,Image 1,1,1,100000006,510000001329,
22,,Segment,3,2,Image 1,1,1,100000006,510000001331,
27,,Segment,3,2,Image 1,2,1,100000006,510000001353,
20,,Segment,3,2,Image 1,2,1,100000006,510000001379,
8,,Segment,3,4,Image 1,2,1,100000006,510000001399,
9,,Segment,3,3,Image 1,1,1,100000006,510000001408,
3,,Segment,3,2,Image 1,2,1,100000006,510000001416,
13,,Segment,3,3,Image 1,2,1,100000006,510000001418,
19,,Segment,3,3,Image 1,3,1,100000006,510000001430,
18,,Segment,3,3,Image 1,2,1,100000006,510000001448,
21,,Segment,3,3,Image 1,2,1,100000006,510000001465,
49,,Segment,3,4,Image 1,3,1,100000006,510000001486,
11,,Segment,3,2,Image 1,1,1,100000007,510000001536,
4,,Segment,3,3,Image 1,1,1,100000007,510000001546,
3,,Segment,3,4,Image 1,1,1,100000007,510000001549,
23,,Segment,3,5,Image 1,1,1,100000007,510000001551,
3,,Segment,3,6,Image 1,1,1,100000007,510000001573,
9,,Segment,3,6,Image 1,2,1,100000007,510000001575,
38,,Segment,3,3,Image 1,2,1,100000007,510000001583,
5,,Segment,3,2,Image 1,2,1,100000007,510000001620,
3,,Segment,3,3,Image 1,2,1,100000007,510000001624,
3,,Segment,3,4,Image 1,2,1,100000007,510000001626,
3,,Segment,3,4,Image 1,3,1,100000007,510000001628,
3,,Segment,3,3,Image 1,3,1,100000007,510000001630,
3,,Segment,3,1,Image 1,1,1,100000007,510000001632,
5,,Segment,3,2,Image 1,1,1,100000007,510000001634,
17,,Segment,3,2,Image 1,1,1,100000007,510000001639,
