
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
226,,Segment,3,2,Image 1,1,1,100000000,510000000003,
201,,Segment,3,2,Image 1,2,1,100000000,510000000023,
214,,Segment,3,3,Image 1,2,1,100000000,510000000028,
203,,Segment,3,3,Image 1,3,1,100000000,510000000050,
202,,Segment,3,1,Image 1,2,1,100000000,510000000064,
208,,Segment,3,2,Image 1,2,1,100000000,510000000068,
165,,Segment,3,1,Image 1,2,1,100000000,510000000073,
207,,Segment,3,2,Image 1,2,1,100000000,510000000075,
215,,Segment,3,2,Image 1,3,1,100000000,510000000083,
173,,Segment,3,2,Image 1,3,1,100000000,510000000086,
174,,Segment,3,3,Image 1,3,1,100000000,510000000093,
205,,Segment,3,4,Image 1,3,1,100000000,510000000096,
214,,Segment,3,4,Image 1,4,1,100000000,510000000103,
204,,Segment,3,3,Image 1,4,1,100000000,510000000110,
199,,Segment,3,3,Image 1,2,1,100000000,510000000117,
194,,Segment,3,4,Image 1,2,1,100000000,510000000124,
204,,Segment,3,4,Image 1,3,1,100000000,510000000134,
178,,Segment,3,3,Image 1,3,1,100000000,510000000137,
185,,Segment,3,2,Image 1,3,1,100000000,510000000149,
210,,Segment,3,3,Image 1,3,1,100000000,510000000151,
212,,Segment,3,3,Image 1,4,1,100000000,510000000163,
217,,Segment,3,3,Image 1,4,1,100000000,510000000184,
220,,Segment,3,2,Image 1,3,1,100000000,510000000209,
173,,Segment,3,2,Image 1,1,1,100000001,510000000226,
221,,Segment,3,3,Image 1,1,1,100000001,510000000230,
220,,Segment,3,2,Image 1,2,1,100000001,510000000252,
220,,Segment,3,1,Image 1,1,1,100000001,510000000264,
223,,Segment,3,3,Image 1,1,1,100000001,510000000274,
225,,Segment,3,3,Image 1,2,1,100000001,510000000282,
223,,Segment,3,4,Image 1,3,1,100000001,510000000314,
205,,Segment,3,2,Image 1,2,1,100000001,510000000318,
209,,Segment,3,3,Image 1,2,1,100000001,510000000326,
222,,Segment,3,4,Image 1,2,1,100000001,510000000350,
230,,Segment,3,4,Image 1,3,1,100000001,510000000359,
193,,Segment,3,1,Image 1,1,1,100000001,510000000384,
205,,Segment,3,2,Image 1,1,1,100000001,510000000397,
217,,Segment,3,3,Image 1,2,1,100000001,510000000402,
218,,Segment,3,1,Image 1,1,1,100000001,510000000417,
217,,Segment,3,3,Image 1,3,1,100000001,510000000438,
218,,Segment,3,2,Image 1,2,1,100000001,510000000458,
220,,Segment,3,1,Image 1,1,1,100000002,510000000474,
217,,Segment,3,2,Image 1,1,1,100000002,510000000493,
211,,Segment,3,3,Image 1,1,1,100000002,510000000496,
211,,Segment,3,1,Image 1,1,1,100000002,510000000506,
223,,Segment,3,2,Image 1,1,1,100000002,510000000514,
221,,Segment,3,1,Image 1,1,1,100000002,510000000526,
223,,Segment,3,2,Image 1,1,1,100000002,510000000535,
161,,Segment,3,1,Image 1,1,1,100000002,510000000544,
209,,Segment,3,2,Image 1,1,1,100000002,510000000546,
217,,Segment,3,3,Image 1,1,1,100000002,510000000554,
220,,Segment,3,3,Image 1,2,1,100000002,510000000563,
220,,Segment,3,1,Image 1,1,1,100000002,510000000581,
219,,Segment,3,2,Image 1,2,1,100000002,510000000605,
196,,Segment,3,1,Image 1,1,1,100000002,510000000623,
226,,Segment,3,2,Image 1,1,1,100000002,510000000626,
216,,Segment,3,3,Image 1,2,1,100000002,510000000644,
219,,Segment,3,3,Image 1,2,1,100000002,510000000647,
224,,Segment,3,4,Image 1,2,1,100000002,510000000649,
224,,Segment,3,5,Image 1,2,1,100000002,510000000662,
219,,Segment,3,2,Image 1,2,1,100000002,510000000683,
209,,Segment,3,5,Image 1,3,1,100000002,510000000720,
207,,Segment,3,2,Image 1,2,1,100000002,510000000724,
213,,Segment,3,2,Image 1,2,1,100000002,510000000730,
221,,Segment,3,2,Image 1,2,1,100000002,510000000738,
202,,Segment,3,1,Image 1,1,1,100000002,510000000745,
218,,Segment,3,2,Image 1,1,1,100000002,510000000749,
218,,Segment,3,2,Image 1,2,1,100000002,510000000754,
219,,Segment,3,1,Image 1,1,1,100000003,510000000764,
220,,Segment,3,2,Image 1,1,1,100000003,510000000769,
222,,Segment,3,2,Image 1,1,1,100000003,510000000781,
228,,Segment,3,2,Image 1,2,1,100000003,510000000789,
221,,Segment,3,2,Image 1,2,1,100000003,510000000797,
214,,Segment,3,1,Image 1,1,1,100000003,510000000804,
220,,Segment,3,1,Image 1,1,1,100000003,510000000823,
222,,Segment,3,2,Image 1,2,1,100000003,510000000833,
218,,Segment,3,1,Image 1,1,1,100000004,510000000849,
221,,Segment,3,1,Image 1,1,1,100000004,510000000871,
222,,Segment,3,3,Image 1,1,1,100000004,510000000884,
224,,Segment,3,3,Image 1,2,1,100000004,510000000894,
202,,Segment,3,3,Image 1,2,1,100000004,510000000902,
222,,Segment,3,4,Image 1,2,1,100000004,510000000904,
209,,Segment,3,5,Image 1,2,1,100000004,510000000915,
214,,Segment,3,1,Image 1,1,1,100000004,510000000923,
222,,Segment,3,4,Image 1,3,1,100000004,510000000942,
209,,Segment,3,4,Image 1,3,1,100000004,510000000956,
217,,Segment,3,3,Image 1,3,1,100000004,510000000973,
211,,Segment,3,5,Image 1,3,1,100000004,510000000978,
210,,Segment,3,4,Image 1,4,1,100000004,510000000984,
194,,Segment,3,1,Image 1,1,1,100000005,510000000993,
210,,Segment,3,2,Image 1,1,1,100000005,510000000995,
224,,Segment,3,3,Image 1,1,1,100000005,510000000999,
224,,Segment,3,2,Image 1,2,1,100000005,510000001015,
211,,Segment,3,3,Image 1,3,1,100000005,510000001032,
216,,Segment,3,3,Image 1,3,1,100000005,510000001055,
204,,Segment,3,4,Image 1,2,1,100000005,510000001076,
188,,Segment,3,5,Image 1,2,1,100000005,510000001082,
209,,Segment,3,6,Image 1,3,1,100000005,510000001086,
201,,Segment,3,7,Image 1,2,1,100000005,510000001093,
203,,Segment,3,7,Image 1,3,1,100000005,510000001101,
213,,Segment,3,4,Image 1,3,1,100000005,510000001110,
210,,Segment,3,5,Image 1,3,1,100000005,510000001117,
219,,Segment,3,5,Image 1,4,1,100000005,510000001124,
205,,Segment,3,5,Image 1,3,1,100000005,510000001129,
198,,Segment,3,2,Image 1,3,1,100000005,510000001133,
215,,Segment,3,3,Image 1,4,1,100000005,510000001136,
198,,Segment,3,3,Image 1,3,1,100000005,510000001156,
211,,Segment,3,4,Image 1,3,1,100000005,510000001159,
215,,Segment,3,4,Image 1,4,1,100000005,510000001175,
217,,Segment,3,3,Image 1,2,1,100000005,510000001191,
209,,Segment,3,4,Image 1,2,1,100000005,510000001204,
215,,Segment,3,4,Image 1,3,1,100000005,510000001221,
219,,Segment,3,3,Image 1,4,1,100000005,510000001236,
206,,Segment,3,1,Image 1,1,1,100000006,510000001259,
211,,Segment,3,2,Image 1,1,1,100000006,510000001262,
209,,Segment,3,3,Image 1,1,1,100000006,510000001267,
217,,Segment,3,2,Image 1,2,1,100000006,510000001272,
217,,Segment,3,3,Image 1,3,1,100000006,510000001278,
224,,Segment,3,2,Image 1,1,1,100000006,510000001285,
210,,Segment,3,1,Image 1,1,1,100000006,510000001329,
217,,Segment,3,2,Image 1,1,1,100000006,510000001331,
218,,Segment,3,2,Image 1,2,1,100000006,510000001353,
210,,Segment,3,2,Image 1,2,1,100000006,510000001379,
204,,Segment,3,4,Image 1,2,1,100000006,510000001399,
221,,Segment,3,3,Image 1,1,1,100000006,510000001408,
207,,Segment,3,2,Image 1,2,1,100000006,510000001416,
218,,Segment,3,3,Image 1,2,1,100000006,510000001418,
217,,Segment,3,3,Image 1,3,1,100000006,510000001430,
209,,Segment,3,3,Image 1,2,1,100000006,510000001448,
221,,Segment,3,3,Image 1,2,1,100000006,510000001465,
220,,Segment,3,4,Image 1,3,1,100000006,510000001486,
226,,Segment,3,2,Image 1,1,1,100000007,510000001536,
226,,Segment,3,3,Image 1,1,1,100000007,510000001546,
221,,Segment,3,4,Image 1,1,1,100000007,510000001549,
223,,Segment,3,5,Image 1,1,1,100000007,510000001551,
223,,Segment,3,6,Image 1,1,1,100000007,510000001573,
222,,Segment,3,6,Image 1,2,1,100000007,510000001575,
226,,Segment,3,3,Image 1,2,1,100000007,510000001583,
217,,Segment,3,2,Image 1,2,1,100000007,510000001620,
221,,Segment,3,3,Image 1,2,1,100000007,510000001624,
220,,Segment,3,4,Image 1,2,1,100000007,510000001626,
218,,Segment,3,4,Image 1,3,1,100000007,510000001628,
220,,Segment,3,3,Image 1,3,1,100000007,510000001630,
217,,Segment,3,1,Image 1,1,1,100000007,510000001632,
221,,Segment,3,2,Image 1,1,1,100000007,510000001634,
221,,Segment,3,2,Image 1,1,1,100000007,510000001639,
218,,Segment,3,2,Image 1,2,1,100000007,510000001655,
224,,Segment,3,3,Image 1,2,1,100000007,510000001659,
223,,Segment,3,3,Image 1,3,1,100000007,510000001680,
222,,Segment,3,2,Image 1,2,1,100000007,510000001689,
220,,Segment,3,5,Image 1,2,1,100000007,510000001704,
222,,Segment,3,4,Image 1,2,1,100000007,510000001717,
226,,Segment,3,2,Image 1,2,1,100000007,510000001731,
228,,Segment,3,1,Image 1,1,1,100000008,510000001749,
214,,Segment,3,1,Image 1,1,1,100000008,510000001766,
218,,Segment,3,2,Image 1,1,1,100000008,510000001768,
221,,Segment,3,4,Image 1,1,1,100000008,510000001772,
218,,Segment,3,4,Image 1,2,1,100000008,510000001788,
226,,Segment,3,2,Image 1,2,1,100000008,510000001800,
224,,Segment,3,3,Image 1,2,1,100000008,510000001831,
225,,Segment,3,3,Image 1,3,1,100000008,510000001850,
216,,Segment,3,3,Image 1,2,1,100000008,510000001867,
225,,Segment,3,4,Image 1,2,1,100000008,510000001875,
221,,Segment,3,1,Image 1,1,1,100000008,510000001928,
196,,Segment,3,1,Image 1,1,1,100000008,510000001966,
219,,Segment,3,2,Image 1,1,1,100000008,510000001969,
216,,Segment,3,3,Image 1,1,1,100000008,510000001975,
222,,Segment,3,4,Image 1,1,1,100000008,510000001981,
225,,Segment,3,1,Image 1,1,1,100000008,510000001996,
223,,Segment,3,3,Image 1,2,1,100000008,510000002049,
223,,Segment,3,4,Image 1,2,1,100000008,510000002070,
221,,Segment,3,2,Image 1,2,1,100000008,510000002130,
221,,Segment,3,1,Image 1,1,1,100000008,510000002155,
215,,Segment,3,4,Image 1,3,1,100000008,510000002180,
222,,Segment,3,5,Image 1,3,1,100000008,510000002187,
214,,Segment,3,5,Image 1,4,1,100000008,510000002191,
190,,Segment,3,2,Image 1,1,1,100000009,510000002212,
227,,Segment,3,3,Image 1,1,1,100000009,510000002215,
216,,Segment,3,4,Image 1,1,1,100000009,510000002235,
220,,Segment,3,4,Image 1,2,1,100000009,510000002237,
218,,Segment,3,2,Image 1,2,1,100000009,510000002248,
217,,Segment,3,2,Image 1,1,1,100000009,510000002271,
212,,Segment,3,2,Image 1,2,1,100000009,510000002296,
179,,Segment,3,2,Image 1,2,1,100000009,510000002305,
192,,Segment,3,3,Image 1,2,1,100000009,510000002310,
216,,Segment,3,4,Image 1,2,1,100000009,510000002314,
221,,Segment,3,4,Image 1,3,1,100000009,510000002320,
215,,Segment,3,3,Image 1,3,1,100000009,510000002333,
216,,Segment,3,2,Image 1,1,1,100000009,510000002352,
221,,Segment,3,2,Image 1,2,1,100000009,510000002376,
227,,Segment,3,3,Image 1,3,1,100000009,510000002388,
221,,Segment,3,3,Image 1,2,1,100000009,510000002396,
220,,Segment,3,4,Image 1,2,1,100000009,510000002398,
217,,Segment,3,4,Image 1,3,1,100000009,510000002403,
217,,Segment,3,3,Image 1,2,1,100000009,510000002417,
217,,Segment,3,1,Image 1,1,1,100000010,510000002436,
222,,Segment,3,2,Image 1,1,1,100000010,510000002463,
222,,Segment,3,2,Image 1,2,1,100000010,510000002487,
211,,Segment,3,2,Image 1,1,1,100000010,510000002501,
220,,Segment,3,3,Image 1,1,1,100000010,510000002510,
216,,Segment,3,3,Image 1,2,1,100000010,510000002538,
220,,Segment,3,4,Image 1,2,1,100000010,510000002548,
218,,Segment,3,4,Image 1,3,1,100000010,510000002565,
191,,Segment,3,1,Image 1,1,1,100000010,510000002584,
215,,Segment,3,2,Image 1,1,1,100000010,510000002588,
198,,Segment,3,2,Image 1,2,1,100000010,510000002597,
203,,Segment,3,3,Image 1,2,1,100000010,510000002602,
213,,Segment,3,4,Image 1,3,1,100000010,510000002608,
216,,Segment,3,1,Image 1,1,1,100000010,510000002612,
220,,Segment,3,2,Image 1,1,1,100000010,510000002624,
219,,Segment,3,2,Image 1,2,1,100000010,510000002635,
206,,Segment,3,3,Image 1,3,1,100000010,510000002672,
219,,Segment,3,4,Image 1,3,1,100000010,510000002680,
220,,Segment,3,4,Image 1,4,1,100000010,510000002707,
227,,Segment,3,2,Image 1,2,1,100000010,510000002726,
210,,Segment,3,1,Image 1,1,1,100000010,510000002748,
223,,Segment,3,3,Image 1,1,1,100000011,510000002766,
219,,Segment,3,3,Image 1,2,1,100000011,510000002785,
218,,Segment,3,4,Image 1,2,1,100000011,510000002792,
222,,Segment,3,4,Image 1,3,1,100000011,510000002809,
223,,Segment,3,2,Image 1,2,1,100000011,510000002827,
221,,Segment,3,3,Image 1,1,1,100000011,510000002847,
217,,Segment,3,3,Image 1,1,1,100000011,510000002860,
220,,Segment,3,2,Image 1,2,1,100000011,510000002874,
220,,Segment,3,1,Image 1,1,1,100000011,510000002880,
218,,Segment,3,3,Image 1,3,1,100000011,510000002898,
213,,Segment,3,3,Image 1,2,1,100000011,510000002902,
220,,Segment,3,3,Image 1,2,1,100000011,510000002917,
218,,Segment,3,3,Image 1,3,1,100000011,510000002938,
217,,Segment,3,3,Image 1,2,1,100000011,510000002946,
213,,Segment,3,1,Image 1,1,1,100000012,510000002958,
220,,Segment,3,2,Image 1,1,1,100000012,510000002963,
221,,Segment,3,3,Image 1,1,1,100000012,510000002974,
219,,Segment,3,3,Image 1,2,1,100000012,510000003000,
219,,Segment,3,2,Image 1,1,1,100000012,510000003014,
220,,Segment,3,2,Image 1,2,1,100000012,510000003040,
187,,Segment,3,1,Image 1,1,1,100000012,510000003065,
219,,Segment,3,2,Image 1,1,1,100000012,510000003067,
221,,Segment,3,2,Image 1,2,1,100000012,510000003086,
220,,Segment,3,2,Image 1,2,1,100000012,510000003109,
199,,Segment,3,2,Image 1,1,1,100000012,510000003121,
214,,Segment,3,3,Image 1,1,1,100000012,510000003124,
214,,Segment,3,4,Image 1,1,1,100000012,510000003130,
217,,Segment,3,4,Image 1,2,1,100000012,510000003147,
221,,Segment,3,5,Image 1,2,1,100000012,510000003157,
225,,Segment,3,5,Image 1,3,1,100000012,510000003175,
216,,Segment,3,5,Image 1,2,1,100000012,510000003190,
219,,Segment,3,2,Image 1,2,1,100000012,510000003198,
219,,Segment,3,2,Image 1,2,1,100000012,510000003232,
219,,Segment,3,3,Image 1,2,1,100000012,510000003243,
214,,Segment,3,4,Image 1,1,1,100000013,510000003271,
188,,Segment,3,3,Image 1,2,1,100000013,510000003294,
218,,Segment,3,4,Image 1,2,1,100000013,510000003296,
214,,Segment,3,4,Image 1,2,1,100000013,510000003319,
211,,Segment,3,3,Image 1,2,1,100000013,510000003334,
219,,Segment,3,4,Image 1,2,1,100000013,510000003336,
220,,Segment,3,4,Image 1,3,1,100000013,510000003352,
174,,Segment,3,2,Image 1,1,1,100000013,510000003369,
210,,Segment,3,3,Image 1,1,1,100000013,510000003372,
218,,Segment,3,2,Image 1,2,1,100000013,510000003375,
215,,Segment,3,2,Image 1,2,1,100000013,510000003389,
180,,Segment,3,1,Image 1,1,1,100000013,510000003402,
218,,Segment,3,2,Image 1,1,1,100000013,510000003405,
213,,Segment,3,2,Image 1,2,1,100000013,510000003429,
210,,Segment,3,3,Image 1,3,1,100000013,510000003442,
217,,Segment,3,4,Image 1,3,1,100000013,510000003451,
215,,Segment,3,3,Image 1,2,1,100000013,510000003473,
191,,Segment,3,1,Image 1,1,1,100000014,510000003491,
205,,Segment,3,4,Image 1,1,1,100000014,510000003501,
201,,Segment,3,3,Image 1,2,1,100000014,510000003507,
131,,Segment,3,1,Image 1,1,1,100000014,510000003515,
176,,Segment,3,3,Image 1,2,1,100000014,510000003518,
115,,Segment,3,1,Image 1,1,1,100000014,510000003527,
212,,Segment,3,2,Image 1,2,1,100000014,510000003529,
171,,Segment,3,2,Image 1,1,1,100000014,510000003552,
200,,Segment,3,3,Image 1,1,1,100000014,510000003554,
209,,Segment,3,3,Image 1,2,1,100000014,510000003570,
211,,Segment,3,4,Image 1,2,1,100000014,510000003582,
