
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
128.43,,Segment,1,2,Image 1,1,1,100000000,510000000003,
180.529,,Segment,1,2,Image 1,2,1,100000000,510000000023,
192.599,,Segment,1,3,Image 1,2,1,100000000,510000000028,
195.863,,Segment,1,3,Image 1,3,1,100000000,510000000050,
184.597,,Segment,1,1,Image 1,2,1,100000000,510000000064,
158.316,,Segment,1,2,Image 1,2,1,100000000,510000000068,
204.59,,Segment,1,1,Image 1,2,1,100000000,510000000073,
144.919,,Segment,1,2,Image 1,2,1,100000000,510000000075,
119.064,,Segment,1,2,Image 1,3,1,100000000,510000000083,
202.913,,Segment,1,2,Image 1,3,1,100000000,510000000086,
206.203,,Segment,1,3,Image 1,3,1,100000000,510000000093,
196.749,,Segment,1,4,Image 1,3,1,100000000,510000000096,
177.595,,Segment,1,4,Image 1,4,1,100000000,510000000103,
129.544,,Segment,1,3,Image 1,4,1,100000000,510000000110,
194.585,,Segment,1,3,Image 1,2,1,100000000,510000000117,
143.623,,Segment,1,4,Image 1,2,1,100000000,510000000124,
148.778,,Segment,1,4,Image 1,3,1,100000000,510000000134,
236.911,,Segment,1,3,Image 1,3,1,100000000,510000000137,
210.452,,Segment,1,2,Image 1,3,1,100000000,510000000149,
105.337,,Segment,1,3,Image 1,3,1,100000000,510000000151,
145.326,,Segment,1,3,Image 1,4,1,100000000,510000000163,
138.519,,Segment,1,3,Image 1,4,1,100000000,510000000184,
131.892,,Segment,1,2,Image 1,3,1,100000000,510000000209,
228.053,,Segment,1,2,Image 1,1,1,100000001,510000000226,
140.735,,Segment,1,3,Image 1,1,1,100000001,510000000230,
143.616,,Segment,1,2,Image 1,2,1,100000001,510000000252,
193.75,,Segment,1,1,Image 1,1,1,100000001,510000000264,
157.873,,Segment,1,3,Image 1,1,1,100000001,510000000274,
161.038,,Segment,1,3,Image 1,2,1,100000001,510000000282,
110.15,,Segment,1,4,Image 1,3,1,100000001,510000000314,
198.185,,Segment,1,2,Image 1,2,1,100000001,510000000318,
164.327,,Segment,1,3,Image 1,2,1,100000001,510000000326,
114.112,,Segment,1,4,Image 1,2,1,100000001,510000000350,
125.059,,Segment,1,4,Image 1,3,1,100000001,510000000359,
221.616,,Segment,1,1,Image 1,1,1,100000001,510000000384,
157.371,,Segment,1,2,Image 1,1,1,100000001,510000000397,
167.41,,Segment,1,3,Image 1,2,1,100000001,510000000402,
212.655,,Segment,1,1,Image 1,1,1,100000001,510000000417,
130.086,,Segment,1,3,Image 1,3,1,100000001,510000000438,
146.678,,Segment,1,2,Image 1,2,1,100000001,510000000458,
194.738,,Segment,1,1,Image 1,1,1,100000002,510000000474,
140.639,,Segment,1,2,Image 1,1,1,100000002,510000000493,
138.817,,Segment,1,3,Image 1,1,1,100000002,510000000496,
219.355,,Segment,1,1,Image 1,1,1,100000002,510000000506,
107.024,,Segment,1,2,Image 1,1,1,100000002,510000000514,
216.285,,Segment,1,1,Image 1,1,1,100000002,510000000526,
100.001,,Segment,1,2,Image 1,1,1,100000002,510000000535,
251.756,,Segment,1,1,Image 1,1,1,100000002,510000000544,
196.093,,Segment,1,2,Image 1,1,1,100000002,510000000546,
