
Segment Intensity Sum Ch=1 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.22362e+07,,Segment,1,2,Image 1,1,1,100000000,510000000003,
2.44779e+06,,Segment,1,2,Image 1,2,1,100000000,510000000023,
1.79618e+06,,Segment,1,3,Image 1,2,1,100000000,510000000028,
917421,,Segment,1,3,Image 1,3,1,100000000,510000000050,
3.12117e+06,,Segment,1,1,Image 1,2,1,100000000,510000000064,
338796,,Segment,1,2,Image 1,2,1,100000000,510000000068,
3.42545e+06,,Segment,1,1,Image 1,2,1,100000000,510000000073,
474030,,Segment,1,2,Image 1,2,1,100000000,510000000075,
190502,,Segment,1,2,Image 1,3,1,100000000,510000000083,
594942,,Segment,1,2,Image 1,3,1,100000000,510000000086,
188263,,Segment,1,3,Image 1,3,1,100000000,510000000093,
384250,,Segment,1,4,Image 1,3,1,100000000,510000000096,
384849,,Segment,1,4,Image 1,4,1,100000000,510000000103,
149105,,Segment,1,3,Image 1,4,1,100000000,510000000110,
453382,,Segment,1,3,Image 1,2,1,100000000,510000000117,
233819,,Segment,1,4,Image 1,2,1,100000000,510000000124,
129437,,Segment,1,4,Image 1,3,1,100000000,510000000134,
406066,,Segment,1,3,Image 1,3,1,100000000,510000000137,
529496,,Segment,1,2,Image 1,3,1,100000000,510000000149,
210357,,Segment,1,3,Image 1,3,1,100000000,510000000151,
360118,,Segment,1,3,Image 1,4,1,100000000,510000000163,
971016,,Segment,1,3,Image 1,4,1,100000000,510000000184,
510950,,Segment,1,2,Image 1,3,1,100000000,510000000209,
7.48947e+06,,Segment,1,2,Image 1,1,1,100000001,510000000226,
1.4664e+07,,Segment,1,3,Image 1,1,1,100000001,510000000230,
8.44406e+06,,Segment,1,2,Image 1,2,1,100000001,510000000252,
2.50257e+07,,Segment,1,1,Image 1,1,1,100000001,510000000264,
4.25121e+06,,Segment,1,3,Image 1,1,1,100000001,510000000274,
1.82649e+07,,Segment,1,3,Image 1,2,1,100000001,510000000282,
1.54926e+06,,Segment,1,4,Image 1,3,1,100000001,510000000314,
8.0354e+06,,Segment,1,2,Image 1,2,1,100000001,510000000318,
1.40481e+07,,Segment,1,3,Image 1,2,1,100000001,510000000326,
4.12973e+06,,Segment,1,4,Image 1,2,1,100000001,510000000350,
1.31211e+07,,Segment,1,4,Image 1,3,1,100000001,510000000359,
2.48666e+07,,Segment,1,1,Image 1,1,1,100000001,510000000384,
2.88587e+06,,Segment,1,2,Image 1,1,1,100000001,510000000397,
1.13153e+07,,Segment,1,3,Image 1,2,1,100000001,510000000402,
2.48894e+07,,Segment,1,1,Image 1,1,1,100000001,510000000417,
9.67178e+06,,Segment,1,3,Image 1,3,1,100000001,510000000438,
8.14314e+06,,Segment,1,2,Image 1,2,1,100000001,510000000458,
2.46579e+07,,Segment,1,1,Image 1,1,1,100000002,510000000474,
1.12019e+06,,Segment,1,2,Image 1,1,1,100000002,510000000493,
2.60698e+06,,Segment,1,3,Image 1,1,1,100000002,510000000496,
2.07108e+07,,Segment,1,1,Image 1,1,1,100000002,510000000506,
2.5599e+06,,Segment,1,2,Image 1,1,1,100000002,510000000514,
2.08551e+07,,Segment,1,1,Image 1,1,1,100000002,510000000526,
2.11412e+06,,Segment,1,2,Image 1,1,1,100000002,510000000535,
1.93384e+07,,Segment,1,1,Image 1,1,1,100000002,510000000544,
5.2551e+06,,Segment,1,2,Image 1,1,1,100000002,510000000546,
2.78642e+06,,Segment,1,3,Image 1,1,1,100000002,510000000554,
3.77903e+06,,Segment,1,3,Image 1,2,1,100000002,510000000563,
2.84861e+07,,Segment,1,1,Image 1,1,1,100000002,510000000581,
5.35988e+06,,Segment,1,2,Image 1,2,1,100000002,510000000605,
1.85456e+07,,Segment,1,1,Image 1,1,1,100000002,510000000623,
5.24024e+06,,Segment,1,2,Image 1,1,1,100000002,510000000626,
1.07702e+06,,Segment,1,3,Image 1,2,1,100000002,510000000644,
712000,,Segment,1,3,Image 1,2,1,100000002,510000000647,
2.26278e+06,,Segment,1,4,Image 1,2,1,100000002,510000000649,
5.01402e+06,,Segment,1,5,Image 1,2,1,100000002,510000000662,
6.94844e+06,,Segment,1,2,Image 1,2,1,100000002,510000000683,
1.88079e+06,,Segment,1,5,Image 1,3,1,100000002,510000000720,
2.03242e+06,,Segment,1,2,Image 1,2,1,100000002,510000000724,
1.41502e+06,,Segment,1,2,Image 1,2,1,100000002,510000000730,
708396,,Segment,1,2,Image 1,2,1,100000002,510000000738,
1.76731e+07,,Segment,1,1,Image 1,1,1,100000002,510000000745,
885759,,Segment,1,2,Image 1,1,1,100000002,510000000749,
1.63563e+06,,Segment,1,2,Image 1,2,1,100000002,510000000754,
6.8819e+07,,Segment,1,1,Image 1,1,1,100000003,510000000764,
2.21228e+07,,Segment,1,2,Image 1,1,1,100000003,510000000769,
2.69647e+07,,Segment,1,2,Image 1,1,1,100000003,510000000781,
2.28014e+07,,Segment,1,2,Image 1,2,1,100000003,510000000789,
2.86472e+07,,Segment,1,2,Image 1,2,1,100000003,510000000797,
7.94902e+07,,Segment,1,1,Image 1,1,1,100000003,510000000804,
6.47056e+07,,Segment,1,1,Image 1,1,1,100000003,510000000823,
3.98552e+07,,Segment,1,2,Image 1,2,1,100000003,510000000833,
4.10358e+07,,Segment,1,1,Image 1,1,1,100000004,510000000849,
3.51508e+07,,Segment,1,1,Image 1,1,1,100000004,510000000871,
5.75657e+06,,Segment,1,3,Image 1,1,1,100000004,510000000884,
4.1353e+06,,Segment,1,3,Image 1,2,1,100000004,510000000894,
2.42428e+06,,Segment,1,3,Image 1,2,1,100000004,510000000902,
4.21093e+06,,Segment,1,4,Image 1,2,1,100000004,510000000904,
1.33601e+06,,Segment,1,5,Image 1,2,1,100000004,510000000915,
4.21556e+07,,Segment,1,1,Image 1,1,1,100000004,510000000923,
4.53295e+06,,Segment,1,4,Image 1,3,1,100000004,510000000942,
4.09772e+06,,Segment,1,4,Image 1,3,1,100000004,510000000956,
4.566e+06,,Segment,1,3,Image 1,3,1,100000004,510000000973,
1.42864e+06,,Segment,1,5,Image 1,3,1,100000004,510000000978,
3.24155e+06,,Segment,1,4,Image 1,4,1,100000004,510000000984,
2.96771e+06,,Segment,1,1,Image 1,1,1,100000005,510000000993,
2.43397e+06,,Segment,1,2,Image 1,1,1,100000005,510000000995,
2.94452e+06,,Segment,1,3,Image 1,1,1,100000005,510000000999,
2.01449e+06,,Segment,1,2,Image 1,2,1,100000005,510000001015,
2.86876e+06,,Segment,1,3,Image 1,3,1,100000005,510000001032,
3.93923e+06,,Segment,1,3,Image 1,3,1,100000005,510000001055,
2.85828e+06,,Segment,1,4,Image 1,2,1,100000005,510000001076,
1.94797e+06,,Segment,1,5,Image 1,2,1,100000005,510000001082,
2.51842e+06,,Segment,1,6,Image 1,3,1,100000005,510000001086,
1.07346e+06,,Segment,1,7,Image 1,2,1,100000005,510000001093,
