
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
195.078,µm,Segment,2,1,1,100000000,510000000003,
49.3862,µm,Segment,2,2,1,100000000,510000000023,
214.265,µm,Segment,3,2,1,100000000,510000000028,
131.374,µm,Segment,3,3,1,100000000,510000000050,
56.5437,µm,Segment,1,2,1,100000000,510000000064,
50.8823,µm,Segment,2,2,1,100000000,510000000068,
38.4515,µm,Segment,1,2,1,100000000,510000000073,
68.8827,µm,Segment,2,2,1,100000000,510000000075,
44.6361,µm,Segment,2,3,1,100000000,510000000083,
74.7365,µm,Segment,2,3,1,100000000,510000000086,
29.667,µm,Segment,3,3,1,100000000,510000000093,
62.3296,µm,Segment,4,3,1,100000000,510000000096,
77.2705,µm,Segment,4,4,1,100000000,510000000103,
39.6264,µm,Segment,3,4,1,100000000,510000000110,
34.4823,µm,Segment,3,2,1,100000000,510000000117,
43.5979,µm,Segment,4,2,1,100000000,510000000124,
25.9737,µm,Segment,4,3,1,100000000,510000000134,
43.9281,µm,Segment,3,3,1,100000000,510000000137,
30.9727,µm,Segment,2,3,1,100000000,510000000149,
63.4045,µm,Segment,3,3,1,100000000,510000000151,
85.9511,µm,Segment,3,4,1,100000000,510000000163,
236.616,µm,Segment,3,4,1,100000000,510000000184,
108.915,µm,Segment,2,3,1,100000000,510000000209,
32.8211,µm,Segment,2,1,1,100000001,510000000226,
199.923,µm,Segment,3,1,1,100000001,510000000230,
112.092,µm,Segment,2,2,1,100000001,510000000252,
157.788,µm,Segment,1,1,1,100000001,510000000264,
46.2874,µm,Segment,3,1,1,100000001,510000000274,
267.051,µm,Segment,3,2,1,100000001,510000000282,
29.8201,µm,Segment,4,3,1,100000001,510000000314,
63.9364,µm,Segment,2,2,1,100000001,510000000318,
197.459,µm,Segment,3,2,1,100000001,510000000326,
85.726,µm,Segment,4,2,1,100000001,510000000350,
268.114,µm,Segment,4,3,1,100000001,510000000359,
87.1255,µm,Segment,1,1,1,100000001,510000000384,
35.917,µm,Segment,2,1,1,100000001,510000000397,
149.489,µm,Segment,3,2,1,100000001,510000000402,
117.779,µm,Segment,1,1,1,100000001,510000000417,
184.311,µm,Segment,3,3,1,100000001,510000000438,
132.91,µm,Segment,2,2,1,100000001,510000000458,
180.333,µm,Segment,1,1,1,100000002,510000000474,
27.2615,µm,Segment,2,1,1,100000002,510000000493,
85.7986,µm,Segment,3,1,1,100000002,510000000496,
78.6665,µm,Segment,1,1,1,100000002,510000000506,
96.7499,µm,Segment,2,1,1,100000002,510000000514,
92.5266,µm,Segment,1,1,1,100000002,510000000526,
88.7768,µm,Segment,2,1,1,100000002,510000000535,
30.5834,µm,Segment,1,1,1,100000002,510000000544,
73.4497,µm,Segment,2,1,1,100000002,510000000546,
