
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
11.964,µm,Segment,2,1,1,100000000,510000000003,
6.79857,µm,Segment,2,2,1,100000000,510000000023,
3.70282,µm,Segment,3,2,1,100000000,510000000028,
3.08777,µm,Segment,3,3,1,100000000,510000000050,
7.20686,µm,Segment,1,2,1,100000000,510000000064,
3.40133,µm,Segment,2,2,1,100000000,510000000068,
9.18771,µm,Segment,1,2,1,100000000,510000000073,
3.69575,µm,Segment,2,2,1,100000000,510000000075,
3.22318,µm,Segment,2,3,1,100000000,510000000083,
3.3304,µm,Segment,2,3,1,100000000,510000000086,
2.96642,µm,Segment,3,3,1,100000000,510000000093,
2.86287,µm,Segment,4,3,1,100000000,510000000096,
2.83562,µm,Segment,4,4,1,100000000,510000000103,
2.85834,µm,Segment,3,4,1,100000000,510000000110,
4.23379,µm,Segment,3,2,1,100000000,510000000117,
3.22348,µm,Segment,4,2,1,100000000,510000000124,
3.1192,µm,Segment,4,3,1,100000000,510000000134,
3.15226,µm,Segment,3,3,1,100000000,510000000137,
4.40923,µm,Segment,2,3,1,100000000,510000000149,
2.99838,µm,Segment,3,3,1,100000000,510000000151,
2.87901,µm,Segment,3,4,1,100000000,510000000163,
2.87004,µm,Segment,3,4,1,100000000,510000000184,
3.06765,µm,Segment,2,3,1,100000000,510000000209,
15.0578,µm,Segment,2,1,1,100000001,510000000226,
12.3302,µm,Segment,3,1,1,100000001,510000000230,
11.5448,µm,Segment,2,2,1,100000001,510000000252,
12.9501,µm,Segment,1,1,1,100000001,510000000264,
11.9444,µm,Segment,3,1,1,100000001,510000000274,
11.1062,µm,Segment,3,2,1,100000001,510000000282,
10.6977,µm,Segment,4,3,1,100000001,510000000314,
12.2522,µm,Segment,2,2,1,100000001,510000000318,
11.2201,µm,Segment,3,2,1,100000001,510000000326,
10.7719,µm,Segment,4,2,1,100000001,510000000350,
10.7001,µm,Segment,4,3,1,100000001,510000000359,
14.5403,µm,Segment,1,1,1,100000001,510000000384,
11.188,µm,Segment,2,1,1,100000001,510000000397,
11.1522,µm,Segment,3,2,1,100000001,510000000402,
13.9816,µm,Segment,1,1,1,100000001,510000000417,
10.8001,µm,Segment,3,3,1,100000001,510000000438,
10.8298,µm,Segment,2,2,1,100000001,510000000458,
11.0801,µm,Segment,1,1,1,100000002,510000000474,
8.51372,µm,Segment,2,1,1,100000002,510000000493,
7.82841,µm,Segment,3,1,1,100000002,510000000496,
12.8914,µm,Segment,1,1,1,100000002,510000000506,
8.24456,µm,Segment,2,1,1,100000002,510000000514,
12.5963,µm,Segment,1,1,1,100000002,510000000526,
8.16753,µm,Segment,2,1,1,100000002,510000000535,
18.3386,µm,Segment,1,1,1,100000002,510000000544,
10.018,µm,Segment,2,1,1,100000002,510000000546,
7.95596,µm,Segment,3,1,1,100000002,510000000554,
7.48496,µm,Segment,3,2,1,100000002,510000000563,
10.0765,µm,Segment,1,1,1,100000002,510000000581,
7.82022,µm,Segment,2,2,1,100000002,510000000605,
16.6991,µm,Segment,1,1,1,100000002,510000000623,
8.97253,µm,Segment,2,1,1,100000002,510000000626,
7.63149,µm,Segment,3,2,1,100000002,510000000644,
7.72725,µm,Segment,3,2,1,100000002,510000000647,
7.30577,µm,Segment,4,2,1,100000002,510000000649,
7.29493,µm,Segment,5,2,1,100000002,510000000662,
7.43129,µm,Segment,2,2,1,100000002,510000000683,
7.29386,µm,Segment,5,3,1,100000002,510000000720,
8.2277,µm,Segment,2,2,1,100000002,510000000724,
7.71214,µm,Segment,2,2,1,100000002,510000000730,
7.67133,µm,Segment,2,2,1,100000002,510000000738,
14.8195,µm,Segment,1,1,1,100000002,510000000745,
8.21045,µm,Segment,2,1,1,100000002,510000000749,
7.68266,µm,Segment,2,2,1,100000002,510000000754,
29.252,µm,Segment,1,1,1,100000003,510000000764,
22.1049,µm,Segment,2,1,1,100000003,510000000769,
23.2022,µm,Segment,2,1,1,100000003,510000000781,
22.1407,µm,Segment,2,2,1,100000003,510000000789,
22.1852,µm,Segment,2,2,1,100000003,510000000797,
24.0467,µm,Segment,1,1,1,100000003,510000000804,
25.6089,µm,Segment,1,1,1,100000003,510000000823,
21.1863,µm,Segment,2,2,1,100000003,510000000833,
16.0077,µm,Segment,1,1,1,100000004,510000000849,
15.6705,µm,Segment,1,1,1,100000004,510000000871,
12.6746,µm,Segment,3,1,1,100000004,510000000884,
11.6667,µm,Segment,3,2,1,100000004,510000000894,
12.1033,µm,Segment,3,2,1,100000004,510000000902,
11.4081,µm,Segment,4,2,1,100000004,510000000904,
