
Segment Number of Voxel Ch=3 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
95275,,Segment,3,2,Image 1,1,1,100000000,510000000003,
13559,,Segment,3,2,Image 1,2,1,100000000,510000000023,
9326,,Segment,3,3,Image 1,2,1,100000000,510000000028,
4684,,Segment,3,3,Image 1,3,1,100000000,510000000050,
16908,,Segment,3,1,Image 1,2,1,100000000,510000000064,
2140,,Segment,3,2,Image 1,2,1,100000000,510000000068,
16743,,Segment,3,1,Image 1,2,1,100000000,510000000073,
3271,,Segment,3,2,Image 1,2,1,100000000,510000000075,
1600,,Segment,3,2,Image 1,3,1,100000000,510000000083,
2932,,Segment,3,2,Image 1,3,1,100000000,510000000086,
913,,Segment,3,3,Image 1,3,1,100000000,510000000093,
1953,,Segment,3,4,Image 1,3,1,100000000,510000000096,
2167,,Segment,3,4,Image 1,4,1,100000000,510000000103,
1151,,Segment,3,3,Image 1,4,1,100000000,510000000110,
2330,,Segment,3,3,Image 1,2,1,100000000,510000000117,
1628,,Segment,3,4,Image 1,2,1,100000000,510000000124,
870,,Segment,3,4,Image 1,3,1,100000000,510000000134,
1714,,Segment,3,3,Image 1,3,1,100000000,510000000137,
2516,,Segment,3,2,Image 1,3,1,100000000,510000000149,
1997,,Segment,3,3,Image 1,3,1,100000000,510000000151,
2478,,Segment,3,3,Image 1,4,1,100000000,510000000163,
7010,,Segment,3,3,Image 1,4,1,100000000,510000000184,
3874,,Segment,3,2,Image 1,3,1,100000000,510000000209,
32841,,Segment,3,2,Image 1,1,1,100000001,510000000226,
104196,,Segment,3,3,Image 1,1,1,100000001,510000000230,
58796,,Segment,3,2,Image 1,2,1,100000001,510000000252,
129165,,Segment,3,1,Image 1,1,1,100000001,510000000264,
26928,,Segment,3,3,Image 1,1,1,100000001,510000000274,
113420,,Segment,3,3,Image 1,2,1,100000001,510000000282,
14065,,Segment,3,4,Image 1,3,1,100000001,510000000314,
40545,,Segment,3,2,Image 1,2,1,100000001,510000000318,
85489,,Segment,3,3,Image 1,2,1,100000001,510000000326,
36190,,Segment,3,4,Image 1,2,1,100000001,510000000350,
104919,,Segment,3,4,Image 1,3,1,100000001,510000000359,
112206,,Segment,3,1,Image 1,1,1,100000001,510000000384,
18338,,Segment,3,2,Image 1,1,1,100000001,510000000397,
67590,,Segment,3,3,Image 1,2,1,100000001,510000000402,
117041,,Segment,3,1,Image 1,1,1,100000001,510000000417,
74349,,Segment,3,3,Image 1,3,1,100000001,510000000438,
55517,,Segment,3,2,Image 1,2,1,100000001,510000000458,
126621,,Segment,3,1,Image 1,1,1,100000002,510000000474,
7965,,Segment,3,2,Image 1,1,1,100000002,510000000493,
18780,,Segment,3,3,Image 1,1,1,100000002,510000000496,
94417,,Segment,3,1,Image 1,1,1,100000002,510000000506,
23919,,Segment,3,2,Image 1,1,1,100000002,510000000514,
96424,,Segment,3,1,Image 1,1,1,100000002,510000000526,
21141,,Segment,3,2,Image 1,1,1,100000002,510000000535,
76814,,Segment,3,1,Image 1,1,1,100000002,510000000544,
26799,,Segment,3,2,Image 1,1,1,100000002,510000000546,
16620,,Segment,3,3,Image 1,1,1,100000002,510000000554,
32357,,Segment,3,3,Image 1,2,1,100000002,510000000563,
134376,,Segment,3,1,Image 1,1,1,100000002,510000000581,
36015,,Segment,3,2,Image 1,2,1,100000002,510000000605,
77385,,Segment,3,1,Image 1,1,1,100000002,510000000623,
45398,,Segment,3,2,Image 1,1,1,100000002,510000000626,
9065,,Segment,3,3,Image 1,2,1,100000002,510000000644,
7880,,Segment,3,3,Image 1,2,1,100000002,510000000647,
23098,,Segment,3,4,Image 1,2,1,100000002,510000000649,
33289,,Segment,3,5,Image 1,2,1,100000002,510000000662,
54254,,Segment,3,2,Image 1,2,1,100000002,510000000683,
9723,,Segment,3,5,Image 1,3,1,100000002,510000000720,
15716,,Segment,3,2,Image 1,2,1,100000002,510000000724,
14589,,Segment,3,2,Image 1,2,1,100000002,510000000730,
6455,,Segment,3,2,Image 1,2,1,100000002,510000000738,
74156,,Segment,3,1,Image 1,1,1,100000002,510000000745,
10732,,Segment,3,2,Image 1,1,1,100000002,510000000749,
15939,,Segment,3,2,Image 1,2,1,100000002,510000000754,
457555,,Segment,3,1,Image 1,1,1,100000003,510000000764,
241987,,Segment,3,2,Image 1,1,1,100000003,510000000769,
290088,,Segment,3,2,Image 1,1,1,100000003,510000000781,
240891,,Segment,3,2,Image 1,2,1,100000003,510000000789,
215803,,Segment,3,2,Image 1,2,1,100000003,510000000797,
484196,,Segment,3,1,Image 1,1,1,100000003,510000000804,
