
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-9.14699,°,Segment,2,1,1,100000000,510000000003,
-54.4105,°,Segment,2,2,1,100000000,510000000023,
-26.3104,°,Segment,3,2,1,100000000,510000000028,
-36.884,°,Segment,3,3,1,100000000,510000000050,
-90.5402,°,Segment,1,2,1,100000000,510000000064,
-73.5147,°,Segment,2,2,1,100000000,510000000068,
-156.546,°,Segment,1,2,1,100000000,510000000073,
-130.532,°,Segment,2,2,1,100000000,510000000075,
-122.235,°,Segment,2,3,1,100000000,510000000083,
167.961,°,Segment,2,3,1,100000000,510000000086,
159.362,°,Segment,3,3,1,100000000,510000000093,
161.185,°,Segment,4,3,1,100000000,510000000096,
-137.668,°,Segment,4,4,1,100000000,510000000103,
85.7803,°,Segment,3,4,1,100000000,510000000110,
154.121,°,Segment,3,2,1,100000000,510000000117,
152.801,°,Segment,4,2,1,100000000,510000000124,
98.0029,°,Segment,4,3,1,100000000,510000000134,
110.131,°,Segment,3,3,1,100000000,510000000137,
56.9055,°,Segment,2,3,1,100000000,510000000149,
88.6898,°,Segment,3,3,1,100000000,510000000151,
22.3382,°,Segment,3,4,1,100000000,510000000163,
-4.88782,°,Segment,3,4,1,100000000,510000000184,
-101.428,°,Segment,2,3,1,100000000,510000000209,
171.384,°,Segment,2,1,1,100000001,510000000226,
171.537,°,Segment,3,1,1,100000001,510000000230,
-144.856,°,Segment,2,2,1,100000001,510000000252,
-108.697,°,Segment,1,1,1,100000001,510000000264,
-71.3109,°,Segment,3,1,1,100000001,510000000274,
-22.2456,°,Segment,3,2,1,100000001,510000000282,
-19.7324,°,Segment,4,3,1,100000001,510000000314,
4.08088,°,Segment,2,2,1,100000001,510000000318,
-16.5373,°,Segment,3,2,1,100000001,510000000326,
-10.0475,°,Segment,4,2,1,100000001,510000000350,
-30.1242,°,Segment,4,3,1,100000001,510000000359,
45.9919,°,Segment,1,1,1,100000001,510000000384,
35.9488,°,Segment,2,1,1,100000001,510000000397,
143.411,°,Segment,3,2,1,100000001,510000000402,
130.997,°,Segment,1,1,1,100000001,510000000417,
11.3597,°,Segment,3,3,1,100000001,510000000438,
10.5301,°,Segment,2,2,1,100000001,510000000458,
-0.00260163,°,Segment,1,1,1,100000002,510000000474,
-10.8927,°,Segment,2,1,1,100000002,510000000493,
-27.3716,°,Segment,3,1,1,100000002,510000000496,
-39.1567,°,Segment,1,1,1,100000002,510000000506,
-67.4622,°,Segment,2,1,1,100000002,510000000514,
-145.177,°,Segment,1,1,1,100000002,510000000526,
-150.409,°,Segment,2,1,1,100000002,510000000535,
134.592,°,Segment,1,1,1,100000002,510000000544,
172.949,°,Segment,2,1,1,100000002,510000000546,
-139.146,°,Segment,3,1,1,100000002,510000000554,
-175.025,°,Segment,3,2,1,100000002,510000000563,
146.237,°,Segment,1,1,1,100000002,510000000581,
51.9379,°,Segment,2,2,1,100000002,510000000605,
29.7364,°,Segment,1,1,1,100000002,510000000623,
53.2992,°,Segment,2,1,1,100000002,510000000626,
-74.2967,°,Segment,3,2,1,100000002,510000000644,
41.3915,°,Segment,3,2,1,100000002,510000000647,
10.5792,°,Segment,4,2,1,100000002,510000000649,
-20.3922,°,Segment,5,2,1,100000002,510000000662,
-15.4009,°,Segment,2,2,1,100000002,510000000683,
52.5937,°,Segment,5,3,1,100000002,510000000720,
79.3121,°,Segment,2,2,1,100000002,510000000724,
-25.2321,°,Segment,2,2,1,100000002,510000000730,
-152.224,°,Segment,2,2,1,100000002,510000000738,
-73.1312,°,Segment,1,1,1,100000002,510000000745,
