
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
107027,13280.4,21,µm,Segment,Segment Position,0,1,1,100000000,510000003676,
107990,13714.8,21,µm,Segment,Segment Position,0,1,1,100000005,510000003690,
107293,12918.8,-13.0901,µm,Segment,Segment Position,1,1,1,100000001,510000000264,
107352,13017.6,-14.0939,µm,Segment,Segment Position,1,1,1,100000001,510000000384,
107288,13028,-15.4015,µm,Segment,Segment Position,1,1,1,100000001,510000000417,
106891,12849.5,-9.45743,µm,Segment,Segment Position,1,1,1,100000002,510000000474,
106830,12812.3,-3.10158,µm,Segment,Segment Position,1,1,1,100000002,510000000506,
106771,12815.4,-2.75471,µm,Segment,Segment Position,1,1,1,100000002,510000000526,
106799,12841,-6.35989,µm,Segment,Segment Position,1,1,1,100000002,510000000544,
106716,12902,-13.45,µm,Segment,Segment Position,1,1,1,100000002,510000000581,
106813,12842.5,-5.13878,µm,Segment,Segment Position,1,1,1,100000002,510000000623,
106807,12824.5,-8.51887,µm,Segment,Segment Position,1,1,1,100000002,510000000745,
107688,12515.7,10.6793,µm,Segment,Segment Position,1,1,1,100000003,510000000764,
107576,12576.1,-6.69662,µm,Segment,Segment Position,1,1,1,100000003,510000000804,
107656,12475.6,15.1447,µm,Segment,Segment Position,1,1,1,100000003,510000000823,
108149,14099.3,-1.93386,µm,Segment,Segment Position,1,1,1,100000004,510000000849,
108175,14166.4,16.8783,µm,Segment,Segment Position,1,1,1,100000004,510000000871,
108116,14262.7,11.8663,µm,Segment,Segment Position,1,1,1,100000004,510000000923,
108005,13700.2,19.0126,µm,Segment,Segment Position,1,1,1,100000005,510000000993,
106339,12761.7,-2.5725,µm,Segment,Segment Position,1,1,1,100000006,510000001259,
106332,12776.4,-1.86006,µm,Segment,Segment Position,1,1,1,100000006,510000001329,
107196,12075,7.0793,µm,Segment,Segment Position,1,1,1,100000007,510000001632,
107115,11788.5,10.514,µm,Segment,Segment Position,1,1,1,100000008,510000001749,
107086,11822,10.5854,µm,Segment,Segment Position,1,1,1,100000008,510000001766,
107183,11815.5,15.5184,µm,Segment,Segment Position,1,1,1,100000008,510000001928,
107089,11831.5,12.7794,µm,Segment,Segment Position,1,1,1,100000008,510000001966,
107210,11881.6,6.657,µm,Segment,Segment Position,1,1,1,100000008,510000001996,
107033,11839,14.8073,µm,Segment,Segment Position,1,1,1,100000008,510000002155,
106639,12288,18.0775,µm,Segment,Segment Position,1,1,1,100000010,510000002436,
106563,12311.6,12.1249,µm,Segment,Segment Position,1,1,1,100000010,510000002584,
106595,12327.1,10.886,µm,Segment,Segment Position,1,1,1,100000010,510000002612,
106602,12276.8,16.5784,µm,Segment,Segment Position,1,1,1,100000010,510000002748,
107770,12857.2,4.23667,µm,Segment,Segment Position,1,1,1,100000011,510000002880,
106335,13960.7,11.2172,µm,Segment,Segment Position,1,1,1,100000012,510000002958,
106319,13985.1,10.1606,µm,Segment,Segment Position,1,1,1,100000012,510000003065,
108376,14110.7,19.8897,µm,Segment,Segment Position,1,1,1,100000013,510000003402,
105768,13052.4,-25.7385,µm,Segment,Segment Position,1,1,1,100000014,510000003491,
105817,13063.5,-26.4995,µm,Segment,Segment Position,1,1,1,100000014,510000003515,
105810,13068.1,-26.2827,µm,Segment,Segment Position,1,1,1,100000014,510000003527,
107039,13279.2,17.4326,µm,Segment,Segment Position,1,1,1,100000000,510000003677,
107319,12983.1,-23,µm,Segment,Segment Position,1,1,1,100000001,510000003680,
107319,12983.1,-23,µm,Segment,Segment Position,1,1,1,100000001,510000003681,
107652,12545.8,9,µm,Segment,Segment Position,1,1,1,100000003,510000003685,
108129,14179.1,11,µm,Segment,Segment Position,1,1,1,100000004,510000003686,
106331,12770.5,-3,µm,Segment,Segment Position,1,1,1,100000006,510000003696,
106331,12770.5,-3,µm,Segment,Segment Position,1,1,1,100000006,510000003697,
107198,12080.8,7,µm,Segment,Segment Position,1,1,1,100000007,510000003699,
107198,12080.8,7,µm,Segment,Segment Position,1,1,1,100000007,510000003700,
107353,13291,11,µm,Segment,Segment Position,1,1,1,100000009,510000003702,
107353,13291,11,µm,Segment,Segment Position,1,1,1,100000009,510000003703,
107353,13291,11,µm,Segment,Segment Position,1,1,1,100000009,510000003704,
106571,12302.9,13,µm,Segment,Segment Position,1,1,1,100000010,510000003705,
107892,12898,11,µm,Segment,Segment Position,1,1,1,100000011,510000003707,
107892,12898,11,µm,Segment,Segment Position,1,1,1,100000011,510000003710,
107892,12898,11,µm,Segment,Segment Position,1,1,1,100000011,510000003712,
106325,13984.2,11,µm,Segment,Segment Position,1,1,1,100000012,510000003715,
106325,13984.2,11,µm,Segment,Segment Position,1,1,1,100000012,510000003716,
108373,14098.2,21,µm,Segment,Segment Position,1,1,1,100000013,510000003718,
108373,14098.2,21,µm,Segment,Segment Position,1,1,1,100000013,510000003722,
105811,13063.2,-27,µm,Segment,Segment Position,1,1,1,100000014,510000003723,
107037,13258.5,17.9682,µm,Segment,Segment Position,1,2,1,100000000,510000000064,
107031,13276.5,17.4192,µm,Segment,Segment Position,1,2,1,100000000,510000000073,
107039,13279.2,17.4326,µm,Segment,Segment Position,1,2,1,100000000,510000003678,
108002,13703.1,19.2773,µm,Segment,Segment Position,1,2,1,100000005,510000003691,
107130,13266.3,15.3774,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
107293,12988.5,-18.5588,µm,Segment,Segment Position,2,1,1,100000001,510000000226,
107386,13050.1,-1.19801,µm,Segment,Segment Position,2,1,1,100000001,510000000397,
106982,12835.1,-2.18929,µm,Segment,Segment Position,2,1,1,100000002,510000000493,
106880,12747.3,0.0330736,µm,Segment,Segment Position,2,1,1,100000002,510000000514,
106697,12767.4,-1.67735,µm,Segment,Segment Position,2,1,1,100000002,510000000535,
106759,12869.6,-1.23117,µm,Segment,Segment Position,2,1,1,100000002,510000000546,
106877,12906.5,2.55253,µm,Segment,Segment Position,2,1,1,100000002,510000000626,
106818,12784,-10.0339,µm,Segment,Segment Position,2,1,1,100000002,510000000749,
107806,12445.4,15.4022,µm,Segment,Segment Position,2,1,1,100000003,510000000769,
107598,12465.8,10.1595,µm,Segment,Segment Position,2,1,1,100000003,510000000781,
108028,13681.7,16.9186,µm,Segment,Segment Position,2,1,1,100000005,510000000995,
106363,12729.1,-3.68506,µm,Segment,Segment Position,2,1,1,100000006,510000001262,
106479,12914.5,3.72285,µm,Segment,Segment Position,2,1,1,100000006,510000001285,
106354,12882.9,10.4498,µm,Segment,Segment Position,2,1,1,100000006,510000001331,
107240,12135.4,2.81534,µm,Segment,Segment Position,2,1,1,100000007,510000001536,
107190,12039,8.69096,µm,Segment,Segment Position,2,1,1,100000007,510000001634,
107126,12067.5,7.61645,µm,Segment,Segment Position,2,1,1,100000007,510000001639,
107073,11807.1,8.34212,µm,Segment,Segment Position,2,1,1,100000008,510000001768,
107095,11855.7,17.296,µm,Segment,Segment Position,2,1,1,100000008,510000001969,
107378,13274.7,9.84803,µm,Segment,Segment Position,2,1,1,100000009,510000002212,
107366,13179,11.1691,µm,Segment,Segment Position,2,1,1,100000009,510000002271,
107280,13370,10.442,µm,Segment,Segment Position,2,1,1,100000009,510000002352,
106755,12235.7,13.9015,µm,Segment,Segment Position,2,1,1,100000010,510000002463,
106560,12273.8,17.4457,µm,Segment,Segment Position,2,1,1,100000010,510000002501,
106533,12333.9,10.4826,µm,Segment,Segment Position,2,1,1,100000010,510000002588,
