
Segment Position X
 ==================== 
Segment Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
107130,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
107057,µm,Segment,Segment Position,2,2,1,100000000,510000000023,
107156,µm,Segment,Segment Position,3,2,1,100000000,510000000028,
107125,µm,Segment,Segment Position,3,3,1,100000000,510000000050,
107037,µm,Segment,Segment Position,1,2,1,100000000,510000000064,
107044,µm,Segment,Segment Position,2,2,1,100000000,510000000068,
107031,µm,Segment,Segment Position,1,2,1,100000000,510000000073,
106986,µm,Segment,Segment Position,2,2,1,100000000,510000000075,
107030,µm,Segment,Segment Position,2,3,1,100000000,510000000083,
106976,µm,Segment,Segment Position,2,3,1,100000000,510000000086,
106929,µm,Segment,Segment Position,3,3,1,100000000,510000000093,
106883,µm,Segment,Segment Position,4,3,1,100000000,510000000096,
106888,µm,Segment,Segment Position,4,4,1,100000000,510000000103,
106942,µm,Segment,Segment Position,3,4,1,100000000,510000000110,
106990,µm,Segment,Segment Position,3,2,1,100000000,510000000117,
106959,µm,Segment,Segment Position,4,2,1,100000000,510000000124,
106974,µm,Segment,Segment Position,4,3,1,100000000,510000000134,
107002,µm,Segment,Segment Position,3,3,1,100000000,510000000137,
107020,µm,Segment,Segment Position,2,3,1,100000000,510000000149,
107033,µm,Segment,Segment Position,3,3,1,100000000,510000000151,
107063,µm,Segment,Segment Position,3,4,1,100000000,510000000163,
107153,µm,Segment,Segment Position,3,4,1,100000000,510000000184,
106997,µm,Segment,Segment Position,2,3,1,100000000,510000000209,
107293,µm,Segment,Segment Position,2,1,1,100000001,510000000226,
107189,µm,Segment,Segment Position,3,1,1,100000001,510000000230,
107261,µm,Segment,Segment Position,2,2,1,100000001,510000000252,
107293,µm,Segment,Segment Position,1,1,1,100000001,510000000264,
107345,µm,Segment,Segment Position,3,1,1,100000001,510000000274,
107429,µm,Segment,Segment Position,3,2,1,100000001,510000000282,
107572,µm,Segment,Segment Position,4,3,1,100000001,510000000314,
107363,µm,Segment,Segment Position,2,2,1,100000001,510000000318,
107465,µm,Segment,Segment Position,3,2,1,100000001,510000000326,
107608,µm,Segment,Segment Position,4,2,1,100000001,510000000350,
107678,µm,Segment,Segment Position,4,3,1,100000001,510000000359,
107352,µm,Segment,Segment Position,1,1,1,100000001,510000000384,
107386,µm,Segment,Segment Position,2,1,1,100000001,510000000397,
107211,µm,Segment,Segment Position,3,2,1,100000001,510000000402,
107288,µm,Segment,Segment Position,1,1,1,100000001,510000000417,
107453,µm,Segment,Segment Position,3,3,1,100000001,510000000438,
107440,µm,Segment,Segment Position,2,2,1,100000001,510000000458,
106891,µm,Segment,Segment Position,1,1,1,100000002,510000000474,
106982,µm,Segment,Segment Position,2,1,1,100000002,510000000493,
107033,µm,Segment,Segment Position,3,1,1,100000002,510000000496,
106830,µm,Segment,Segment Position,1,1,1,100000002,510000000506,
106880,µm,Segment,Segment Position,2,1,1,100000002,510000000514,
106771,µm,Segment,Segment Position,1,1,1,100000002,510000000526,
106697,µm,Segment,Segment Position,2,1,1,100000002,510000000535,
106799,µm,Segment,Segment Position,1,1,1,100000002,510000000544,
106759,µm,Segment,Segment Position,2,1,1,100000002,510000000546,
106694,µm,Segment,Segment Position,3,1,1,100000002,510000000554,
106634,µm,Segment,Segment Position,3,2,1,100000002,510000000563,
106716,µm,Segment,Segment Position,1,1,1,100000002,510000000581,
106834,µm,Segment,Segment Position,2,2,1,100000002,510000000605,
106813,µm,Segment,Segment Position,1,1,1,100000002,510000000623,
106877,µm,Segment,Segment Position,2,1,1,100000002,510000000626,
107005,µm,Segment,Segment Position,3,2,1,100000002,510000000644,
107007,µm,Segment,Segment Position,3,2,1,100000002,510000000647,
107129,µm,Segment,Segment Position,4,2,1,100000002,510000000649,
107272,µm,Segment,Segment Position,5,2,1,100000002,510000000662,
107124,µm,Segment,Segment Position,2,2,1,100000002,510000000683,
107204,µm,Segment,Segment Position,5,3,1,100000002,510000000720,
106828,µm,Segment,Segment Position,2,2,1,100000002,510000000724,
106886,µm,Segment,Segment Position,2,2,1,100000002,510000000730,
106727,µm,Segment,Segment Position,2,2,1,100000002,510000000738,
106807,µm,Segment,Segment Position,1,1,1,100000002,510000000745,
106818,µm,Segment,Segment Position,2,1,1,100000002,510000000749,
106799,µm,Segment,Segment Position,2,2,1,100000002,510000000754,
107688,µm,Segment,Segment Position,1,1,1,100000003,510000000764,
107806,µm,Segment,Segment Position,2,1,1,100000003,510000000769,
107598,µm,Segment,Segment Position,2,1,1,100000003,510000000781,
107556,µm,Segment,Segment Position,2,2,1,100000003,510000000789,
107559,µm,Segment,Segment Position,2,2,1,100000003,510000000797,
107576,µm,Segment,Segment Position,1,1,1,100000003,510000000804,
107656,µm,Segment,Segment Position,1,1,1,100000003,510000000823,
107822,µm,Segment,Segment Position,2,2,1,100000003,510000000833,
