
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
13266.3,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
13259.9,µm,Segment,Segment Position,2,2,1,100000000,510000000023,
13196.4,µm,Segment,Segment Position,3,2,1,100000000,510000000028,
13202.7,µm,Segment,Segment Position,3,3,1,100000000,510000000050,
13258.5,µm,Segment,Segment Position,1,2,1,100000000,510000000064,
13207.6,µm,Segment,Segment Position,2,2,1,100000000,510000000068,
13276.5,µm,Segment,Segment Position,1,2,1,100000000,510000000073,
13244,µm,Segment,Segment Position,2,2,1,100000000,510000000075,
13213.2,µm,Segment,Segment Position,2,3,1,100000000,510000000083,
13272.6,µm,Segment,Segment Position,2,3,1,100000000,510000000086,
13281.5,µm,Segment,Segment Position,3,3,1,100000000,510000000093,
13298,µm,Segment,Segment Position,4,3,1,100000000,510000000096,
13264.4,µm,Segment,Segment Position,4,4,1,100000000,510000000103,
13292.8,µm,Segment,Segment Position,3,4,1,100000000,510000000110,
13292.6,µm,Segment,Segment Position,3,2,1,100000000,510000000117,
13309.5,µm,Segment,Segment Position,4,2,1,100000000,510000000124,
13310.4,µm,Segment,Segment Position,4,3,1,100000000,510000000134,
13299.7,µm,Segment,Segment Position,3,3,1,100000000,510000000137,
13289.4,µm,Segment,Segment Position,2,3,1,100000000,510000000149,
13340.4,µm,Segment,Segment Position,3,3,1,100000000,510000000151,
13312.9,µm,Segment,Segment Position,3,4,1,100000000,510000000163,
13295.6,µm,Segment,Segment Position,3,4,1,100000000,510000000184,
13205.8,µm,Segment,Segment Position,2,3,1,100000000,510000000209,
12988.5,µm,Segment,Segment Position,2,1,1,100000001,510000000226,
13006.5,µm,Segment,Segment Position,3,1,1,100000001,510000000230,
12952.3,µm,Segment,Segment Position,2,2,1,100000001,510000000252,
12918.8,µm,Segment,Segment Position,1,1,1,100000001,510000000264,
12941.7,µm,Segment,Segment Position,3,1,1,100000001,510000000274,
12931.4,µm,Segment,Segment Position,3,2,1,100000001,510000000282,
12864.2,µm,Segment,Segment Position,4,3,1,100000001,510000000314,
12971.2,µm,Segment,Segment Position,2,2,1,100000001,510000000318,
12955.6,µm,Segment,Segment Position,3,2,1,100000001,510000000326,
12912.8,µm,Segment,Segment Position,4,2,1,100000001,510000000350,
12843.8,µm,Segment,Segment Position,4,3,1,100000001,510000000359,
13017.6,µm,Segment,Segment Position,1,1,1,100000001,510000000384,
13050.1,µm,Segment,Segment Position,2,1,1,100000001,510000000397,
13040,µm,Segment,Segment Position,3,2,1,100000001,510000000402,
13028,µm,Segment,Segment Position,1,1,1,100000001,510000000417,
13003.6,µm,Segment,Segment Position,3,3,1,100000001,510000000438,
13045,µm,Segment,Segment Position,2,2,1,100000001,510000000458,
12849.5,µm,Segment,Segment Position,1,1,1,100000002,510000000474,
12835.1,µm,Segment,Segment Position,2,1,1,100000002,510000000493,
12817.1,µm,Segment,Segment Position,3,1,1,100000002,510000000496,
12812.3,µm,Segment,Segment Position,1,1,1,100000002,510000000506,
12747.3,µm,Segment,Segment Position,2,1,1,100000002,510000000514,
12815.4,µm,Segment,Segment Position,1,1,1,100000002,510000000526,
12767.4,µm,Segment,Segment Position,2,1,1,100000002,510000000535,
12841,µm,Segment,Segment Position,1,1,1,100000002,510000000544,
12869.6,µm,Segment,Segment Position,2,1,1,100000002,510000000546,
12846,µm,Segment,Segment Position,3,1,1,100000002,510000000554,
12864.8,µm,Segment,Segment Position,3,2,1,100000002,510000000563,
12902,µm,Segment,Segment Position,1,1,1,100000002,510000000581,
12920.5,µm,Segment,Segment Position,2,2,1,100000002,510000000605,
12842.5,µm,Segment,Segment Position,1,1,1,100000002,510000000623,
12906.5,µm,Segment,Segment Position,2,1,1,100000002,510000000626,
12817.6,µm,Segment,Segment Position,3,2,1,100000002,510000000644,
12835.9,µm,Segment,Segment Position,3,2,1,100000002,510000000647,
12814.9,µm,Segment,Segment Position,4,2,1,100000002,510000000649,
12784.3,µm,Segment,Segment Position,5,2,1,100000002,510000000662,
12796.9,µm,Segment,Segment Position,2,2,1,100000002,510000000683,
12829.2,µm,Segment,Segment Position,5,3,1,100000002,510000000720,
12872.6,µm,Segment,Segment Position,2,2,1,100000002,510000000724,
12780.9,µm,Segment,Segment Position,2,2,1,100000002,510000000730,
12783.8,µm,Segment,Segment Position,2,2,1,100000002,510000000738,
12824.5,µm,Segment,Segment Position,1,1,1,100000002,510000000745,
12784,µm,Segment,Segment Position,2,1,1,100000002,510000000749,
12776.2,µm,Segment,Segment Position,2,2,1,100000002,510000000754,
12515.7,µm,Segment,Segment Position,1,1,1,100000003,510000000764,
12445.4,µm,Segment,Segment Position,2,1,1,100000003,510000000769,
12465.8,µm,Segment,Segment Position,2,1,1,100000003,510000000781,
12493,µm,Segment,Segment Position,2,2,1,100000003,510000000789,
12546.8,µm,Segment,Segment Position,2,2,1,100000003,510000000797,
12576.1,µm,Segment,Segment Position,1,1,1,100000003,510000000804,
12475.6,µm,Segment,Segment Position,1,1,1,100000003,510000000823,
12378.5,µm,Segment,Segment Position,2,2,1,100000003,510000000833,
14099.3,µm,Segment,Segment Position,1,1,1,100000004,510000000849,
14166.4,µm,Segment,Segment Position,1,1,1,100000004,510000000871,
14121.7,µm,Segment,Segment Position,3,1,1,100000004,510000000884,
14124.8,µm,Segment,Segment Position,3,2,1,100000004,510000000894,
14184.7,µm,Segment,Segment Position,3,2,1,100000004,510000000902,
14203.2,µm,Segment,Segment Position,4,2,1,100000004,510000000904,
14222,µm,Segment,Segment Position,5,2,1,100000004,510000000915,
14262.7,µm,Segment,Segment Position,1,1,1,100000004,510000000923,
14248,µm,Segment,Segment Position,4,3,1,100000004,510000000942,
14219.1,µm,Segment,Segment Position,4,3,1,100000004,510000000956,
14170.9,µm,Segment,Segment Position,3,3,1,100000004,510000000973,
14235.5,µm,Segment,Segment Position,5,3,1,100000004,510000000978,
14222.2,µm,Segment,Segment Position,4,4,1,100000004,510000000984,
13700.2,µm,Segment,Segment Position,1,1,1,100000005,510000000993,
13681.7,µm,Segment,Segment Position,2,1,1,100000005,510000000995,
13637.7,µm,Segment,Segment Position,3,1,1,100000005,510000000999,
13660,µm,Segment,Segment Position,2,2,1,100000005,510000001015,
13695.4,µm,Segment,Segment Position,3,3,1,100000005,510000001032,
13647.2,µm,Segment,Segment Position,3,3,1,100000005,510000001055,
13731.5,µm,Segment,Segment Position,4,2,1,100000005,510000001076,
13753.9,µm,Segment,Segment Position,5,2,1,100000005,510000001082,
13779.6,µm,Segment,Segment Position,6,3,1,100000005,510000001086,
13789.1,µm,Segment,Segment Position,7,2,1,100000005,510000001093,
