
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
15.3774,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
15.1503,µm,Segment,Segment Position,2,2,1,100000000,510000000023,
17.4763,µm,Segment,Segment Position,3,2,1,100000000,510000000028,
9.77177,µm,Segment,Segment Position,3,3,1,100000000,510000000050,
17.9682,µm,Segment,Segment Position,1,2,1,100000000,510000000064,
18.7132,µm,Segment,Segment Position,2,2,1,100000000,510000000068,
17.4192,µm,Segment,Segment Position,1,2,1,100000000,510000000073,
16.3173,µm,Segment,Segment Position,2,2,1,100000000,510000000075,
16.4653,µm,Segment,Segment Position,2,3,1,100000000,510000000083,
13.1828,µm,Segment,Segment Position,2,3,1,100000000,510000000086,
8.19111,µm,Segment,Segment Position,3,3,1,100000000,510000000093,
6.47462,µm,Segment,Segment Position,4,3,1,100000000,510000000096,
8.58428,µm,Segment,Segment Position,4,4,1,100000000,510000000103,
5.30189,µm,Segment,Segment Position,3,4,1,100000000,510000000110,
11.264,µm,Segment,Segment Position,3,2,1,100000000,510000000117,
-4.0213,µm,Segment,Segment Position,4,2,1,100000000,510000000124,
2.66364,µm,Segment,Segment Position,4,3,1,100000000,510000000134,
2.95707,µm,Segment,Segment Position,3,3,1,100000000,510000000137,
16.5295,µm,Segment,Segment Position,2,3,1,100000000,510000000149,
7.592,µm,Segment,Segment Position,3,3,1,100000000,510000000151,
-4.68907,µm,Segment,Segment Position,3,4,1,100000000,510000000163,
8.49692,µm,Segment,Segment Position,3,4,1,100000000,510000000184,
7.31945,µm,Segment,Segment Position,2,3,1,100000000,510000000209,
-18.5588,µm,Segment,Segment Position,2,1,1,100000001,510000000226,
-8.71724,µm,Segment,Segment Position,3,1,1,100000001,510000000230,
-14.3825,µm,Segment,Segment Position,2,2,1,100000001,510000000252,
-13.0901,µm,Segment,Segment Position,1,1,1,100000001,510000000264,
-13.4354,µm,Segment,Segment Position,3,1,1,100000001,510000000274,
-4.59988,µm,Segment,Segment Position,3,2,1,100000001,510000000282,
-6.95019,µm,Segment,Segment Position,4,3,1,100000001,510000000314,
-15.2365,µm,Segment,Segment Position,2,2,1,100000001,510000000318,
0.0868744,µm,Segment,Segment Position,3,2,1,100000001,510000000326,
-6.20236,µm,Segment,Segment Position,4,2,1,100000001,510000000350,
-7.16625,µm,Segment,Segment Position,4,3,1,100000001,510000000359,
-14.0939,µm,Segment,Segment Position,1,1,1,100000001,510000000384,
-1.19801,µm,Segment,Segment Position,2,1,1,100000001,510000000397,
-16.0018,µm,Segment,Segment Position,3,2,1,100000001,510000000402,
-15.4015,µm,Segment,Segment Position,1,1,1,100000001,510000000417,
4.46134,µm,Segment,Segment Position,3,3,1,100000001,510000000438,
9.15568,µm,Segment,Segment Position,2,2,1,100000001,510000000458,
-9.45743,µm,Segment,Segment Position,1,1,1,100000002,510000000474,
-2.18929,µm,Segment,Segment Position,2,1,1,100000002,510000000493,
-3.19791,µm,Segment,Segment Position,3,1,1,100000002,510000000496,
-3.10158,µm,Segment,Segment Position,1,1,1,100000002,510000000506,
0.0330736,µm,Segment,Segment Position,2,1,1,100000002,510000000514,
-2.75471,µm,Segment,Segment Position,1,1,1,100000002,510000000526,
-1.67735,µm,Segment,Segment Position,2,1,1,100000002,510000000535,
-6.35989,µm,Segment,Segment Position,1,1,1,100000002,510000000544,
-1.23117,µm,Segment,Segment Position,2,1,1,100000002,510000000546,
-4.28438,µm,Segment,Segment Position,3,1,1,100000002,510000000554,
1.3019,µm,Segment,Segment Position,3,2,1,100000002,510000000563,
-13.45,µm,Segment,Segment Position,1,1,1,100000002,510000000581,
2.39135,µm,Segment,Segment Position,2,2,1,100000002,510000000605,
-5.13878,µm,Segment,Segment Position,1,1,1,100000002,510000000623,
2.55253,µm,Segment,Segment Position,2,1,1,100000002,510000000626,
-4.47744,µm,Segment,Segment Position,3,2,1,100000002,510000000644,
-4.60454,µm,Segment,Segment Position,3,2,1,100000002,510000000647,
-3.76399,µm,Segment,Segment Position,4,2,1,100000002,510000000649,
-4.39031,µm,Segment,Segment Position,5,2,1,100000002,510000000662,
10.717,µm,Segment,Segment Position,2,2,1,100000002,510000000683,
-6.97175,µm,Segment,Segment Position,5,3,1,100000002,510000000720,
5.5666,µm,Segment,Segment Position,2,2,1,100000002,510000000724,
4.59142,µm,Segment,Segment Position,2,2,1,100000002,510000000730,
7.04591,µm,Segment,Segment Position,2,2,1,100000002,510000000738,
-8.51887,µm,Segment,Segment Position,1,1,1,100000002,510000000745,
-10.0339,µm,Segment,Segment Position,2,1,1,100000002,510000000749,
-6.05789,µm,Segment,Segment Position,2,2,1,100000002,510000000754,
