
Segment Resistance
 ==================== 
Segment Resistance,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.86164,1/µm,Segment,2,1,1,100000000,510000000003,
1.82688,1/µm,Segment,2,2,1,100000000,510000000023,
22.0667,1/µm,Segment,3,2,1,100000000,510000000028,
18.33,1/µm,Segment,3,3,1,100000000,510000000050,
2.17904,1/µm,Segment,1,2,1,100000000,510000000064,
5.81749,1/µm,Segment,2,2,1,100000000,510000000068,
0.886289,1/µm,Segment,1,2,1,100000000,510000000073,
6.92716,1/µm,Segment,2,2,1,100000000,510000000075,
5.63795,1/µm,Segment,2,3,1,100000000,510000000083,
8.93251,1/µm,Segment,2,3,1,100000000,510000000086,
4.29315,1/µm,Segment,3,3,1,100000000,510000000093,
9.64758,1/µm,Segment,4,3,1,100000000,510000000096,
12.2339,1/µm,Segment,4,4,1,100000000,510000000103,
6.10915,1/µm,Segment,3,4,1,100000000,510000000110,
2.42797,1/µm,Segment,3,2,1,100000000,510000000117,
5.32942,1/µm,Segment,4,2,1,100000000,510000000124,
3.31058,1/µm,Segment,4,3,1,100000000,510000000134,
5.754,1/µm,Segment,3,3,1,100000000,510000000137,
2.29418,1/µm,Segment,2,3,1,100000000,510000000149,
8.83333,1/µm,Segment,3,3,1,100000000,510000000151,
13.0882,1/µm,Segment,3,4,1,100000000,510000000163,
36.274,1/µm,Segment,3,4,1,100000000,510000000184,
14.494,1/µm,Segment,2,3,1,100000000,510000000209,
0.18625,1/µm,Segment,2,1,1,100000001,510000000226,
1.74686,1/µm,Segment,3,1,1,100000001,510000000230,
1.06599,1/µm,Segment,2,2,1,100000001,510000000252,
1.4411,1/µm,Segment,1,1,1,100000001,510000000264,
0.410969,1/µm,Segment,3,1,1,100000001,510000000274,
2.79102,1/µm,Segment,3,2,1,100000001,510000000282,
0.331761,1/µm,Segment,4,3,1,100000001,510000000314,
0.536035,1/µm,Segment,2,2,1,100000001,510000000318,
2.0134,1/µm,Segment,3,2,1,100000001,510000000326,
0.940365,1/µm,Segment,4,2,1,100000001,510000000350,
2.98049,1/µm,Segment,4,3,1,100000001,510000000359,
0.517188,1/µm,Segment,1,1,1,100000001,510000000384,
0.363827,1/µm,Segment,2,1,1,100000001,510000000397,
1.524,1/µm,Segment,3,2,1,100000001,510000000402,
0.884392,1/µm,Segment,1,1,1,100000001,510000000417,
2.01927,1/µm,Segment,3,3,1,100000001,510000000438,
1.43351,1/µm,Segment,2,2,1,100000001,510000000458,
2.10789,1/µm,Segment,1,1,1,100000002,510000000474,
0.479211,1/µm,Segment,2,1,1,100000002,510000000493,
1.78788,1/µm,Segment,3,1,1,100000002,510000000496,
0.725899,1/µm,Segment,1,1,1,100000002,510000000506,
1.81222,1/µm,Segment,2,1,1,100000002,510000000514,
0.944159,1/µm,Segment,1,1,1,100000002,510000000526,
1.71627,1/µm,Segment,2,1,1,100000002,510000000535,
0.162426,1/µm,Segment,1,1,1,100000002,510000000544,
0.961016,1/µm,Segment,2,1,1,100000002,510000000546,
1.43867,1/µm,Segment,3,1,1,100000002,510000000554,
3.90166,1/µm,Segment,3,2,1,100000002,510000000563,
3.35151,1/µm,Segment,1,1,1,100000002,510000000581,
3.23457,1/µm,Segment,2,2,1,100000002,510000000605,
0.174685,1/µm,Segment,1,1,1,100000002,510000000623,
2.61259,1/µm,Segment,2,1,1,100000002,510000000626,
0.899923,1/µm,Segment,3,2,1,100000002,510000000644,
0.724483,1/µm,Segment,3,2,1,100000002,510000000647,
3.00271,1/µm,Segment,4,2,1,100000002,510000000649,
4.3885,1/µm,Segment,5,2,1,100000002,510000000662,
6.66549,1/µm,Segment,2,2,1,100000002,510000000683,
1.18213,1/µm,Segment,5,3,1,100000002,510000000720,
1.16385,1/µm,Segment,2,2,1,100000002,510000000724,
1.50906,1/µm,Segment,2,2,1,100000002,510000000730,
0.55752,1/µm,Segment,2,2,1,100000002,510000000738,
0.345608,1/µm,Segment,1,1,1,100000002,510000000745,
0.76606,1/µm,Segment,2,1,1,100000002,510000000749,
1.61673,1/µm,Segment,2,2,1,100000002,510000000754,
0.183238,1/µm,Segment,1,1,1,100000003,510000000764,
0.415971,1/µm,Segment,2,1,1,100000003,510000000769,
0.34622,1/µm,Segment,2,1,1,100000003,510000000781,
0.36487,1/µm,Segment,2,2,1,100000003,510000000789,
0.269883,1/µm,Segment,2,2,1,100000003,510000000797,
0.280564,1/µm,Segment,1,1,1,100000003,510000000804,
0.306598,1/µm,Segment,1,1,1,100000003,510000000823,
