
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
21631.2,µm^3,Segment,2,1,1,100000000,510000000003,
2197.37,µm^3,Segment,2,2,1,100000000,510000000023,
2268.05,µm^3,Segment,3,2,1,100000000,510000000028,
975.673,µm^3,Segment,3,3,1,100000000,510000000050,
3082.66,µm^3,Segment,1,2,1,100000000,510000000064,
465.394,µm^3,Segment,2,2,1,100000000,510000000068,
3008.92,µm^3,Segment,1,2,1,100000000,510000000073,
752.196,µm^3,Segment,2,2,1,100000000,510000000075,
372.166,µm^3,Segment,2,3,1,100000000,510000000083,
666.071,µm^3,Segment,2,3,1,100000000,510000000086,
205.049,µm^3,Segment,3,3,1,100000000,510000000093,
402.923,µm^3,Segment,4,3,1,100000000,510000000096,
488.266,µm^3,Segment,4,4,1,100000000,510000000103,
257.462,µm^3,Segment,3,4,1,100000000,510000000110,
501.753,µm^3,Segment,3,2,1,100000000,510000000117,
366.797,µm^3,Segment,4,2,1,100000000,510000000124,
210.573,µm^3,Segment,4,3,1,100000000,510000000134,
362.318,µm^3,Segment,3,3,1,100000000,510000000137,
491.629,µm^3,Segment,2,3,1,100000000,510000000149,
459.252,µm^3,Segment,3,3,1,100000000,510000000151,
567.649,µm^3,Segment,3,4,1,100000000,510000000163,
1550.37,µm^3,Segment,3,4,1,100000000,510000000184,
874.722,µm^3,Segment,2,3,1,100000000,510000000209,
5817.99,µm^3,Segment,2,1,1,100000001,510000000226,
23485.3,µm^3,Segment,3,1,1,100000001,510000000230,
12333.2,µm^3,Segment,2,2,1,100000001,510000000252,
24093.2,µm^3,Segment,1,1,1,100000001,510000000264,
5330.18,µm^3,Segment,3,1,1,100000001,510000000274,
25696.2,µm^3,Segment,3,2,1,100000001,510000000282,
2680.37,µm^3,Segment,4,3,1,100000001,510000000314,
7928.27,µm^3,Segment,2,2,1,100000001,510000000318,
19389,µm^3,Segment,3,2,1,100000001,510000000326,
7815.89,µm^3,Segment,4,2,1,100000001,510000000350,
24119.6,µm^3,Segment,4,3,1,100000001,510000000359,
20837.3,µm^3,Segment,1,1,1,100000001,510000000384,
3557.88,µm^3,Segment,2,1,1,100000001,510000000397,
14888.9,µm^3,Segment,3,2,1,100000001,510000000402,
20760.1,µm^3,Segment,1,1,1,100000001,510000000417,
16833.9,µm^3,Segment,3,3,1,100000001,510000000438,
12349.2,µm^3,Segment,2,2,1,100000001,510000000458,
20698.3,µm^3,Segment,1,1,1,100000002,510000000474,
1551.77,µm^3,Segment,2,1,1,100000002,510000000493,
4138.81,µm^3,Segment,3,1,1,100000002,510000000496,
13076.2,µm^3,Segment,1,1,1,100000002,510000000506,
5286.79,µm^3,Segment,2,1,1,100000002,510000000514,
13379.4,µm^3,Segment,1,1,1,100000002,510000000526,
4671.77,µm^3,Segment,2,1,1,100000002,510000000535,
8643.82,µm^3,Segment,1,1,1,100000002,510000000544,
5738.19,µm^3,Segment,2,1,1,100000002,510000000546,
