
Filament Distance from Origin
 ==================== 
Filament Distance from Origin,Unit,Category,Collection,Time,ID,
112542,µm,Filament,Filament Distance from Origin,1,100000000,
112192,µm,Filament,Filament Distance from Origin,1,100000001,
112396,µm,Filament,Filament Distance from Origin,1,100000002,
113137,µm,Filament,Filament Distance from Origin,1,100000003,
112235,µm,Filament,Filament Distance from Origin,1,100000004,
112900,µm,Filament,Filament Distance from Origin,1,100000005,
112778,µm,Filament,Filament Distance from Origin,1,100000006,
112811,µm,Filament,Filament Distance from Origin,1,100000007,
112939,µm,Filament,Filament Distance from Origin,1,100000008,
112803,µm,Filament,Filament Distance from Origin,1,100000009,
111890,µm,Filament,Filament Distance from Origin,1,100000010,
112285,µm,Filament,Filament Distance from Origin,1,100000011,
