
Filament No. Sholl Intersections
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
0,,Filament,2.000,1,100000000,
0,,Filament,3.000,1,100000000,
0,,Filament,4.000,1,100000000,
0,,Filament,5.000,1,100000000,
0,,Filament,6.000,1,100000000,
0,,Filament,7.000,1,100000000,
0,,Filament,8.000,1,100000000,
0,,Filament,9.000,1,100000000,
0,,Filament,10.000,1,100000000,
0,,Filament,11.000,1,100000000,
0,,Filament,12.000,1,100000000,
0,,Filament,13.000,1,100000000,
0,,Filament,14.000,1,100000000,
1,,Filament,15.000,1,100000000,
3,,Filament,16.000,1,100000000,
3,,Filament,17.000,1,100000000,
3,,Filament,18.000,1,100000000,
3,,Filament,19.000,1,100000000,
6,,Filament,20.000,1,100000000,
6,,Filament,21.000,1,100000000,
6,,Filament,22.000,1,100000000,
7,,Filament,23.000,1,100000000,
7,,Filament,24.000,1,100000000,
8,,Filament,25.000,1,100000000,
8,,Filament,26.000,1,100000000,
9,,Filament,27.000,1,100000000,
9,,Filament,28.000,1,100000000,
9,,Filament,29.000,1,100000000,
9,,Filament,30.000,1,100000000,
9,,Filament,31.000,1,100000000,
9,,Filament,32.000,1,100000000,
9,,Filament,33.000,1,100000000,
9,,Filament,34.000,1,100000000,
9,,Filament,35.000,1,100000000,
9,,Filament,36.000,1,100000000,
9,,Filament,37.000,1,100000000,
9,,Filament,38.000,1,100000000,
9,,Filament,39.000,1,100000000,
9,,Filament,40.000,1,100000000,
9,,Filament,41.000,1,100000000,
9,,Filament,42.000,1,100000000,
9,,Filament,43.000,1,100000000,
9,,Filament,44.000,1,100000000,
9,,Filament,45.000,1,100000000,
9,,Filament,46.000,1,100000000,
9,,Filament,47.000,1,100000000,
9,,Filament,48.000,1,100000000,
9,,Filament,49.000,1,100000000,
9,,Filament,50.000,1,100000000,
9,,Filament,51.000,1,100000000,
9,,Filament,52.000,1,100000000,
9,,Filament,53.000,1,100000000,
9,,Filament,54.000,1,100000000,
9,,Filament,55.000,1,100000000,
9,,Filament,56.000,1,100000000,
9,,Filament,57.000,1,100000000,
11,,Filament,58.000,1,100000000,
11,,Filament,59.000,1,100000000,
10,,Filament,60.000,1,100000000,
12,,Filament,61.000,1,100000000,
12,,Filament,62.000,1,100000000,
12,,Filament,63.000,1,100000000,
12,,Filament,64.000,1,100000000,
12,,Filament,65.000,1,100000000,
11,,Filament,66.000,1,100000000,
12,,Filament,67.000,1,100000000,
12,,Filament,68.000,1,100000000,
12,,Filament,69.000,1,100000000,
12,,Filament,70.000,1,100000000,
12,,Filament,71.000,1,100000000,
12,,Filament,72.000,1,100000000,
12,,Filament,73.000,1,100000000,
12,,Filament,74.000,1,100000000,
12,,Filament,75.000,1,100000000,
12,,Filament,76.000,1,100000000,
12,,Filament,77.000,1,100000000,
12,,Filament,78.000,1,100000000,
12,,Filament,79.000,1,100000000,
12,,Filament,80.000,1,100000000,
12,,Filament,81.000,1,100000000,
12,,Filament,82.000,1,100000000,
12,,Filament,83.000,1,100000000,
12,,Filament,84.000,1,100000000,
12,,Filament,85.000,1,100000000,
12,,Filament,86.000,1,100000000,
12,,Filament,87.000,1,100000000,
12,,Filament,88.000,1,100000000,
12,,Filament,89.000,1,100000000,
12,,Filament,90.000,1,100000000,
12,,Filament,91.000,1,100000000,
11,,Filament,92.000,1,100000000,
11,,Filament,93.000,1,100000000,
11,,Filament,94.000,1,100000000,
11,,Filament,95.000,1,100000000,
11,,Filament,96.000,1,100000000,
11,,Filament,97.000,1,100000000,
11,,Filament,98.000,1,100000000,
11,,Filament,99.000,1,100000000,
11,,Filament,100.000,1,100000000,
11,,Filament,101.000,1,100000000,
11,,Filament,102.000,1,100000000,
11,,Filament,103.000,1,100000000,
11,,Filament,104.000,1,100000000,
11,,Filament,105.000,1,100000000,
11,,Filament,106.000,1,100000000,
11,,Filament,107.000,1,100000000,
11,,Filament,108.000,1,100000000,
10,,Filament,109.000,1,100000000,
10,,Filament,110.000,1,100000000,
10,,Filament,111.000,1,100000000,
9,,Filament,112.000,1,100000000,
8,,Filament,113.000,1,100000000,
8,,Filament,114.000,1,100000000,
8,,Filament,115.000,1,100000000,
8,,Filament,116.000,1,100000000,
