
Filament Position
 ==================== 
Filament Position X,Filament Position Y,Filament Position Z,Unit,Category,Collection,Time,ID,
112132,9607.87,4.3451,µm,Filament,Filament Position,1,100000000,
111752,9933.58,11.2762,µm,Filament,Filament Position,1,100000001,
111926,10265.5,13.0591,µm,Filament,Filament Position,1,100000002,
112675,10215.4,14.462,µm,Filament,Filament Position,1,100000003,
111815,9705.31,5.47306,µm,Filament,Filament Position,1,100000004,
112523,9210.26,7.71702,µm,Filament,Filament Position,1,100000005,
112392,9319.8,10.2019,µm,Filament,Filament Position,1,100000006,
112364,10042.3,10.8589,µm,Filament,Filament Position,1,100000007,
112544,9431.17,9.19469,µm,Filament,Filament Position,1,100000008,
112388,9669.46,16.165,µm,Filament,Filament Position,1,100000009,
111489,9471.51,0.421643,µm,Filament,Filament Position,1,100000010,
111894,9360.15,16.7334,µm,Filament,Filament Position,1,100000011,
