
Filament Position X
 ==================== 
Filament Position X,Unit,Category,Collection,Time,ID,
112132,µm,Filament,Filament Position,1,100000000,
111752,µm,Filament,Filament Position,1,100000001,
111926,µm,Filament,Filament Position,1,100000002,
112675,µm,Filament,Filament Position,1,100000003,
111815,µm,Filament,Filament Position,1,100000004,
112523,µm,Filament,Filament Position,1,100000005,
112392,µm,Filament,Filament Position,1,100000006,
112364,µm,Filament,Filament Position,1,100000007,
112544,µm,Filament,Filament Position,1,100000008,
112388,µm,Filament,Filament Position,1,100000009,
111489,µm,Filament,Filament Position,1,100000010,
111894,µm,Filament,Filament Position,1,100000011,
