
Filament Position Y
 ==================== 
Filament Position Y,Unit,Category,Collection,Time,ID,
9607.87,µm,Filament,Filament Position,1,100000000,
9933.58,µm,Filament,Filament Position,1,100000001,
10265.5,µm,Filament,Filament Position,1,100000002,
10215.4,µm,Filament,Filament Position,1,100000003,
9705.31,µm,Filament,Filament Position,1,100000004,
9210.26,µm,Filament,Filament Position,1,100000005,
9319.8,µm,Filament,Filament Position,1,100000006,
10042.3,µm,Filament,Filament Position,1,100000007,
9431.17,µm,Filament,Filament Position,1,100000008,
9669.46,µm,Filament,Filament Position,1,100000009,
9471.51,µm,Filament,Filament Position,1,100000010,
9360.15,µm,Filament,Filament Position,1,100000011,
