
Filament Position Z
 ==================== 
Filament Position Z,Unit,Category,Collection,Time,ID,
4.3451,µm,Filament,Filament Position,1,100000000,
11.2762,µm,Filament,Filament Position,1,100000001,
13.0591,µm,Filament,Filament Position,1,100000002,
14.462,µm,Filament,Filament Position,1,100000003,
5.47306,µm,Filament,Filament Position,1,100000004,
7.71702,µm,Filament,Filament Position,1,100000005,
10.2019,µm,Filament,Filament Position,1,100000006,
10.8589,µm,Filament,Filament Position,1,100000007,
9.19469,µm,Filament,Filament Position,1,100000008,
16.165,µm,Filament,Filament Position,1,100000009,
0.421643,µm,Filament,Filament Position,1,100000010,
16.7334,µm,Filament,Filament Position,1,100000011,
