
Filament Segment Area (sum)
 ==================== 
Filament Segment Area (sum),Unit,Category,Time,ID,
49315.9,µm^2,Filament,1,100000000,
10887.6,µm^2,Filament,1,100000001,
6962.33,µm^2,Filament,1,100000002,
11160.6,µm^2,Filament,1,100000003,
23074,µm^2,Filament,1,100000004,
12352.2,µm^2,Filament,1,100000005,
6936.18,µm^2,Filament,1,100000006,
17059.8,µm^2,Filament,1,100000007,
15968.2,µm^2,Filament,1,100000008,
9785.44,µm^2,Filament,1,100000009,
18609.1,µm^2,Filament,1,100000010,
18333.5,µm^2,Filament,1,100000011,
