
Filament Volume (sum)
 ==================== 
Filament Volume (sum),Unit,Category,Time,ID,
156673,µm^3,Filament,1,100000000,
13340.6,µm^3,Filament,1,100000001,
8710.24,µm^3,Filament,1,100000002,
16711.9,µm^3,Filament,1,100000003,
48421.6,µm^3,Filament,1,100000004,
15340.4,µm^3,Filament,1,100000005,
8663.68,µm^3,Filament,1,100000006,
23617.4,µm^3,Filament,1,100000007,
30416.2,µm^3,Filament,1,100000008,
14877,µm^3,Filament,1,100000009,
37304.8,µm^3,Filament,1,100000010,
46049.4,µm^3,Filament,1,100000011,
