
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
112537,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
112798,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000001,
112565,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000002,
112577,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000003,
112548,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000004,
112533,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000005,
112527,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000006,
112505,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000007,
112447,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000000,800000008,
112409,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000009,
112479,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000010,
112444,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000011,
112590,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000012,
112549,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000013,
112651,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000014,
112518,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000015,
112498,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000016,
112397,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000017,
112545,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000018,
112587,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000019,
112221,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000020,
112293,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000021,
112264,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000022,
112315,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000023,
112230,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000024,
112246,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000001,800000025,
