
Pt Time Type=Segment Terminal
 ==================== 
Pt Time,Unit,Category,Depth,Time,Type,FilamentID,ID,
0,s,Point,3,1,Segment Terminal,100000000,800000001,
0,s,Point,3,1,Segment Terminal,100000000,800000003,
0,s,Point,3,1,Segment Terminal,100000000,800000005,
0,s,Point,3,1,Segment Terminal,100000000,800000007,
0,s,Point,1,1,Segment Terminal,100000000,800000008,
0,s,Point,3,1,Segment Terminal,100000000,800000009,
0,s,Point,3,1,Segment Terminal,100000000,800000011,
0,s,Point,3,1,Segment Terminal,100000000,800000012,
0,s,Point,3,1,Segment Terminal,100000000,800000014,
0,s,Point,2,1,Segment Terminal,100000000,800000016,
0,s,Point,2,1,Segment Terminal,100000000,800000017,
0,s,Point,2,1,Segment Terminal,100000000,800000019,
0,s,Point,3,1,Segment Terminal,100000001,800000021,
0,s,Point,3,1,Segment Terminal,100000001,800000023,
0,s,Point,2,1,Segment Terminal,100000001,800000025,
0,s,Point,2,1,Segment Terminal,100000001,800000026,
0,s,Point,3,1,Segment Terminal,100000001,800000027,
0,s,Point,3,1,Segment Terminal,100000001,800000029,
0,s,Point,3,1,Segment Terminal,100000001,800000031,
0,s,Point,3,1,Segment Terminal,100000001,800000033,
0,s,Point,1,1,Segment Terminal,100000001,800000034,
0,s,Point,2,1,Segment Terminal,100000001,800000036,
0,s,Point,3,1,Segment Terminal,100000002,800000038,
0,s,Point,2,1,Segment Terminal,100000002,800000040,
0,s,Point,2,1,Segment Terminal,100000002,800000041,
0,s,Point,4,1,Segment Terminal,100000002,800000042,
0,s,Point,5,1,Segment Terminal,100000002,800000044,
0,s,Point,3,1,Segment Terminal,100000002,800000046,
0,s,Point,2,1,Segment Terminal,100000002,800000048,
0,s,Point,3,1,Segment Terminal,100000002,800000050,
0,s,Point,3,1,Segment Terminal,100000002,800000052,
0,s,Point,3,1,Segment Terminal,100000002,800000054,
0,s,Point,5,1,Segment Terminal,100000002,800000056,
0,s,Point,1,1,Segment Terminal,100000002,800000057,
0,s,Point,1,1,Segment Terminal,100000003,800000059,
0,s,Point,2,1,Segment Terminal,100000003,800000060,
0,s,Point,5,1,Segment Terminal,100000003,800000062,
0,s,Point,4,1,Segment Terminal,100000003,800000064,
0,s,Point,4,1,Segment Terminal,100000003,800000066,
0,s,Point,4,1,Segment Terminal,100000003,800000068,
0,s,Point,2,1,Segment Terminal,100000003,800000070,
0,s,Point,5,1,Segment Terminal,100000003,800000072,
0,s,Point,1,1,Segment Terminal,100000003,800000074,
0,s,Point,2,1,Segment Terminal,100000003,800000076,
0,s,Point,2,1,Segment Terminal,100000004,800000078,
0,s,Point,3,1,Segment Terminal,100000004,800000079,
0,s,Point,3,1,Segment Terminal,100000004,800000081,
0,s,Point,1,1,Segment Terminal,100000004,800000082,
0,s,Point,4,1,Segment Terminal,100000004,800000083,
0,s,Point,4,1,Segment Terminal,100000004,800000085,
0,s,Point,3,1,Segment Terminal,100000004,800000087,
0,s,Point,4,1,Segment Terminal,100000004,800000089,
0,s,Point,2,1,Segment Terminal,100000004,800000090,
0,s,Point,3,1,Segment Terminal,100000004,800000092,
0,s,Point,2,1,Segment Terminal,100000004,800000094,
0,s,Point,2,1,Segment Terminal,100000004,800000096,
0,s,Point,3,1,Segment Terminal,100000004,800000097,
0,s,Point,4,1,Segment Terminal,100000004,800000099,
0,s,Point,2,1,Segment Terminal,100000005,800000101,
0,s,Point,2,1,Segment Terminal,100000005,800000102,
0,s,Point,2,1,Segment Terminal,100000005,800000104,
