
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
2859.65,µm^2,Segment,1,1,1,100000000,510000000001,
1857.1,µm^2,Segment,2,1,1,100000000,510000000003,
9356.81,µm^2,Segment,3,1,1,100000000,510000000007,
2630.8,µm^2,Segment,3,2,1,100000000,510000000039,
1433.03,µm^2,Segment,2,2,1,100000000,510000000051,
1130.06,µm^2,Segment,3,2,1,100000000,510000000054,
1570.87,µm^2,Segment,3,3,1,100000000,510000000060,
5896.87,µm^2,Segment,1,1,1,100000000,510000000083,
1622.32,µm^2,Segment,2,1,1,100000000,510000000098,
1963.55,µm^2,Segment,3,1,1,100000000,510000000103,
1373.73,µm^2,Segment,3,2,1,100000000,510000000123,
443.397,µm^2,Segment,2,1,1,100000000,510000000137,
2297.48,µm^2,Segment,3,1,1,100000000,510000000139,
2433.24,µm^2,Segment,3,2,1,100000000,510000000160,
2595.7,µm^2,Segment,2,2,1,100000000,510000000181,
2893.74,µm^2,Segment,2,2,1,100000000,510000000190,
2082.26,µm^2,Segment,2,2,1,100000000,510000000208,
612.127,µm^2,Segment,2,1,1,100000001,510000000218,
517.728,µm^2,Segment,3,1,1,100000001,510000000225,
590.056,µm^2,Segment,3,2,1,100000001,510000000234,
751.272,µm^2,Segment,2,2,1,100000001,510000000244,
437.857,µm^2,Segment,1,1,1,100000001,510000000263,
665.122,µm^2,Segment,2,1,1,100000001,510000000265,
659.753,µm^2,Segment,1,1,1,100000001,510000000277,
835.186,µm^2,Segment,2,1,1,100000001,510000000280,
640.319,µm^2,Segment,3,1,1,100000001,510000000291,
1157.99,µm^2,Segment,3,2,1,100000001,510000000304,
492.438,µm^2,Segment,2,2,1,100000001,510000000325,
1289.85,µm^2,Segment,3,2,1,100000001,510000000335,
524.672,µm^2,Segment,3,3,1,100000001,510000000360,
771.507,µm^2,Segment,1,1,1,100000001,510000000372,
506.17,µm^2,Segment,2,2,1,100000001,510000000378,
563.914,µm^2,Segment,3,1,1,100000002,510000000392,
472.915,µm^2,Segment,2,2,1,100000002,510000000405,
591.672,µm^2,Segment,1,1,1,100000002,510000000415,
431.983,µm^2,Segment,2,1,1,100000002,510000000417,
792.701,µm^2,Segment,4,2,1,100000002,510000000430,
91.4871,µm^2,Segment,4,1,1,100000002,510000000449,
176.179,µm^2,Segment,5,1,1,100000002,510000000451,
187.518,µm^2,Segment,2,2,1,100000002,510000000457,
262.22,µm^2,Segment,3,2,1,100000002,510000000459,
148.599,µm^2,Segment,2,2,1,100000002,510000000468,
384.602,µm^2,Segment,3,2,1,100000002,510000000470,
123.759,µm^2,Segment,3,3,1,100000002,510000000481,
184.469,µm^2,Segment,3,2,1,100000002,510000000485,
349.973,µm^2,Segment,5,2,1,100000002,510000000490,
1011.98,µm^2,Segment,1,1,1,100000002,510000000503,
2645.67,µm^2,Segment,1,1,1,100000003,510000000517,
408.482,µm^2,Segment,1,1,1,100000003,510000000532,
437.625,µm^2,Segment,2,1,1,100000003,510000000537,
267.515,µm^2,Segment,2,2,1,100000003,510000000547,
322.502,µm^2,Segment,3,2,1,100000003,510000000550,
133.482,µm^2,Segment,4,2,1,100000003,510000000555,
514.583,µm^2,Segment,5,2,1,100000003,510000000558,
521.251,µm^2,Segment,4,3,1,100000003,510000000575,
387.79,µm^2,Segment,3,3,1,100000003,510000000585,
894.312,µm^2,Segment,4,3,1,100000003,510000000591,
634.169,µm^2,Segment,4,4,1,100000003,510000000611,
1365.34,µm^2,Segment,2,3,1,100000003,510000000625,
918.439,µm^2,Segment,5,3,1,100000003,510000000650,
314.25,µm^2,Segment,1,2,1,100000003,510000000668,
340.618,µm^2,Segment,2,2,1,100000003,510000000672,
1680.74,µm^2,Segment,1,1,1,100000004,510000000678,
782.793,µm^2,Segment,2,1,1,100000004,510000000680,
2813.82,µm^2,Segment,2,1,1,100000004,510000000686,
389.872,µm^2,Segment,3,1,1,100000004,510000000700,
454.244,µm^2,Segment,3,2,1,100000004,510000000703,
3427.72,µm^2,Segment,1,1,1,100000004,510000000705,
731.211,µm^2,Segment,2,1,1,100000004,510000000720,
774.594,µm^2,Segment,3,1,1,100000004,510000000723,
452.262,µm^2,Segment,4,1,1,100000004,510000000727,
516.035,µm^2,Segment,4,2,1,100000004,510000000730,
1293.13,µm^2,Segment,3,2,1,100000004,510000000733,
907.763,µm^2,Segment,2,2,1,100000004,510000000740,
221.057,µm^2,Segment,3,2,1,100000004,510000000743,
791.699,µm^2,Segment,4,2,1,100000004,510000000745,
1015.07,µm^2,Segment,2,2,1,100000004,510000000751,
1049.09,µm^2,Segment,3,3,1,100000004,510000000756,
716.221,µm^2,Segment,2,2,1,100000004,510000000766,
1844.58,µm^2,Segment,2,2,1,100000004,510000000771,
429.25,µm^2,Segment,3,2,1,100000004,510000000784,
998.794,µm^2,Segment,2,1,1,100000005,510000000789,
1573.47,µm^2,Segment,2,2,1,100000005,510000000803,
1066.57,µm^2,Segment,2,2,1,100000005,510000000827,
488.851,µm^2,Segment,2,2,1,100000005,510000000841,
1235.53,µm^2,Segment,2,2,1,100000005,510000000846,
320.317,µm^2,Segment,2,1,1,100000005,510000000866,
717.815,µm^2,Segment,3,1,1,100000005,510000000869,
1149.52,µm^2,Segment,2,2,1,100000005,510000000880,
778.557,µm^2,Segment,3,2,1,100000005,510000000897,
260.474,µm^2,Segment,2,1,1,100000005,510000000911,
1261.82,µm^2,Segment,3,1,1,100000005,510000000913,
200.178,µm^2,Segment,3,2,1,100000005,510000000942,
440.277,µm^2,Segment,4,2,1,100000005,510000000947,
514.168,µm^2,Segment,4,3,1,100000005,510000000964,
