
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,1,1,1,100000000,510000000001,
2,,Segment,2,1,1,100000000,510000000003,
3,,Segment,3,1,1,100000000,510000000007,
3,,Segment,3,2,1,100000000,510000000039,
2,,Segment,2,2,1,100000000,510000000051,
3,,Segment,3,2,1,100000000,510000000054,
3,,Segment,3,3,1,100000000,510000000060,
1,,Segment,1,1,1,100000000,510000000083,
2,,Segment,2,1,1,100000000,510000000098,
3,,Segment,3,1,1,100000000,510000000103,
3,,Segment,3,2,1,100000000,510000000123,
2,,Segment,2,1,1,100000000,510000000137,
3,,Segment,3,1,1,100000000,510000000139,
3,,Segment,3,2,1,100000000,510000000160,
2,,Segment,2,2,1,100000000,510000000181,
2,,Segment,2,2,1,100000000,510000000190,
2,,Segment,2,2,1,100000000,510000000208,
2,,Segment,2,1,1,100000001,510000000218,
3,,Segment,3,1,1,100000001,510000000225,
3,,Segment,3,2,1,100000001,510000000234,
2,,Segment,2,2,1,100000001,510000000244,
1,,Segment,1,1,1,100000001,510000000263,
2,,Segment,2,1,1,100000001,510000000265,
1,,Segment,1,1,1,100000001,510000000277,
2,,Segment,2,1,1,100000001,510000000280,
3,,Segment,3,1,1,100000001,510000000291,
3,,Segment,3,2,1,100000001,510000000304,
2,,Segment,2,2,1,100000001,510000000325,
3,,Segment,3,2,1,100000001,510000000335,
3,,Segment,3,3,1,100000001,510000000360,
1,,Segment,1,1,1,100000001,510000000372,
2,,Segment,2,2,1,100000001,510000000378,
3,,Segment,3,1,1,100000002,510000000392,
2,,Segment,2,2,1,100000002,510000000405,
1,,Segment,1,1,1,100000002,510000000415,
2,,Segment,2,1,1,100000002,510000000417,
4,,Segment,4,2,1,100000002,510000000430,
4,,Segment,4,1,1,100000002,510000000449,
5,,Segment,5,1,1,100000002,510000000451,
2,,Segment,2,2,1,100000002,510000000457,
3,,Segment,3,2,1,100000002,510000000459,
2,,Segment,2,2,1,100000002,510000000468,
3,,Segment,3,2,1,100000002,510000000470,
3,,Segment,3,3,1,100000002,510000000481,
3,,Segment,3,2,1,100000002,510000000485,
5,,Segment,5,2,1,100000002,510000000490,
1,,Segment,1,1,1,100000002,510000000503,
1,,Segment,1,1,1,100000003,510000000517,
1,,Segment,1,1,1,100000003,510000000532,
2,,Segment,2,1,1,100000003,510000000537,
2,,Segment,2,2,1,100000003,510000000547,
3,,Segment,3,2,1,100000003,510000000550,
4,,Segment,4,2,1,100000003,510000000555,
5,,Segment,5,2,1,100000003,510000000558,
4,,Segment,4,3,1,100000003,510000000575,
3,,Segment,3,3,1,100000003,510000000585,
4,,Segment,4,3,1,100000003,510000000591,
4,,Segment,4,4,1,100000003,510000000611,
2,,Segment,2,3,1,100000003,510000000625,
5,,Segment,5,3,1,100000003,510000000650,
1,,Segment,1,2,1,100000003,510000000668,
2,,Segment,2,2,1,100000003,510000000672,
1,,Segment,1,1,1,100000004,510000000678,
2,,Segment,2,1,1,100000004,510000000680,
2,,Segment,2,1,1,100000004,510000000686,
3,,Segment,3,1,1,100000004,510000000700,
3,,Segment,3,2,1,100000004,510000000703,
1,,Segment,1,1,1,100000004,510000000705,
2,,Segment,2,1,1,100000004,510000000720,
3,,Segment,3,1,1,100000004,510000000723,
4,,Segment,4,1,1,100000004,510000000727,
4,,Segment,4,2,1,100000004,510000000730,
3,,Segment,3,2,1,100000004,510000000733,
2,,Segment,2,2,1,100000004,510000000740,
3,,Segment,3,2,1,100000004,510000000743,
4,,Segment,4,2,1,100000004,510000000745,
2,,Segment,2,2,1,100000004,510000000751,
3,,Segment,3,3,1,100000004,510000000756,
2,,Segment,2,2,1,100000004,510000000766,
2,,Segment,2,2,1,100000004,510000000771,
3,,Segment,3,2,1,100000004,510000000784,
2,,Segment,2,1,1,100000005,510000000789,
