
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,°,Segment,1,1,1,100000000,510000000001,
1.49043,°,Segment,2,1,1,100000000,510000000003,
4.94336,°,Segment,3,1,1,100000000,510000000007,
7.02906,°,Segment,3,2,1,100000000,510000000039,
65.5001,°,Segment,2,2,1,100000000,510000000051,
5.92053,°,Segment,3,2,1,100000000,510000000054,
135.575,°,Segment,3,3,1,100000000,510000000060,
0,°,Segment,1,1,1,100000000,510000000083,
5.10845,°,Segment,2,1,1,100000000,510000000098,
5.0317,°,Segment,3,1,1,100000000,510000000103,
91.7569,°,Segment,3,2,1,100000000,510000000123,
7.46732,°,Segment,2,1,1,100000000,510000000137,
1.32101,°,Segment,3,1,1,100000000,510000000139,
90.2006,°,Segment,3,2,1,100000000,510000000160,
96.4686,°,Segment,2,2,1,100000000,510000000181,
29.9596,°,Segment,2,2,1,100000000,510000000190,
26.1295,°,Segment,2,2,1,100000000,510000000208,
2.31029,°,Segment,2,1,1,100000001,510000000218,
5.19445,°,Segment,3,1,1,100000001,510000000225,
77.2821,°,Segment,3,2,1,100000001,510000000234,
84.4226,°,Segment,2,2,1,100000001,510000000244,
0,°,Segment,1,1,1,100000001,510000000263,
11.8611,°,Segment,2,1,1,100000001,510000000265,
0,°,Segment,1,1,1,100000001,510000000277,
8.682,°,Segment,2,1,1,100000001,510000000280,
13.9995,°,Segment,3,1,1,100000001,510000000291,
80.9063,°,Segment,3,2,1,100000001,510000000304,
118.67,°,Segment,2,2,1,100000001,510000000325,
4.71023,°,Segment,3,2,1,100000001,510000000335,
71.0802,°,Segment,3,3,1,100000001,510000000360,
0,°,Segment,1,1,1,100000001,510000000372,
94.0771,°,Segment,2,2,1,100000001,510000000378,
1.84292,°,Segment,3,1,1,100000002,510000000392,
56.2721,°,Segment,2,2,1,100000002,510000000405,
0,°,Segment,1,1,1,100000002,510000000415,
6.06915,°,Segment,2,1,1,100000002,510000000417,
9.592,°,Segment,4,2,1,100000002,510000000430,
101.375,°,Segment,4,1,1,100000002,510000000449,
27.3597,°,Segment,5,1,1,100000002,510000000451,
102.953,°,Segment,2,2,1,100000002,510000000457,
25.663,°,Segment,3,2,1,100000002,510000000459,
109.339,°,Segment,2,2,1,100000002,510000000468,
64.8393,°,Segment,3,2,1,100000002,510000000470,
30.4559,°,Segment,3,3,1,100000002,510000000481,
120.193,°,Segment,3,2,1,100000002,510000000485,
101.431,°,Segment,5,2,1,100000002,510000000490,
0,°,Segment,1,1,1,100000002,510000000503,
5.82692,°,Segment,1,1,1,100000003,510000000517,
2.2897,°,Segment,1,1,1,100000003,510000000532,
6.66218,°,Segment,2,1,1,100000003,510000000537,
11.2721,°,Segment,2,2,1,100000003,510000000547,
2.55121,°,Segment,3,2,1,100000003,510000000550,
5.2218,°,Segment,4,2,1,100000003,510000000555,
7.31692,°,Segment,5,2,1,100000003,510000000558,
27.5705,°,Segment,4,3,1,100000003,510000000575,
77.5069,°,Segment,3,3,1,100000003,510000000585,
5.44957,°,Segment,4,3,1,100000003,510000000591,
42.8927,°,Segment,4,4,1,100000003,510000000611,
52.0933,°,Segment,2,3,1,100000003,510000000625,
81.1432,°,Segment,5,3,1,100000003,510000000650,
67.587,°,Segment,1,2,1,100000003,510000000668,
57.2642,°,Segment,2,2,1,100000003,510000000672,
0,°,Segment,1,1,1,100000004,510000000678,
7.3108,°,Segment,2,1,1,100000004,510000000680,
0.969144,°,Segment,2,1,1,100000004,510000000686,
7.8922,°,Segment,3,1,1,100000004,510000000700,
40.1125,°,Segment,3,2,1,100000004,510000000703,
0,°,Segment,1,1,1,100000004,510000000705,
9.32228,°,Segment,2,1,1,100000004,510000000720,
13.236,°,Segment,3,1,1,100000004,510000000723,
3.7816,°,Segment,4,1,1,100000004,510000000727,
73.8892,°,Segment,4,2,1,100000004,510000000730,
59.5913,°,Segment,3,2,1,100000004,510000000733,
55.5782,°,Segment,2,2,1,100000004,510000000740,
5.34731,°,Segment,3,2,1,100000004,510000000743,
4.65711,°,Segment,4,2,1,100000004,510000000745,
21.0885,°,Segment,2,2,1,100000004,510000000751,
53.6217,°,Segment,3,3,1,100000004,510000000756,
10.7839,°,Segment,2,2,1,100000004,510000000766,
118.099,°,Segment,2,2,1,100000004,510000000771,
100.346,°,Segment,3,2,1,100000004,510000000784,
2.65513,°,Segment,2,1,1,100000005,510000000789,
6.3858,°,Segment,2,2,1,100000005,510000000803,
75.8166,°,Segment,2,2,1,100000005,510000000827,
27.9789,°,Segment,2,2,1,100000005,510000000841,
