
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,°,Segment,1,1,1,100000000,510000000001,
5.19701,°,Segment,2,1,1,100000000,510000000003,
27.7347,°,Segment,3,1,1,100000000,510000000007,
19.4169,°,Segment,3,2,1,100000000,510000000039,
51.7485,°,Segment,2,2,1,100000000,510000000051,
32.0184,°,Segment,3,2,1,100000000,510000000054,
37.7454,°,Segment,3,3,1,100000000,510000000060,
0,°,Segment,1,1,1,100000000,510000000083,
18.4898,°,Segment,2,1,1,100000000,510000000098,
17.4318,°,Segment,3,1,1,100000000,510000000103,
40.0295,°,Segment,3,2,1,100000000,510000000123,
13.5736,°,Segment,2,1,1,100000000,510000000137,
1.34785,°,Segment,3,1,1,100000000,510000000139,
66.2892,°,Segment,3,2,1,100000000,510000000160,
72.5804,°,Segment,2,2,1,100000000,510000000181,
6.80438,°,Segment,2,2,1,100000000,510000000190,
9.85193,°,Segment,2,2,1,100000000,510000000208,
8.99431,°,Segment,2,1,1,100000001,510000000218,
26.3286,°,Segment,3,1,1,100000001,510000000225,
53.0708,°,Segment,3,2,1,100000001,510000000234,
45.2027,°,Segment,2,2,1,100000001,510000000244,
0,°,Segment,1,1,1,100000001,510000000263,
21.614,°,Segment,2,1,1,100000001,510000000265,
0,°,Segment,1,1,1,100000001,510000000277,
32.2663,°,Segment,2,1,1,100000001,510000000280,
10.42,°,Segment,3,1,1,100000001,510000000291,
39.3788,°,Segment,3,2,1,100000001,510000000304,
12.4377,°,Segment,2,2,1,100000001,510000000325,
30.5411,°,Segment,3,2,1,100000001,510000000335,
13.17,°,Segment,3,3,1,100000001,510000000360,
0,°,Segment,1,1,1,100000001,510000000372,
58.8835,°,Segment,2,2,1,100000001,510000000378,
36.9245,°,Segment,3,1,1,100000002,510000000392,
49.7951,°,Segment,2,2,1,100000002,510000000405,
0,°,Segment,1,1,1,100000002,510000000415,
36.4981,°,Segment,2,1,1,100000002,510000000417,
20.338,°,Segment,4,2,1,100000002,510000000430,
83.026,°,Segment,4,1,1,100000002,510000000449,
41.4099,°,Segment,5,1,1,100000002,510000000451,
94.5569,°,Segment,2,2,1,100000002,510000000457,
40.1833,°,Segment,3,2,1,100000002,510000000459,
101.316,°,Segment,2,2,1,100000002,510000000468,
44.8667,°,Segment,3,2,1,100000002,510000000470,
22.4464,°,Segment,3,3,1,100000002,510000000481,
59.037,°,Segment,3,2,1,100000002,510000000485,
65.5274,°,Segment,5,2,1,100000002,510000000490,
0,°,Segment,1,1,1,100000002,510000000503,
31.4981,°,Segment,1,1,1,100000003,510000000517,
14.196,°,Segment,1,1,1,100000003,510000000532,
5.45223,°,Segment,2,1,1,100000003,510000000537,
20.9636,°,Segment,2,2,1,100000003,510000000547,
13.3142,°,Segment,3,2,1,100000003,510000000550,
18.4788,°,Segment,4,2,1,100000003,510000000555,
18.455,°,Segment,5,2,1,100000003,510000000558,
11.0767,°,Segment,4,3,1,100000003,510000000575,
69.459,°,Segment,3,3,1,100000003,510000000585,
11.7661,°,Segment,4,3,1,100000003,510000000591,
34.3399,°,Segment,4,4,1,100000003,510000000611,
86.2565,°,Segment,2,3,1,100000003,510000000625,
56.857,°,Segment,5,3,1,100000003,510000000650,
69.0668,°,Segment,1,2,1,100000003,510000000668,
61.2134,°,Segment,2,2,1,100000003,510000000672,
0,°,Segment,1,1,1,100000004,510000000678,
21.3937,°,Segment,2,1,1,100000004,510000000680,
1.73788,°,Segment,2,1,1,100000004,510000000686,
25.2195,°,Segment,3,1,1,100000004,510000000700,
31.1164,°,Segment,3,2,1,100000004,510000000703,
0,°,Segment,1,1,1,100000004,510000000705,
29.3875,°,Segment,2,1,1,100000004,510000000720,
43.7022,°,Segment,3,1,1,100000004,510000000723,
7.16149,°,Segment,4,1,1,100000004,510000000727,
53.3976,°,Segment,4,2,1,100000004,510000000730,
36.9021,°,Segment,3,2,1,100000004,510000000733,
46.7467,°,Segment,2,2,1,100000004,510000000740,
22.4637,°,Segment,3,2,1,100000004,510000000743,
6.99667,°,Segment,4,2,1,100000004,510000000745,
24.79,°,Segment,2,2,1,100000004,510000000751,
25.1591,°,Segment,3,3,1,100000004,510000000756,
13.3333,°,Segment,2,2,1,100000004,510000000766,
46.4746,°,Segment,2,2,1,100000004,510000000771,
101.456,°,Segment,3,2,1,100000004,510000000784,
16.3909,°,Segment,2,1,1,100000005,510000000789,
39.9107,°,Segment,2,2,1,100000005,510000000803,
39.2909,°,Segment,2,2,1,100000005,510000000827,
25.4323,°,Segment,2,2,1,100000005,510000000841,
55.2053,°,Segment,2,2,1,100000005,510000000846,
19.1146,°,Segment,2,1,1,100000005,510000000866,
23.2227,°,Segment,3,1,1,100000005,510000000869,
35.0929,°,Segment,2,2,1,100000005,510000000880,
20.9961,°,Segment,3,2,1,100000005,510000000897,
145.64,°,Segment,2,1,1,100000005,510000000911,
84.1581,°,Segment,3,1,1,100000005,510000000913,
108.92,°,Segment,3,2,1,100000005,510000000942,
60.384,°,Segment,4,2,1,100000005,510000000947,
25.7528,°,Segment,4,3,1,100000005,510000000964,
21.7759,°,Segment,3,1,1,100000006,510000000982,
102.558,°,Segment,2,2,1,100000006,510000001003,
0,°,Segment,1,1,1,100000006,510000001027,
60.0884,°,Segment,3,2,1,100000006,510000001041,
35.9733,°,Segment,3,2,1,100000006,510000001060,
0,°,Segment,1,1,1,100000006,510000001090,
8.0917,°,Segment,2,1,1,100000007,510000001100,
45.8231,°,Segment,3,1,1,100000007,510000001103,
35.9292,°,Segment,4,1,1,100000007,510000001107,
4.03289,°,Segment,5,1,1,100000007,510000001119,
70.5704,°,Segment,5,2,1,100000007,510000001123,
54.5264,°,Segment,3,2,1,100000007,510000001133,
20.5466,°,Segment,4,2,1,100000007,510000001136,
27.9427,°,Segment,4,3,1,100000007,510000001147,
45.487,°,Segment,3,1,1,100000007,510000001157,
12.0108,°,Segment,3,2,1,100000007,510000001178,
