
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000000,510000000001,
255,,Segment,1,2,Image 1,1,1,100000000,510000000003,
255,,Segment,1,3,Image 1,1,1,100000000,510000000007,
255,,Segment,1,3,Image 1,2,1,100000000,510000000039,
255,,Segment,1,2,Image 1,2,1,100000000,510000000051,
169,,Segment,1,3,Image 1,2,1,100000000,510000000054,
244,,Segment,1,3,Image 1,3,1,100000000,510000000060,
255,,Segment,1,1,Image 1,1,1,100000000,510000000083,
184,,Segment,1,2,Image 1,1,1,100000000,510000000098,
255,,Segment,1,3,Image 1,1,1,100000000,510000000103,
138,,Segment,1,3,Image 1,2,1,100000000,510000000123,
241,,Segment,1,2,Image 1,1,1,100000000,510000000137,
239,,Segment,1,3,Image 1,1,1,100000000,510000000139,
239,,Segment,1,3,Image 1,2,1,100000000,510000000160,
255,,Segment,1,2,Image 1,2,1,100000000,510000000181,
255,,Segment,1,2,Image 1,2,1,100000000,510000000190,
229,,Segment,1,2,Image 1,2,1,100000000,510000000208,
255,,Segment,1,2,Image 1,1,1,100000001,510000000218,
255,,Segment,1,3,Image 1,1,1,100000001,510000000225,
255,,Segment,1,3,Image 1,2,1,100000001,510000000234,
243,,Segment,1,2,Image 1,2,1,100000001,510000000244,
255,,Segment,1,1,Image 1,1,1,100000001,510000000263,
255,,Segment,1,2,Image 1,1,1,100000001,510000000265,
244,,Segment,1,1,Image 1,1,1,100000001,510000000277,
255,,Segment,1,2,Image 1,1,1,100000001,510000000280,
250,,Segment,1,3,Image 1,1,1,100000001,510000000291,
255,,Segment,1,3,Image 1,2,1,100000001,510000000304,
225,,Segment,1,2,Image 1,2,1,100000001,510000000325,
255,,Segment,1,3,Image 1,2,1,100000001,510000000335,
189,,Segment,1,3,Image 1,3,1,100000001,510000000360,
230,,Segment,1,1,Image 1,1,1,100000001,510000000372,
245,,Segment,1,2,Image 1,2,1,100000001,510000000378,
255,,Segment,1,3,Image 1,1,1,100000002,510000000392,
232,,Segment,1,2,Image 1,2,1,100000002,510000000405,
255,,Segment,1,1,Image 1,1,1,100000002,510000000415,
255,,Segment,1,2,Image 1,1,1,100000002,510000000417,
255,,Segment,1,4,Image 1,2,1,100000002,510000000430,
252,,Segment,1,4,Image 1,1,1,100000002,510000000449,
255,,Segment,1,5,Image 1,1,1,100000002,510000000451,
255,,Segment,1,2,Image 1,2,1,100000002,510000000457,
255,,Segment,1,3,Image 1,2,1,100000002,510000000459,
