
Segment Center Intensity Mean Ch=2 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
28,,Segment,2,1,Image 1,1,1,100000000,510000000001,
85,,Segment,2,2,Image 1,1,1,100000000,510000000003,
156.515,,Segment,2,3,Image 1,1,1,100000000,510000000007,
151.769,,Segment,2,3,Image 1,2,1,100000000,510000000039,
111.25,,Segment,2,2,Image 1,2,1,100000000,510000000051,
168.143,,Segment,2,3,Image 1,2,1,100000000,510000000054,
175,,Segment,2,3,Image 1,3,1,100000000,510000000060,
145.929,,Segment,2,1,Image 1,1,1,100000000,510000000083,
131,,Segment,2,2,Image 1,1,1,100000000,510000000098,
172.857,,Segment,2,3,Image 1,1,1,100000000,510000000103,
173.857,,Segment,2,3,Image 1,2,1,100000000,510000000123,
57.6667,,Segment,2,2,Image 1,1,1,100000000,510000000137,
153.545,,Segment,2,3,Image 1,1,1,100000000,510000000139,
154.682,,Segment,2,3,Image 1,2,1,100000000,510000000160,
138.9,,Segment,2,2,Image 1,2,1,100000000,510000000181,
152.263,,Segment,2,2,Image 1,2,1,100000000,510000000190,
149.889,,Segment,2,2,Image 1,2,1,100000000,510000000208,
101.25,,Segment,2,2,Image 1,1,1,100000001,510000000218,
121,,Segment,2,3,Image 1,1,1,100000001,510000000225,
119.8,,Segment,2,3,Image 1,2,1,100000001,510000000234,
140.5,,Segment,2,2,Image 1,2,1,100000001,510000000244,
55,,Segment,2,1,Image 1,1,1,100000001,510000000263,
120.385,,Segment,2,2,Image 1,1,1,100000001,510000000265,
86.6667,,Segment,2,1,Image 1,1,1,100000001,510000000277,
137.167,,Segment,2,2,Image 1,1,1,100000001,510000000280,
164.857,,Segment,2,3,Image 1,1,1,100000001,510000000291,
154.227,,Segment,2,3,Image 1,2,1,100000001,510000000304,
133.909,,Segment,2,2,Image 1,2,1,100000001,510000000325,
170.885,,Segment,2,3,Image 1,2,1,100000001,510000000335,
174.462,,Segment,2,3,Image 1,3,1,100000001,510000000360,
110,,Segment,2,1,Image 1,1,1,100000001,510000000372,
134.417,,Segment,2,2,Image 1,2,1,100000001,510000000378,
128.429,,Segment,2,3,Image 1,1,1,100000002,510000000392,
160.091,,Segment,2,2,Image 1,2,1,100000002,510000000405,
61,,Segment,2,1,Image 1,1,1,100000002,510000000415,
127.182,,Segment,2,2,Image 1,1,1,100000002,510000000417,
101.3,,Segment,2,4,Image 1,2,1,100000002,510000000430,
145,,Segment,2,4,Image 1,1,1,100000002,510000000449,
168.857,,Segment,2,5,Image 1,1,1,100000002,510000000451,
90.3333,,Segment,2,2,Image 1,2,1,100000002,510000000457,
140.9,,Segment,2,3,Image 1,2,1,100000002,510000000459,
147.667,,Segment,2,2,Image 1,2,1,100000002,510000000468,
137.667,,Segment,2,3,Image 1,2,1,100000002,510000000470,
151,,Segment,2,3,Image 1,3,1,100000002,510000000481,
140.333,,Segment,2,3,Image 1,2,1,100000002,510000000485,
102.286,,Segment,2,5,Image 1,2,1,100000002,510000000490,
137.154,,Segment,2,1,Image 1,1,1,100000002,510000000503,
143.867,,Segment,2,1,Image 1,1,1,100000003,510000000517,
62.8333,,Segment,2,1,Image 1,1,1,100000003,510000000532,
155.7,,Segment,2,2,Image 1,1,1,100000003,510000000537,
135.75,,Segment,2,2,Image 1,2,1,100000003,510000000547,
157.333,,Segment,2,3,Image 1,2,1,100000003,510000000550,
173.75,,Segment,2,4,Image 1,2,1,100000003,510000000555,
186.556,,Segment,2,5,Image 1,2,1,100000003,510000000558,
163,,Segment,2,4,Image 1,3,1,100000003,510000000575,
134.429,,Segment,2,3,Image 1,3,1,100000003,510000000585,
170.952,,Segment,2,4,Image 1,3,1,100000003,510000000591,
160.933,,Segment,2,4,Image 1,4,1,100000003,510000000611,
162.72,,Segment,2,2,Image 1,3,1,100000003,510000000625,
166.105,,Segment,2,5,Image 1,3,1,100000003,510000000650,
154.75,,Segment,2,1,Image 1,2,1,100000003,510000000668,
143.2,,Segment,2,2,Image 1,2,1,100000003,510000000672,
102,,Segment,2,1,Image 1,1,1,100000004,510000000678,
143.333,,Segment,2,2,Image 1,1,1,100000004,510000000680,
137.467,,Segment,2,2,Image 1,1,1,100000004,510000000686,
152.5,,Segment,2,3,Image 1,1,1,100000004,510000000700,
177.333,,Segment,2,3,Image 1,2,1,100000004,510000000703,
124.4,,Segment,2,1,Image 1,1,1,100000004,510000000705,
121.75,,Segment,2,2,Image 1,1,1,100000004,510000000720,
144.4,,Segment,2,3,Image 1,1,1,100000004,510000000723,
147,,Segment,2,4,Image 1,1,1,100000004,510000000727,
148.25,,Segment,2,4,Image 1,2,1,100000004,510000000730,
158,,Segment,2,3,Image 1,2,1,100000004,510000000733,
119.25,,Segment,2,2,Image 1,2,1,100000004,510000000740,
108.333,,Segment,2,3,Image 1,2,1,100000004,510000000743,
166.714,,Segment,2,4,Image 1,2,1,100000004,510000000745,
109.167,,Segment,2,2,Image 1,2,1,100000004,510000000751,
163.545,,Segment,2,3,Image 1,3,1,100000004,510000000756,
154.167,,Segment,2,2,Image 1,2,1,100000004,510000000766,
163.429,,Segment,2,2,Image 1,2,1,100000004,510000000771,
116,,Segment,2,3,Image 1,2,1,100000004,510000000784,
113.231,,Segment,2,2,Image 1,1,1,100000005,510000000789,
130.64,,Segment,2,2,Image 1,2,1,100000005,510000000803,
149.267,,Segment,2,2,Image 1,2,1,100000005,510000000827,
114.4,,Segment,2,2,Image 1,2,1,100000005,510000000841,
110.25,,Segment,2,2,Image 1,2,1,100000005,510000000846,
74.5,,Segment,2,2,Image 1,1,1,100000005,510000000866,
125.667,,Segment,2,3,Image 1,1,1,100000005,510000000869,
136.944,,Segment,2,2,Image 1,2,1,100000005,510000000880,
139.133,,Segment,2,3,Image 1,2,1,100000005,510000000897,
55,,Segment,2,2,Image 1,1,1,100000005,510000000911,
160.8,,Segment,2,3,Image 1,1,1,100000005,510000000913,
26.8333,,Segment,2,3,Image 1,2,1,100000005,510000000942,
125.722,,Segment,2,4,Image 1,2,1,100000005,510000000947,
147.375,,Segment,2,4,Image 1,3,1,100000005,510000000964,
172.591,,Segment,2,3,Image 1,1,1,100000006,510000000982,
163.28,,Segment,2,2,Image 1,2,1,100000006,510000001003,
160,,Segment,2,1,Image 1,1,1,100000006,510000001027,
169.95,,Segment,2,3,Image 1,2,1,100000006,510000001041,
174.903,,Segment,2,3,Image 1,2,1,100000006,510000001060,
167.25,,Segment,2,1,Image 1,1,1,100000006,510000001090,
80.25,,Segment,2,2,Image 1,1,1,100000007,510000001100,
116.8,,Segment,2,3,Image 1,1,1,100000007,510000001103,
148.308,,Segment,2,4,Image 1,1,1,100000007,510000001107,
189,,Segment,2,5,Image 1,1,1,100000007,510000001119,
185.455,,Segment,2,5,Image 1,2,1,100000007,510000001123,
134.25,,Segment,2,3,Image 1,2,1,100000007,510000001133,
184.25,,Segment,2,4,Image 1,2,1,100000007,510000001136,
180,,Segment,2,4,Image 1,3,1,100000007,510000001147,
174,,Segment,2,3,Image 1,1,1,100000007,510000001157,
144.714,,Segment,2,3,Image 1,2,1,100000007,510000001178,
167,,Segment,2,4,Image 1,2,1,100000007,510000001191,
155.667,,Segment,2,4,Image 1,3,1,100000007,510000001202,
172.519,,Segment,2,2,Image 1,2,1,100000007,510000001210,
87,,Segment,2,1,Image 1,1,1,100000007,510000001236,
123.312,,Segment,2,2,Image 1,1,1,100000007,510000001238,
147.765,,Segment,2,2,Image 1,2,1,100000007,510000001254,
161.08,,Segment,2,2,Image 1,2,1,100000007,510000001270,
148.571,,Segment,2,4,Image 1,2,1,100000007,510000001294,
118,,Segment,2,1,Image 1,1,1,100000008,510000001301,
140.571,,Segment,2,1,Image 1,1,1,100000008,510000001322,
136.417,,Segment,2,1,Image 1,1,1,100000008,510000001349,
130.357,,Segment,2,1,Image 1,1,1,100000008,510000001360,
