
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
32.5312,,Segment,3,1,Image 1,1,1,100000000,510000000001,
76.0625,,Segment,3,2,Image 1,1,1,100000000,510000000003,
173.125,,Segment,3,3,Image 1,1,1,100000000,510000000007,
183.125,,Segment,3,3,Image 1,2,1,100000000,510000000039,
124.125,,Segment,3,2,Image 1,2,1,100000000,510000000051,
182.031,,Segment,3,3,Image 1,2,1,100000000,510000000054,
188.562,,Segment,3,3,Image 1,3,1,100000000,510000000060,
160.625,,Segment,3,1,Image 1,1,1,100000000,510000000083,
132.062,,Segment,3,2,Image 1,1,1,100000000,510000000098,
187.062,,Segment,3,3,Image 1,1,1,100000000,510000000103,
183.531,,Segment,3,3,Image 1,2,1,100000000,510000000123,
72.0156,,Segment,3,2,Image 1,1,1,100000000,510000000137,
165.062,,Segment,3,3,Image 1,1,1,100000000,510000000139,
179.062,,Segment,3,3,Image 1,2,1,100000000,510000000160,
159.625,,Segment,3,2,Image 1,2,1,100000000,510000000181,
178.062,,Segment,3,2,Image 1,2,1,100000000,510000000190,
165.125,,Segment,3,2,Image 1,2,1,100000000,510000000208,
102.062,,Segment,3,2,Image 1,1,1,100000001,510000000218,
126.062,,Segment,3,3,Image 1,1,1,100000001,510000000225,
134.125,,Segment,3,3,Image 1,2,1,100000001,510000000234,
164.562,,Segment,3,2,Image 1,2,1,100000001,510000000244,
61.0156,,Segment,3,1,Image 1,1,1,100000001,510000000263,
123.062,,Segment,3,2,Image 1,1,1,100000001,510000000265,
92.0312,,Segment,3,1,Image 1,1,1,100000001,510000000277,
157.125,,Segment,3,2,Image 1,1,1,100000001,510000000280,
187.562,,Segment,3,3,Image 1,1,1,100000001,510000000291,
160.625,,Segment,3,3,Image 1,2,1,100000001,510000000304,
146.062,,Segment,3,2,Image 1,2,1,100000001,510000000325,
187.562,,Segment,3,3,Image 1,2,1,100000001,510000000335,
185.031,,Segment,3,3,Image 1,3,1,100000001,510000000360,
107.062,,Segment,3,1,Image 1,1,1,100000001,510000000372,
139.062,,Segment,3,2,Image 1,2,1,100000001,510000000378,
141.625,,Segment,3,3,Image 1,1,1,100000002,510000000392,
168.062,,Segment,3,2,Image 1,2,1,100000002,510000000405,
50.0312,,Segment,3,1,Image 1,1,1,100000002,510000000415,
137.062,,Segment,3,2,Image 1,1,1,100000002,510000000417,
111.125,,Segment,3,4,Image 1,2,1,100000002,510000000430,
153.062,,Segment,3,4,Image 1,1,1,100000002,510000000449,
187.062,,Segment,3,5,Image 1,1,1,100000002,510000000451,
102.016,,Segment,3,2,Image 1,2,1,100000002,510000000457,
152.562,,Segment,3,3,Image 1,2,1,100000002,510000000459,
170.062,,Segment,3,2,Image 1,2,1,100000002,510000000468,
137.062,,Segment,3,3,Image 1,2,1,100000002,510000000470,
161.062,,Segment,3,3,Image 1,3,1,100000002,510000000481,
150.562,,Segment,3,3,Image 1,2,1,100000002,510000000485,
103.625,,Segment,3,5,Image 1,2,1,100000002,510000000490,
144.125,,Segment,3,1,Image 1,1,1,100000002,510000000503,
165.125,,Segment,3,1,Image 1,1,1,100000003,510000000517,
88.5625,,Segment,3,1,Image 1,1,1,100000003,510000000532,
171.062,,Segment,3,2,Image 1,1,1,100000003,510000000537,
156.062,,Segment,3,2,Image 1,2,1,100000003,510000000547,
165.516,,Segment,3,3,Image 1,2,1,100000003,510000000550,
180.008,,Segment,3,4,Image 1,2,1,100000003,510000000555,
190.016,,Segment,3,5,Image 1,2,1,100000003,510000000558,
186.062,,Segment,3,4,Image 1,3,1,100000003,510000000575,
159.062,,Segment,3,3,Image 1,3,1,100000003,510000000585,
183.062,,Segment,3,4,Image 1,3,1,100000003,510000000591,
177.062,,Segment,3,4,Image 1,4,1,100000003,510000000611,
182.062,,Segment,3,2,Image 1,3,1,100000003,510000000625,
188.125,,Segment,3,5,Image 1,3,1,100000003,510000000650,
174.562,,Segment,3,1,Image 1,2,1,100000003,510000000668,
140.062,,Segment,3,2,Image 1,2,1,100000003,510000000672,
134.125,,Segment,3,1,Image 1,1,1,100000004,510000000678,
153.031,,Segment,3,2,Image 1,1,1,100000004,510000000680,
138.062,,Segment,3,2,Image 1,1,1,100000004,510000000686,
162.562,,Segment,3,3,Image 1,1,1,100000004,510000000700,
188.031,,Segment,3,3,Image 1,2,1,100000004,510000000703,
138.125,,Segment,3,1,Image 1,1,1,100000004,510000000705,
137.625,,Segment,3,2,Image 1,1,1,100000004,510000000720,
143.062,,Segment,3,3,Image 1,1,1,100000004,510000000723,
171.062,,Segment,3,4,Image 1,1,1,100000004,510000000727,
173.031,,Segment,3,4,Image 1,2,1,100000004,510000000730,
172.062,,Segment,3,3,Image 1,2,1,100000004,510000000733,
118.531,,Segment,3,2,Image 1,2,1,100000004,510000000740,
122.031,,Segment,3,3,Image 1,2,1,100000004,510000000743,
188.031,,Segment,3,4,Image 1,2,1,100000004,510000000745,
118.125,,Segment,3,2,Image 1,2,1,100000004,510000000751,
175.062,,Segment,3,3,Image 1,3,1,100000004,510000000756,
161.531,,Segment,3,2,Image 1,2,1,100000004,510000000766,
