
Segment Center Intensity Min Ch=1 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000000,510000000001,
152,,Segment,1,2,Image 1,1,1,100000000,510000000003,
34,,Segment,1,3,Image 1,1,1,100000000,510000000007,
64,,Segment,1,3,Image 1,2,1,100000000,510000000039,
126,,Segment,1,2,Image 1,2,1,100000000,510000000051,
48,,Segment,1,3,Image 1,2,1,100000000,510000000054,
39,,Segment,1,3,Image 1,3,1,100000000,510000000060,
65,,Segment,1,1,Image 1,1,1,100000000,510000000083,
23,,Segment,1,2,Image 1,1,1,100000000,510000000098,
23,,Segment,1,3,Image 1,1,1,100000000,510000000103,
23,,Segment,1,3,Image 1,2,1,100000000,510000000123,
229,,Segment,1,2,Image 1,1,1,100000000,510000000137,
58,,Segment,1,3,Image 1,1,1,100000000,510000000139,
86,,Segment,1,3,Image 1,2,1,100000000,510000000160,
57,,Segment,1,2,Image 1,2,1,100000000,510000000181,
48,,Segment,1,2,Image 1,2,1,100000000,510000000190,
50,,Segment,1,2,Image 1,2,1,100000000,510000000208,
157,,Segment,1,2,Image 1,1,1,100000001,510000000218,
163,,Segment,1,3,Image 1,1,1,100000001,510000000225,
0,,Segment,1,3,Image 1,2,1,100000001,510000000234,
86,,Segment,1,2,Image 1,2,1,100000001,510000000244,
244,,Segment,1,1,Image 1,1,1,100000001,510000000263,
83,,Segment,1,2,Image 1,1,1,100000001,510000000265,
185,,Segment,1,1,Image 1,1,1,100000001,510000000277,
113,,Segment,1,2,Image 1,1,1,100000001,510000000280,
83,,Segment,1,3,Image 1,1,1,100000001,510000000291,
90,,Segment,1,3,Image 1,2,1,100000001,510000000304,
117,,Segment,1,2,Image 1,2,1,100000001,510000000325,
65,,Segment,1,3,Image 1,2,1,100000001,510000000335,
75,,Segment,1,3,Image 1,3,1,100000001,510000000360,
113,,Segment,1,1,Image 1,1,1,100000001,510000000372,
130,,Segment,1,2,Image 1,2,1,100000001,510000000378,
0,,Segment,1,3,Image 1,1,1,100000002,510000000392,
14,,Segment,1,2,Image 1,2,1,100000002,510000000405,
233,,Segment,1,1,Image 1,1,1,100000002,510000000415,
47,,Segment,1,2,Image 1,1,1,100000002,510000000417,
121,,Segment,1,4,Image 1,2,1,100000002,510000000430,
76,,Segment,1,4,Image 1,1,1,100000002,510000000449,
62,,Segment,1,5,Image 1,1,1,100000002,510000000451,
222,,Segment,1,2,Image 1,2,1,100000002,510000000457,
73,,Segment,1,3,Image 1,2,1,100000002,510000000459,
66,,Segment,1,2,Image 1,2,1,100000002,510000000468,
70,,Segment,1,3,Image 1,2,1,100000002,510000000470,
98,,Segment,1,3,Image 1,3,1,100000002,510000000481,
61,,Segment,1,3,Image 1,2,1,100000002,510000000485,
