
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
16,,Segment,2,1,Image 1,1,1,100000000,510000000001,
37.5926,,Segment,2,2,Image 1,1,1,100000000,510000000003,
34.0331,,Segment,2,3,Image 1,1,1,100000000,510000000007,
52.6675,,Segment,2,3,Image 1,2,1,100000000,510000000039,
44.6787,,Segment,2,2,Image 1,2,1,100000000,510000000051,
17.0832,,Segment,2,3,Image 1,2,1,100000000,510000000054,
18.7417,,Segment,2,3,Image 1,3,1,100000000,510000000060,
35.8737,,Segment,2,1,Image 1,1,1,100000000,510000000083,
34.0686,,Segment,2,2,Image 1,1,1,100000000,510000000098,
23.943,,Segment,2,3,Image 1,1,1,100000000,510000000103,
13.4847,,Segment,2,3,Image 1,2,1,100000000,510000000123,
8.99382,,Segment,2,2,Image 1,1,1,100000000,510000000137,
30.2065,,Segment,2,3,Image 1,1,1,100000000,510000000139,
35.1806,,Segment,2,3,Image 1,2,1,100000000,510000000160,
51.0381,,Segment,2,2,Image 1,2,1,100000000,510000000181,
38.7418,,Segment,2,2,Image 1,2,1,100000000,510000000190,
38.4894,,Segment,2,2,Image 1,2,1,100000000,510000000208,
32.2829,,Segment,2,2,Image 1,1,1,100000001,510000000218,
24.1891,,Segment,2,3,Image 1,1,1,100000001,510000000225,
47.3958,,Segment,2,3,Image 1,2,1,100000001,510000000234,
35.9284,,Segment,2,2,Image 1,2,1,100000001,510000000244,
11,,Segment,2,1,Image 1,1,1,100000001,510000000263,
41.8781,,Segment,2,2,Image 1,1,1,100000001,510000000265,
15.1731,,Segment,2,1,Image 1,1,1,100000001,510000000277,
35.3573,,Segment,2,2,Image 1,1,1,100000001,510000000280,
34.159,,Segment,2,3,Image 1,1,1,100000001,510000000291,
27.0671,,Segment,2,3,Image 1,2,1,100000001,510000000304,
21.7023,,Segment,2,2,Image 1,2,1,100000001,510000000325,
29.7545,,Segment,2,3,Image 1,2,1,100000001,510000000335,
16.1988,,Segment,2,3,Image 1,3,1,100000001,510000000360,
32.9292,,Segment,2,1,Image 1,1,1,100000001,510000000372,
32.8594,,Segment,2,2,Image 1,2,1,100000001,510000000378,
42.6844,,Segment,2,3,Image 1,1,1,100000002,510000000392,
33.8108,,Segment,2,2,Image 1,2,1,100000002,510000000405,
26.8825,,Segment,2,1,Image 1,1,1,100000002,510000000415,
47.7338,,Segment,2,2,Image 1,1,1,100000002,510000000417,
40.0126,,Segment,2,4,Image 1,2,1,100000002,510000000430,
39.7576,,Segment,2,4,Image 1,1,1,100000002,510000000449,
35.4902,,Segment,2,5,Image 1,1,1,100000002,510000000451,
13.6951,,Segment,2,2,Image 1,2,1,100000002,510000000457,
33.4916,,Segment,2,3,Image 1,2,1,100000002,510000000459,
34.8839,,Segment,2,2,Image 1,2,1,100000002,510000000468,
35.7732,,Segment,2,3,Image 1,2,1,100000002,510000000470,
28.9344,,Segment,2,3,Image 1,3,1,100000002,510000000481,
27.457,,Segment,2,3,Image 1,2,1,100000002,510000000485,
44.8862,,Segment,2,5,Image 1,2,1,100000002,510000000490,
44.2699,,Segment,2,1,Image 1,1,1,100000002,510000000503,
51.0175,,Segment,2,1,Image 1,1,1,100000003,510000000517,
30.0301,,Segment,2,1,Image 1,1,1,100000003,510000000532,
29.4654,,Segment,2,2,Image 1,1,1,100000003,510000000537,
39.2006,,Segment,2,2,Image 1,2,1,100000003,510000000547,
5.21749,,Segment,2,3,Image 1,2,1,100000003,510000000550,
6.68487,,Segment,2,4,Image 1,2,1,100000003,510000000555,
4.60944,,Segment,2,5,Image 1,2,1,100000003,510000000558,
33.6155,,Segment,2,4,Image 1,3,1,100000003,510000000575,
43.9378,,Segment,2,3,Image 1,3,1,100000003,510000000585,
27.0387,,Segment,2,4,Image 1,3,1,100000003,510000000591,
37.2943,,Segment,2,4,Image 1,4,1,100000003,510000000611,
33.0024,,Segment,2,2,Image 1,3,1,100000003,510000000625,
50.6764,,Segment,2,5,Image 1,3,1,100000003,510000000650,
35.9957,,Segment,2,1,Image 1,2,1,100000003,510000000668,
33.5702,,Segment,2,2,Image 1,2,1,100000003,510000000672,
52.1983,,Segment,2,1,Image 1,1,1,100000004,510000000678,
24.067,,Segment,2,2,Image 1,1,1,100000004,510000000680,
36.6531,,Segment,2,2,Image 1,1,1,100000004,510000000686,
33.738,,Segment,2,3,Image 1,1,1,100000004,510000000700,
8.73053,,Segment,2,3,Image 1,2,1,100000004,510000000703,
44.9293,,Segment,2,1,Image 1,1,1,100000004,510000000705,
58.6403,,Segment,2,2,Image 1,1,1,100000004,510000000720,
28.5699,,Segment,2,3,Image 1,1,1,100000004,510000000723,
54.6535,,Segment,2,4,Image 1,1,1,100000004,510000000727,
17.0935,,Segment,2,4,Image 1,2,1,100000004,510000000730,
25.4313,,Segment,2,3,Image 1,2,1,100000004,510000000733,
16.2231,,Segment,2,2,Image 1,2,1,100000004,510000000740,
23.6126,,Segment,2,3,Image 1,2,1,100000004,510000000743,
20.2253,,Segment,2,4,Image 1,2,1,100000004,510000000745,
49.2288,,Segment,2,2,Image 1,2,1,100000004,510000000751,
20.8255,,Segment,2,3,Image 1,3,1,100000004,510000000756,
23.032,,Segment,2,2,Image 1,2,1,100000004,510000000766,
23.2278,,Segment,2,2,Image 1,2,1,100000004,510000000771,
43.0426,,Segment,2,3,Image 1,2,1,100000004,510000000784,
