
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
510,,Segment,1,1,Image 1,1,1,100000000,510000000001,
1132,,Segment,1,2,Image 1,1,1,100000000,510000000003,
5051,,Segment,1,3,Image 1,1,1,100000000,510000000007,
1769,,Segment,1,3,Image 1,2,1,100000000,510000000039,
763,,Segment,1,2,Image 1,2,1,100000000,510000000051,
882,,Segment,1,3,Image 1,2,1,100000000,510000000054,
2603,,Segment,1,3,Image 1,3,1,100000000,510000000060,
1986,,Segment,1,1,Image 1,1,1,100000000,510000000083,
736,,Segment,1,2,Image 1,1,1,100000000,510000000098,
2421,,Segment,1,3,Image 1,1,1,100000000,510000000103,
1192,,Segment,1,3,Image 1,2,1,100000000,510000000123,
709,,Segment,1,2,Image 1,1,1,100000000,510000000137,
2457,,Segment,1,3,Image 1,1,1,100000000,510000000139,
2856,,Segment,1,3,Image 1,2,1,100000000,510000000160,
1385,,Segment,1,2,Image 1,2,1,100000000,510000000181,
2497,,Segment,1,2,Image 1,2,1,100000000,510000000190,
1190,,Segment,1,2,Image 1,2,1,100000000,510000000208,
1723,,Segment,1,2,Image 1,1,1,100000001,510000000218,
1986,,Segment,1,3,Image 1,1,1,100000001,510000000225,
2079,,Segment,1,3,Image 1,2,1,100000001,510000000234,
3166,,Segment,1,2,Image 1,2,1,100000001,510000000244,
499,,Segment,1,1,Image 1,1,1,100000001,510000000263,
2577,,Segment,1,2,Image 1,1,1,100000001,510000000265,
636,,Segment,1,1,Image 1,1,1,100000001,510000000277,
1978,,Segment,1,2,Image 1,1,1,100000001,510000000280,
1928,,Segment,1,3,Image 1,1,1,100000001,510000000291,
3525,,Segment,1,3,Image 1,2,1,100000001,510000000304,
1842,,Segment,1,2,Image 1,2,1,100000001,510000000325,
3534,,Segment,1,3,Image 1,2,1,100000001,510000000335,
1670,,Segment,1,3,Image 1,3,1,100000001,510000000360,
1104,,Segment,1,1,Image 1,1,1,100000001,510000000372,
2111,,Segment,1,2,Image 1,2,1,100000001,510000000378,
2425,,Segment,1,3,Image 1,1,1,100000002,510000000392,
1458,,Segment,1,2,Image 1,2,1,100000002,510000000405,
743,,Segment,1,1,Image 1,1,1,100000002,510000000415,
1946,,Segment,1,2,Image 1,1,1,100000002,510000000417,
4499,,Segment,1,4,Image 1,2,1,100000002,510000000430,
509,,Segment,1,4,Image 1,1,1,100000002,510000000449,
800,,Segment,1,5,Image 1,1,1,100000002,510000000451,
715,,Segment,1,2,Image 1,2,1,100000002,510000000457,
1743,,Segment,1,3,Image 1,2,1,100000002,510000000459,
410,,Segment,1,2,Image 1,2,1,100000002,510000000468,
2058,,Segment,1,3,Image 1,2,1,100000002,510000000470,
800,,Segment,1,3,Image 1,3,1,100000002,510000000481,
919,,Segment,1,3,Image 1,2,1,100000002,510000000485,
2959,,Segment,1,5,Image 1,2,1,100000002,510000000490,
2180,,Segment,1,1,Image 1,1,1,100000002,510000000503,
2636,,Segment,1,1,Image 1,1,1,100000003,510000000517,
1519,,Segment,1,1,Image 1,1,1,100000003,510000000532,
1566,,Segment,1,2,Image 1,1,1,100000003,510000000537,
614,,Segment,1,2,Image 1,2,1,100000003,510000000547,
980,,Segment,1,3,Image 1,2,1,100000003,510000000550,
460,,Segment,1,4,Image 1,2,1,100000003,510000000555,
1558,,Segment,1,5,Image 1,2,1,100000003,510000000558,
1581,,Segment,1,4,Image 1,3,1,100000003,510000000575,
1259,,Segment,1,3,Image 1,3,1,100000003,510000000585,
2599,,Segment,1,4,Image 1,3,1,100000003,510000000591,
2129,,Segment,1,4,Image 1,4,1,100000003,510000000611,
3927,,Segment,1,2,Image 1,3,1,100000003,510000000625,
2326,,Segment,1,5,Image 1,3,1,100000003,510000000650,
625,,Segment,1,1,Image 1,2,1,100000003,510000000668,
749,,Segment,1,2,Image 1,2,1,100000003,510000000672,
539,,Segment,1,1,Image 1,1,1,100000004,510000000678,
1145,,Segment,1,2,Image 1,1,1,100000004,510000000680,
2803,,Segment,1,2,Image 1,1,1,100000004,510000000686,
648,,Segment,1,3,Image 1,1,1,100000004,510000000700,
330,,Segment,1,3,Image 1,2,1,100000004,510000000703,
2793,,Segment,1,1,Image 1,1,1,100000004,510000000705,
443,,Segment,1,2,Image 1,1,1,100000004,510000000720,
774,,Segment,1,3,Image 1,1,1,100000004,510000000723,
550,,Segment,1,4,Image 1,1,1,100000004,510000000727,
766,,Segment,1,4,Image 1,2,1,100000004,510000000730,
1181,,Segment,1,3,Image 1,2,1,100000004,510000000733,
782,,Segment,1,2,Image 1,2,1,100000004,510000000740,
677,,Segment,1,3,Image 1,2,1,100000004,510000000743,
896,,Segment,1,4,Image 1,2,1,100000004,510000000745,
1203,,Segment,1,2,Image 1,2,1,100000004,510000000751,
1498,,Segment,1,3,Image 1,3,1,100000004,510000000756,
929,,Segment,1,2,Image 1,2,1,100000004,510000000766,
1840,,Segment,1,2,Image 1,2,1,100000004,510000000771,
540,,Segment,1,3,Image 1,2,1,100000004,510000000784,
3070,,Segment,1,2,Image 1,1,1,100000005,510000000789,
4598,,Segment,1,2,Image 1,2,1,100000005,510000000803,
2378,,Segment,1,2,Image 1,2,1,100000005,510000000827,
1151,,Segment,1,2,Image 1,2,1,100000005,510000000841,
4019,,Segment,1,2,Image 1,2,1,100000005,510000000846,
1020,,Segment,1,2,Image 1,1,1,100000005,510000000866,
2259,,Segment,1,3,Image 1,1,1,100000005,510000000869,
3178,,Segment,1,2,Image 1,2,1,100000005,510000000880,
2786,,Segment,1,3,Image 1,2,1,100000005,510000000897,
763,,Segment,1,2,Image 1,1,1,100000005,510000000911,
3966,,Segment,1,3,Image 1,1,1,100000005,510000000913,
1530,,Segment,1,3,Image 1,2,1,100000005,510000000942,
3000,,Segment,1,4,Image 1,2,1,100000005,510000000947,
2188,,Segment,1,4,Image 1,3,1,100000005,510000000964,
2461,,Segment,1,3,Image 1,1,1,100000006,510000000982,
3652,,Segment,1,2,Image 1,2,1,100000006,510000001003,
2151,,Segment,1,1,Image 1,1,1,100000006,510000001027,
2299,,Segment,1,3,Image 1,2,1,100000006,510000001041,
4515,,Segment,1,3,Image 1,2,1,100000006,510000001060,
1084,,Segment,1,1,Image 1,1,1,100000006,510000001090,
1020,,Segment,1,2,Image 1,1,1,100000007,510000001100,
1139,,Segment,1,3,Image 1,1,1,100000007,510000001103,
2280,,Segment,1,4,Image 1,1,1,100000007,510000001107,
485,,Segment,1,5,Image 1,1,1,100000007,510000001119,
1260,,Segment,1,5,Image 1,2,1,100000007,510000001123,
756,,Segment,1,3,Image 1,2,1,100000007,510000001133,
1256,,Segment,1,4,Image 1,2,1,100000007,510000001136,
874,,Segment,1,4,Image 1,3,1,100000007,510000001147,
2797,,Segment,1,3,Image 1,1,1,100000007,510000001157,
2208,,Segment,1,3,Image 1,2,1,100000007,510000001178,
1663,,Segment,1,4,Image 1,2,1,100000007,510000001191,
1472,,Segment,1,4,Image 1,3,1,100000007,510000001202,
3287,,Segment,1,2,Image 1,2,1,100000007,510000001210,
500,,Segment,1,1,Image 1,1,1,100000007,510000001236,
3040,,Segment,1,2,Image 1,1,1,100000007,510000001238,
2873,,Segment,1,2,Image 1,2,1,100000007,510000001254,
3427,,Segment,1,2,Image 1,2,1,100000007,510000001270,
1332,,Segment,1,4,Image 1,2,1,100000007,510000001294,
4863,,Segment,1,1,Image 1,1,1,100000008,510000001301,
4589,,Segment,1,1,Image 1,1,1,100000008,510000001322,
2048,,Segment,1,1,Image 1,1,1,100000008,510000001349,
2503,,Segment,1,1,Image 1,1,1,100000008,510000001360,
652,,Segment,1,1,Image 1,1,1,100000008,510000001373,
1755,,Segment,1,2,Image 1,1,1,100000008,510000001375,
516,,Segment,1,3,Image 1,1,1,100000008,510000001384,
790,,Segment,1,3,Image 1,2,1,100000008,510000001387,
3908,,Segment,1,4,Image 1,2,1,100000008,510000001391,
3077,,Segment,1,4,Image 1,3,1,100000008,510000001408,
2121,,Segment,1,2,Image 1,2,1,100000008,510000001424,
1578,,Segment,1,2,Image 1,1,1,100000009,510000001441,
3021,,Segment,1,2,Image 1,2,1,100000009,510000001449,
2984,,Segment,1,1,Image 1,1,1,100000009,510000001468,
673,,Segment,1,1,Image 1,1,1,100000009,510000001489,
491,,Segment,1,2,Image 1,2,1,100000009,510000001491,
2123,,Segment,1,3,Image 1,1,1,100000009,510000001494,
633,,Segment,1,3,Image 1,2,1,100000009,510000001510,
2917,,Segment,1,1,Image 1,1,1,100000009,510000001514,
791,,Segment,1,1,Image 1,1,1,100000009,510000001533,
926,,Segment,1,1,Image 1,1,1,100000010,510000001537,
3665,,Segment,1,2,Image 1,1,1,100000010,510000001541,
2655,,Segment,1,2,Image 1,2,1,100000010,510000001558,
1785,,Segment,1,2,Image 1,1,1,100000010,510000001575,
3803,,Segment,1,2,Image 1,2,1,100000010,510000001584,
3800,,Segment,1,2,Image 1,2,1,100000010,510000001609,
1881,,Segment,1,1,Image 1,1,1,100000010,510000001626,
974,,Segment,1,2,Image 1,1,1,100000010,510000001636,
1503,,Segment,1,2,Image 1,2,1,100000010,510000001640,
570,,Segment,1,3,Image 1,2,1,100000010,510000001649,
1156,,Segment,1,3,Image 1,3,1,100000010,510000001652,
772,,Segment,1,2,Image 1,1,1,100000010,510000001659,
1810,,Segment,1,3,Image 1,1,1,100000010,510000001662,
1551,,Segment,1,3,Image 1,2,1,100000010,510000001672,
1469,,Segment,1,2,Image 1,1,1,100000011,510000001682,
826,,Segment,1,2,Image 1,2,1,100000011,510000001692,
2919,,Segment,1,3,Image 1,3,1,100000011,510000001695,
487,,Segment,1,2,Image 1,1,1,100000011,510000001716,
950,,Segment,1,3,Image 1,2,1,100000011,510000001718,
1156,,Segment,1,3,Image 1,1,1,100000011,510000001719,
523,,Segment,1,1,Image 1,1,1,100000011,510000001726,
141,,Segment,1,1,Image 1,1,1,100000000,510000001736,
229,,Segment,1,1,Image 1,1,1,100000000,510000001737,
243,,Segment,1,1,Image 1,1,1,100000001,510000001738,
487,,Segment,1,1,Image 1,1,1,100000002,510000001739,
467,,Segment,1,2,Image 1,1,1,100000002,510000001740,
477,,Segment,1,1,Image 1,1,1,100000002,510000001741,
421,,Segment,1,2,Image 1,1,1,100000002,510000001742,
380,,Segment,1,3,Image 1,1,1,100000002,510000001743,
255,,Segment,1,0,Image 1,1,1,100000003,510000001744,
510,,Segment,1,1,Image 1,2,1,100000003,510000001745,
244,,Segment,1,0,Image 1,1,1,100000003,510000001746,
381,,Segment,1,1,Image 1,1,1,100000004,510000001747,
410,,Segment,1,1,Image 1,1,1,100000004,510000001748,
457,,Segment,1,4,Image 1,3,1,100000004,510000001749,
255,,Segment,1,1,Image 1,1,1,100000005,510000001750,
253,,Segment,1,1,Image 1,1,1,100000005,510000001751,
255,,Segment,1,1,Image 1,1,1,100000005,510000001752,
255,,Segment,1,1,Image 1,1,1,100000006,510000001753,
407,,Segment,1,2,Image 1,1,1,100000006,510000001754,
255,,Segment,1,1,Image 1,1,1,100000007,510000001755,
142,,Segment,1,1,Image 1,1,1,100000007,510000001756,
278,,Segment,1,2,Image 1,1,1,100000007,510000001757,
463,,Segment,1,1,Image 1,1,1,100000009,510000001758,
357,,Segment,1,2,Image 1,1,1,100000009,510000001759,
510,,Segment,1,1,Image 1,1,1,100000010,510000001760,
425,,Segment,1,1,Image 1,1,1,100000010,510000001761,
460,,Segment,1,1,Image 1,1,1,100000011,510000001762,
253,,Segment,1,3,Image 1,2,1,100000011,510000001763,
510,,Segment,1,1,Image 1,1,1,100000011,510000001764,
410,,Segment,1,2,Image 1,2,1,100000011,510000001765,
