
Segment Center Number of Voxel Ch=1 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Segment,1,1,Image 1,1,1,100000000,510000000001,
5,,Segment,1,2,Image 1,1,1,100000000,510000000003,
33,,Segment,1,3,Image 1,1,1,100000000,510000000007,
13,,Segment,1,3,Image 1,2,1,100000000,510000000039,
4,,Segment,1,2,Image 1,2,1,100000000,510000000051,
7,,Segment,1,3,Image 1,2,1,100000000,510000000054,
24,,Segment,1,3,Image 1,3,1,100000000,510000000060,
14,,Segment,1,1,Image 1,1,1,100000000,510000000083,
6,,Segment,1,2,Image 1,1,1,100000000,510000000098,
21,,Segment,1,3,Image 1,1,1,100000000,510000000103,
14,,Segment,1,3,Image 1,2,1,100000000,510000000123,
3,,Segment,1,2,Image 1,1,1,100000000,510000000137,
22,,Segment,1,3,Image 1,1,1,100000000,510000000139,
22,,Segment,1,3,Image 1,2,1,100000000,510000000160,
10,,Segment,1,2,Image 1,2,1,100000000,510000000181,
19,,Segment,1,2,Image 1,2,1,100000000,510000000190,
9,,Segment,1,2,Image 1,2,1,100000000,510000000208,
8,,Segment,1,2,Image 1,1,1,100000001,510000000218,
9,,Segment,1,3,Image 1,1,1,100000001,510000000225,
10,,Segment,1,3,Image 1,2,1,100000001,510000000234,
20,,Segment,1,2,Image 1,2,1,100000001,510000000244,
2,,Segment,1,1,Image 1,1,1,100000001,510000000263,
13,,Segment,1,2,Image 1,1,1,100000001,510000000265,
3,,Segment,1,1,Image 1,1,1,100000001,510000000277,
12,,Segment,1,2,Image 1,1,1,100000001,510000000280,
14,,Segment,1,3,Image 1,1,1,100000001,510000000291,
22,,Segment,1,3,Image 1,2,1,100000001,510000000304,
11,,Segment,1,2,Image 1,2,1,100000001,510000000325,
26,,Segment,1,3,Image 1,2,1,100000001,510000000335,
13,,Segment,1,3,Image 1,3,1,100000001,510000000360,
6,,Segment,1,1,Image 1,1,1,100000001,510000000372,
12,,Segment,1,2,Image 1,2,1,100000001,510000000378,
14,,Segment,1,3,Image 1,1,1,100000002,510000000392,
11,,Segment,1,2,Image 1,2,1,100000002,510000000405,
3,,Segment,1,1,Image 1,1,1,100000002,510000000415,
11,,Segment,1,2,Image 1,1,1,100000002,510000000417,
20,,Segment,1,4,Image 1,2,1,100000002,510000000430,
3,,Segment,1,4,Image 1,1,1,100000002,510000000449,
7,,Segment,1,5,Image 1,1,1,100000002,510000000451,
3,,Segment,1,2,Image 1,2,1,100000002,510000000457,
10,,Segment,1,3,Image 1,2,1,100000002,510000000459,
3,,Segment,1,2,Image 1,2,1,100000002,510000000468,
12,,Segment,1,3,Image 1,2,1,100000002,510000000470,
5,,Segment,1,3,Image 1,3,1,100000002,510000000481,
6,,Segment,1,3,Image 1,2,1,100000002,510000000485,
14,,Segment,1,5,Image 1,2,1,100000002,510000000490,
13,,Segment,1,1,Image 1,1,1,100000002,510000000503,
15,,Segment,1,1,Image 1,1,1,100000003,510000000517,
6,,Segment,1,1,Image 1,1,1,100000003,510000000532,
10,,Segment,1,2,Image 1,1,1,100000003,510000000537,
4,,Segment,1,2,Image 1,2,1,100000003,510000000547,
6,,Segment,1,3,Image 1,2,1,100000003,510000000550,
4,,Segment,1,4,Image 1,2,1,100000003,510000000555,
18,,Segment,1,5,Image 1,2,1,100000003,510000000558,
11,,Segment,1,4,Image 1,3,1,100000003,510000000575,
7,,Segment,1,3,Image 1,3,1,100000003,510000000585,
21,,Segment,1,4,Image 1,3,1,100000003,510000000591,
15,,Segment,1,4,Image 1,4,1,100000003,510000000611,
25,,Segment,1,2,Image 1,3,1,100000003,510000000625,
19,,Segment,1,5,Image 1,3,1,100000003,510000000650,
4,,Segment,1,1,Image 1,2,1,100000003,510000000668,
5,,Segment,1,2,Image 1,2,1,100000003,510000000672,
3,,Segment,1,1,Image 1,1,1,100000004,510000000678,
6,,Segment,1,2,Image 1,1,1,100000004,510000000680,
15,,Segment,1,2,Image 1,1,1,100000004,510000000686,
4,,Segment,1,3,Image 1,1,1,100000004,510000000700,
3,,Segment,1,3,Image 1,2,1,100000004,510000000703,
15,,Segment,1,1,Image 1,1,1,100000004,510000000705,
4,,Segment,1,2,Image 1,1,1,100000004,510000000720,
5,,Segment,1,3,Image 1,1,1,100000004,510000000723,
4,,Segment,1,4,Image 1,1,1,100000004,510000000727,
4,,Segment,1,4,Image 1,2,1,100000004,510000000730,
8,,Segment,1,3,Image 1,2,1,100000004,510000000733,
4,,Segment,1,2,Image 1,2,1,100000004,510000000740,
3,,Segment,1,3,Image 1,2,1,100000004,510000000743,
7,,Segment,1,4,Image 1,2,1,100000004,510000000745,
6,,Segment,1,2,Image 1,2,1,100000004,510000000751,
11,,Segment,1,3,Image 1,3,1,100000004,510000000756,
6,,Segment,1,2,Image 1,2,1,100000004,510000000766,
14,,Segment,1,2,Image 1,2,1,100000004,510000000771,
3,,Segment,1,3,Image 1,2,1,100000004,510000000784,
13,,Segment,1,2,Image 1,1,1,100000005,510000000789,
25,,Segment,1,2,Image 1,2,1,100000005,510000000803,
15,,Segment,1,2,Image 1,2,1,100000005,510000000827,
5,,Segment,1,2,Image 1,2,1,100000005,510000000841,
20,,Segment,1,2,Image 1,2,1,100000005,510000000846,
4,,Segment,1,2,Image 1,1,1,100000005,510000000866,
12,,Segment,1,3,Image 1,1,1,100000005,510000000869,
18,,Segment,1,2,Image 1,2,1,100000005,510000000880,
15,,Segment,1,3,Image 1,2,1,100000005,510000000897,
3,,Segment,1,2,Image 1,1,1,100000005,510000000911,
30,,Segment,1,3,Image 1,1,1,100000005,510000000913,
6,,Segment,1,3,Image 1,2,1,100000005,510000000942,
18,,Segment,1,4,Image 1,2,1,100000005,510000000947,
16,,Segment,1,4,Image 1,3,1,100000005,510000000964,
22,,Segment,1,3,Image 1,1,1,100000006,510000000982,
25,,Segment,1,2,Image 1,2,1,100000006,510000001003,
14,,Segment,1,1,Image 1,1,1,100000006,510000001027,
20,,Segment,1,3,Image 1,2,1,100000006,510000001041,
31,,Segment,1,3,Image 1,2,1,100000006,510000001060,
8,,Segment,1,1,Image 1,1,1,100000006,510000001090,
4,,Segment,1,2,Image 1,1,1,100000007,510000001100,
5,,Segment,1,3,Image 1,1,1,100000007,510000001103,
13,,Segment,1,4,Image 1,1,1,100000007,510000001107,
5,,Segment,1,5,Image 1,1,1,100000007,510000001119,
11,,Segment,1,5,Image 1,2,1,100000007,510000001123,
4,,Segment,1,3,Image 1,2,1,100000007,510000001133,
12,,Segment,1,4,Image 1,2,1,100000007,510000001136,
8,,Segment,1,4,Image 1,3,1,100000007,510000001147,
22,,Segment,1,3,Image 1,1,1,100000007,510000001157,
14,,Segment,1,3,Image 1,2,1,100000007,510000001178,
12,,Segment,1,4,Image 1,2,1,100000007,510000001191,
9,,Segment,1,4,Image 1,3,1,100000007,510000001202,
27,,Segment,1,2,Image 1,2,1,100000007,510000001210,
2,,Segment,1,1,Image 1,1,1,100000007,510000001236,
16,,Segment,1,2,Image 1,1,1,100000007,510000001238,
17,,Segment,1,2,Image 1,2,1,100000007,510000001254,
25,,Segment,1,2,Image 1,2,1,100000007,510000001270,
7,,Segment,1,4,Image 1,2,1,100000007,510000001294,
22,,Segment,1,1,Image 1,1,1,100000008,510000001301,
28,,Segment,1,1,Image 1,1,1,100000008,510000001322,
12,,Segment,1,1,Image 1,1,1,100000008,510000001349,
14,,Segment,1,1,Image 1,1,1,100000008,510000001360,
3,,Segment,1,1,Image 1,1,1,100000008,510000001373,
10,,Segment,1,2,Image 1,1,1,100000008,510000001375,
4,,Segment,1,3,Image 1,1,1,100000008,510000001384,
5,,Segment,1,3,Image 1,2,1,100000008,510000001387,
18,,Segment,1,4,Image 1,2,1,100000008,510000001391,
17,,Segment,1,4,Image 1,3,1,100000008,510000001408,
16,,Segment,1,2,Image 1,2,1,100000008,510000001424,
9,,Segment,1,2,Image 1,1,1,100000009,510000001441,
20,,Segment,1,2,Image 1,2,1,100000009,510000001449,
22,,Segment,1,1,Image 1,1,1,100000009,510000001468,
3,,Segment,1,1,Image 1,1,1,100000009,510000001489,
3,,Segment,1,2,Image 1,2,1,100000009,510000001491,
17,,Segment,1,3,Image 1,1,1,100000009,510000001494,
5,,Segment,1,3,Image 1,2,1,100000009,510000001510,
20,,Segment,1,1,Image 1,1,1,100000009,510000001514,
4,,Segment,1,1,Image 1,1,1,100000009,510000001533,
5,,Segment,1,1,Image 1,1,1,100000010,510000001537,
18,,Segment,1,2,Image 1,1,1,100000010,510000001541,
17,,Segment,1,2,Image 1,2,1,100000010,510000001558,
10,,Segment,1,2,Image 1,1,1,100000010,510000001575,
25,,Segment,1,2,Image 1,2,1,100000010,510000001584,
18,,Segment,1,2,Image 1,2,1,100000010,510000001609,
11,,Segment,1,1,Image 1,1,1,100000010,510000001626,
5,,Segment,1,2,Image 1,1,1,100000010,510000001636,
10,,Segment,1,2,Image 1,2,1,100000010,510000001640,
4,,Segment,1,3,Image 1,2,1,100000010,510000001649,
8,,Segment,1,3,Image 1,3,1,100000010,510000001652,
4,,Segment,1,2,Image 1,1,1,100000010,510000001659,
11,,Segment,1,3,Image 1,1,1,100000010,510000001662,
9,,Segment,1,3,Image 1,2,1,100000010,510000001672,
11,,Segment,1,2,Image 1,1,1,100000011,510000001682,
4,,Segment,1,2,Image 1,2,1,100000011,510000001692,
20,,Segment,1,3,Image 1,3,1,100000011,510000001695,
3,,Segment,1,2,Image 1,1,1,100000011,510000001716,
8,,Segment,1,3,Image 1,2,1,100000011,510000001718,
7,,Segment,1,3,Image 1,1,1,100000011,510000001719,
5,,Segment,1,1,Image 1,1,1,100000011,510000001726,
1,,Segment,1,1,Image 1,1,1,100000000,510000001736,
