
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
155,,Segment,3,1,Image 1,1,1,100000000,510000000001,
211,,Segment,3,2,Image 1,1,1,100000000,510000000003,
220,,Segment,3,3,Image 1,1,1,100000000,510000000007,
215,,Segment,3,3,Image 1,2,1,100000000,510000000039,
211,,Segment,3,2,Image 1,2,1,100000000,510000000051,
213,,Segment,3,3,Image 1,2,1,100000000,510000000054,
211,,Segment,3,3,Image 1,3,1,100000000,510000000060,
207,,Segment,3,1,Image 1,1,1,100000000,510000000083,
207,,Segment,3,2,Image 1,1,1,100000000,510000000098,
206,,Segment,3,3,Image 1,1,1,100000000,510000000103,
205,,Segment,3,3,Image 1,2,1,100000000,510000000123,
152,,Segment,3,2,Image 1,1,1,100000000,510000000137,
199,,Segment,3,3,Image 1,1,1,100000000,510000000139,
200,,Segment,3,3,Image 1,2,1,100000000,510000000160,
205,,Segment,3,2,Image 1,2,1,100000000,510000000181,
216,,Segment,3,2,Image 1,2,1,100000000,510000000190,
208,,Segment,3,2,Image 1,2,1,100000000,510000000208,
198,,Segment,3,2,Image 1,1,1,100000001,510000000218,
212,,Segment,3,3,Image 1,1,1,100000001,510000000225,
215,,Segment,3,3,Image 1,2,1,100000001,510000000234,
189,,Segment,3,2,Image 1,2,1,100000001,510000000244,
95,,Segment,3,1,Image 1,1,1,100000001,510000000263,
202,,Segment,3,2,Image 1,1,1,100000001,510000000265,
139,,Segment,3,1,Image 1,1,1,100000001,510000000277,
195,,Segment,3,2,Image 1,1,1,100000001,510000000280,
222,,Segment,3,3,Image 1,1,1,100000001,510000000291,
212,,Segment,3,3,Image 1,2,1,100000001,510000000304,
202,,Segment,3,2,Image 1,2,1,100000001,510000000325,
222,,Segment,3,3,Image 1,2,1,100000001,510000000335,
204,,Segment,3,3,Image 1,3,1,100000001,510000000360,
178,,Segment,3,1,Image 1,1,1,100000001,510000000372,
190,,Segment,3,2,Image 1,2,1,100000001,510000000378,
220,,Segment,3,3,Image 1,1,1,100000002,510000000392,
214,,Segment,3,2,Image 1,2,1,100000002,510000000405,
167,,Segment,3,1,Image 1,1,1,100000002,510000000415,
223,,Segment,3,2,Image 1,1,1,100000002,510000000417,
209,,Segment,3,4,Image 1,2,1,100000002,510000000430,
215,,Segment,3,4,Image 1,1,1,100000002,510000000449,
216,,Segment,3,5,Image 1,1,1,100000002,510000000451,
141,,Segment,3,2,Image 1,2,1,100000002,510000000457,
208,,Segment,3,3,Image 1,2,1,100000002,510000000459,
186,,Segment,3,2,Image 1,2,1,100000002,510000000468,
206,,Segment,3,3,Image 1,2,1,100000002,510000000470,
205,,Segment,3,3,Image 1,3,1,100000002,510000000481,
206,,Segment,3,3,Image 1,2,1,100000002,510000000485,
205,,Segment,3,5,Image 1,2,1,100000002,510000000490,
209,,Segment,3,1,Image 1,1,1,100000002,510000000503,
220,,Segment,3,1,Image 1,1,1,100000003,510000000517,
201,,Segment,3,1,Image 1,1,1,100000003,510000000532,
201,,Segment,3,2,Image 1,1,1,100000003,510000000537,
192,,Segment,3,2,Image 1,2,1,100000003,510000000547,
195,,Segment,3,3,Image 1,2,1,100000003,510000000550,
203,,Segment,3,4,Image 1,2,1,100000003,510000000555,
203,,Segment,3,5,Image 1,2,1,100000003,510000000558,
219,,Segment,3,4,Image 1,3,1,100000003,510000000575,
200,,Segment,3,3,Image 1,3,1,100000003,510000000585,
207,,Segment,3,4,Image 1,3,1,100000003,510000000591,
208,,Segment,3,4,Image 1,4,1,100000003,510000000611,
209,,Segment,3,2,Image 1,3,1,100000003,510000000625,
221,,Segment,3,5,Image 1,3,1,100000003,510000000650,
210,,Segment,3,1,Image 1,2,1,100000003,510000000668,
197,,Segment,3,2,Image 1,2,1,100000003,510000000672,
201,,Segment,3,1,Image 1,1,1,100000004,510000000678,
221,,Segment,3,2,Image 1,1,1,100000004,510000000680,
219,,Segment,3,2,Image 1,1,1,100000004,510000000686,
206,,Segment,3,3,Image 1,1,1,100000004,510000000700,
