
Segment Intensity Mean Ch=2 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
52.5738,,Segment,2,1,Image 1,1,1,100000000,510000000001,
107.378,,Segment,2,2,Image 1,1,1,100000000,510000000003,
168.548,,Segment,2,3,Image 1,1,1,100000000,510000000007,
158.288,,Segment,2,3,Image 1,2,1,100000000,510000000039,
88.7591,,Segment,2,2,Image 1,2,1,100000000,510000000051,
160.661,,Segment,2,3,Image 1,2,1,100000000,510000000054,
166.272,,Segment,2,3,Image 1,3,1,100000000,510000000060,
67.6395,,Segment,2,1,Image 1,1,1,100000000,510000000083,
115.208,,Segment,2,2,Image 1,1,1,100000000,510000000098,
165.818,,Segment,2,3,Image 1,1,1,100000000,510000000103,
166.379,,Segment,2,3,Image 1,2,1,100000000,510000000123,
46.8262,,Segment,2,2,Image 1,1,1,100000000,510000000137,
134.301,,Segment,2,3,Image 1,1,1,100000000,510000000139,
123.015,,Segment,2,3,Image 1,2,1,100000000,510000000160,
99.6827,,Segment,2,2,Image 1,2,1,100000000,510000000181,
122.518,,Segment,2,2,Image 1,2,1,100000000,510000000190,
93.8908,,Segment,2,2,Image 1,2,1,100000000,510000000208,
101.998,,Segment,2,2,Image 1,1,1,100000001,510000000218,
129.166,,Segment,2,3,Image 1,1,1,100000001,510000000225,
133.491,,Segment,2,3,Image 1,2,1,100000001,510000000234,
110.912,,Segment,2,2,Image 1,2,1,100000001,510000000244,
45.1963,,Segment,2,1,Image 1,1,1,100000001,510000000263,
114.87,,Segment,2,2,Image 1,1,1,100000001,510000000265,
53.082,,Segment,2,1,Image 1,1,1,100000001,510000000277,
144.55,,Segment,2,2,Image 1,1,1,100000001,510000000280,
162.99,,Segment,2,3,Image 1,1,1,100000001,510000000291,
160.027,,Segment,2,3,Image 1,2,1,100000001,510000000304,
137.729,,Segment,2,2,Image 1,2,1,100000001,510000000325,
175.477,,Segment,2,3,Image 1,2,1,100000001,510000000335,
176.824,,Segment,2,3,Image 1,3,1,100000001,510000000360,
55.4551,,Segment,2,1,Image 1,1,1,100000001,510000000372,
110.606,,Segment,2,2,Image 1,2,1,100000001,510000000378,
110.118,,Segment,2,3,Image 1,1,1,100000002,510000000392,
120.687,,Segment,2,2,Image 1,2,1,100000002,510000000405,
44.3423,,Segment,2,1,Image 1,1,1,100000002,510000000415,
