
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,1,Image 1,1,1,100000000,510000000001,
0,,Segment,3,2,Image 1,1,1,100000000,510000000003,
0,,Segment,3,3,Image 1,1,1,100000000,510000000007,
3,,Segment,3,3,Image 1,2,1,100000000,510000000039,
0,,Segment,3,2,Image 1,2,1,100000000,510000000051,
37,,Segment,3,3,Image 1,2,1,100000000,510000000054,
46,,Segment,3,3,Image 1,3,1,100000000,510000000060,
0,,Segment,3,1,Image 1,1,1,100000000,510000000083,
4,,Segment,3,2,Image 1,1,1,100000000,510000000098,
7,,Segment,3,3,Image 1,1,1,100000000,510000000103,
15,,Segment,3,3,Image 1,2,1,100000000,510000000123,
0,,Segment,3,2,Image 1,1,1,100000000,510000000137,
1,,Segment,3,3,Image 1,1,1,100000000,510000000139,
2,,Segment,3,3,Image 1,2,1,100000000,510000000160,
3,,Segment,3,2,Image 1,2,1,100000000,510000000181,
0,,Segment,3,2,Image 1,2,1,100000000,510000000190,
0,,Segment,3,2,Image 1,2,1,100000000,510000000208,
36,,Segment,3,2,Image 1,1,1,100000001,510000000218,
0,,Segment,3,3,Image 1,1,1,100000001,510000000225,
7,,Segment,3,3,Image 1,2,1,100000001,510000000234,
36,,Segment,3,2,Image 1,2,1,100000001,510000000244,
0,,Segment,3,1,Image 1,1,1,100000001,510000000263,
5,,Segment,3,2,Image 1,1,1,100000001,510000000265,
0,,Segment,3,1,Image 1,1,1,100000001,510000000277,
41,,Segment,3,2,Image 1,1,1,100000001,510000000280,
14,,Segment,3,3,Image 1,1,1,100000001,510000000291,
49,,Segment,3,3,Image 1,2,1,100000001,510000000304,
74,,Segment,3,2,Image 1,2,1,100000001,510000000325,
7,,Segment,3,3,Image 1,2,1,100000001,510000000335,
74,,Segment,3,3,Image 1,3,1,100000001,510000000360,
0,,Segment,3,1,Image 1,1,1,100000001,510000000372,
28,,Segment,3,2,Image 1,2,1,100000001,510000000378,
0,,Segment,3,3,Image 1,1,1,100000002,510000000392,
