
Segment Intensity Sum Ch=1 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3.24334e+07,,Segment,1,1,Image 1,1,1,100000000,510000000001,
6.06964e+06,,Segment,1,2,Image 1,1,1,100000000,510000000003,
1.26366e+07,,Segment,1,3,Image 1,1,1,100000000,510000000007,
3.3517e+06,,Segment,1,3,Image 1,2,1,100000000,510000000039,
3.55526e+06,,Segment,1,2,Image 1,2,1,100000000,510000000051,
1.04163e+06,,Segment,1,3,Image 1,2,1,100000000,510000000054,
1.19681e+06,,Segment,1,3,Image 1,3,1,100000000,510000000060,
3.60262e+07,,Segment,1,1,Image 1,1,1,100000000,510000000083,
3.86086e+06,,Segment,1,2,Image 1,1,1,100000000,510000000098,
2.11648e+06,,Segment,1,3,Image 1,1,1,100000000,510000000103,
1.05396e+06,,Segment,1,3,Image 1,2,1,100000000,510000000123,
3.13654e+06,,Segment,1,2,Image 1,1,1,100000000,510000000137,
3.25962e+06,,Segment,1,3,Image 1,1,1,100000000,510000000139,
3.23175e+06,,Segment,1,3,Image 1,2,1,100000000,510000000160,
4.6072e+06,,Segment,1,2,Image 1,2,1,100000000,510000000181,
4.26363e+06,,Segment,1,2,Image 1,2,1,100000000,510000000190,
4.48128e+06,,Segment,1,2,Image 1,2,1,100000000,510000000208,
798424,,Segment,1,2,Image 1,1,1,100000001,510000000218,
392761,,Segment,1,3,Image 1,1,1,100000001,510000000225,
382862,,Segment,1,3,Image 1,2,1,100000001,510000000234,
635590,,Segment,1,2,Image 1,2,1,100000001,510000000244,
1.83448e+06,,Segment,1,1,Image 1,1,1,100000001,510000000263,
636704,,Segment,1,2,Image 1,1,1,100000001,510000000265,
2.15377e+06,,Segment,1,1,Image 1,1,1,100000001,510000000277,
686423,,Segment,1,2,Image 1,1,1,100000001,510000000280,
364710,,Segment,1,3,Image 1,1,1,100000001,510000000291,
569320,,Segment,1,3,Image 1,2,1,100000001,510000000304,
329428,,Segment,1,2,Image 1,2,1,100000001,510000000325,
540674,,Segment,1,3,Image 1,2,1,100000001,510000000335,
213609,,Segment,1,3,Image 1,3,1,100000001,510000000360,
2.11734e+06,,Segment,1,1,Image 1,1,1,100000001,510000000372,
434114,,Segment,1,2,Image 1,2,1,100000001,510000000378,
359599,,Segment,1,3,Image 1,1,1,100000002,510000000392,
257419,,Segment,1,2,Image 1,2,1,100000002,510000000405,
3.35229e+06,,Segment,1,1,Image 1,1,1,100000002,510000000415,
235394,,Segment,1,2,Image 1,1,1,100000002,510000000417,
523076,,Segment,1,4,Image 1,2,1,100000002,510000000430,
62466,,Segment,1,4,Image 1,1,1,100000002,510000000449,
