
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
26.219,µm,Segment,1,1,1,100000000,510000000001,
40.3481,µm,Segment,2,1,1,100000000,510000000003,
297.084,µm,Segment,3,1,1,100000000,510000000007,
119.033,µm,Segment,3,2,1,100000000,510000000039,
47.7285,µm,Segment,2,2,1,100000000,510000000051,
59.8182,µm,Segment,3,2,1,100000000,510000000054,
88.7392,µm,Segment,3,3,1,100000000,510000000060,
127.856,µm,Segment,1,1,1,100000000,510000000083,
41.7483,µm,Segment,2,1,1,100000000,510000000098,
82.5649,µm,Segment,3,1,1,100000000,510000000103,
69.514,µm,Segment,3,2,1,100000000,510000000123,
9.62391,µm,Segment,2,1,1,100000000,510000000137,
85.39,µm,Segment,3,1,1,100000000,510000000139,
117.229,µm,Segment,3,2,1,100000000,510000000160,
108.136,µm,Segment,2,2,1,100000000,510000000181,
129.775,µm,Segment,2,2,1,100000000,510000000190,
81.4334,µm,Segment,2,2,1,100000000,510000000208,
38.4885,µm,Segment,2,1,1,100000001,510000000218,
45.4499,µm,Segment,3,1,1,100000001,510000000225,
56.8164,µm,Segment,3,2,1,100000001,510000000234,
65.0588,µm,Segment,2,2,1,100000001,510000000244,
12.5654,µm,Segment,1,1,1,100000001,510000000263,
51.5955,µm,Segment,2,1,1,100000001,510000000265,
22.5095,µm,Segment,1,1,1,100000001,510000000277,
56.9817,µm,Segment,2,1,1,100000001,510000000280,
57.7344,µm,Segment,3,1,1,100000001,510000000291,
115.01,µm,Segment,3,2,1,100000001,510000000304,
43.5315,µm,Segment,2,2,1,100000001,510000000325,
127.128,µm,Segment,3,2,1,100000001,510000000335,
53.3859,µm,Segment,3,3,1,100000001,510000000360,
36.2397,µm,Segment,1,1,1,100000001,510000000372,
44.8127,µm,Segment,2,2,1,100000001,510000000378,
66.7114,µm,Segment,3,1,1,100000002,510000000392,
63.4396,µm,Segment,2,2,1,100000002,510000000405,
19.6299,µm,Segment,1,1,1,100000002,510000000415,
51.9525,µm,Segment,2,1,1,100000002,510000000417,
94.7345,µm,Segment,4,2,1,100000002,510000000430,
10.6508,µm,Segment,4,1,1,100000002,510000000449,
31.8373,µm,Segment,5,1,1,100000002,510000000451,
17.4208,µm,Segment,2,2,1,100000002,510000000457,
45.0763,µm,Segment,3,2,1,100000002,510000000459,
17.6722,µm,Segment,2,2,1,100000002,510000000468,
60.9539,µm,Segment,3,2,1,100000002,510000000470,
22.5985,µm,Segment,3,3,1,100000002,510000000481,
26.1427,µm,Segment,3,2,1,100000002,510000000485,
67.5022,µm,Segment,5,2,1,100000002,510000000490,
69.1426,µm,Segment,1,1,1,100000002,510000000503,
