
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
27.5381,µm,Segment,1,1,1,100000000,510000000001,
14.675,µm,Segment,2,1,1,100000000,510000000003,
10.079,µm,Segment,3,1,1,100000000,510000000007,
6.6601,µm,Segment,3,2,1,100000000,510000000039,
9.38993,µm,Segment,2,2,1,100000000,510000000051,
6.01046,µm,Segment,3,2,1,100000000,510000000054,
5.60932,µm,Segment,3,3,1,100000000,510000000060,
11.6172,µm,Segment,1,1,1,100000000,510000000083,
12.3148,µm,Segment,2,1,1,100000000,510000000098,
7.36683,µm,Segment,3,1,1,100000000,510000000103,
6.13409,µm,Segment,3,2,1,100000000,510000000123,
14.246,µm,Segment,2,1,1,100000000,510000000137,
8.7133,µm,Segment,3,1,1,100000000,510000000139,
6.39054,µm,Segment,3,2,1,100000000,510000000160,
7.41167,µm,Segment,2,2,1,100000000,510000000181,
6.87874,µm,Segment,2,2,1,100000000,510000000190,
7.4388,µm,Segment,2,2,1,100000000,510000000208,
5.07306,µm,Segment,2,1,1,100000001,510000000218,
3.61423,µm,Segment,3,1,1,100000001,510000000225,
3.28513,µm,Segment,3,2,1,100000001,510000000234,
3.51644,µm,Segment,2,2,1,100000001,510000000244,
9.78476,µm,Segment,1,1,1,100000001,510000000263,
4.14965,µm,Segment,2,1,1,100000001,510000000265,
8.78096,µm,Segment,1,1,1,100000001,510000000277,
4.66659,µm,Segment,2,1,1,100000001,510000000280,
3.54668,µm,Segment,3,1,1,100000001,510000000291,
3.20938,µm,Segment,3,2,1,100000001,510000000304,
3.69767,µm,Segment,2,2,1,100000001,510000000325,
3.22987,µm,Segment,3,2,1,100000001,510000000335,
3.14272,µm,Segment,3,3,1,100000001,510000000360,
6.18077,µm,Segment,1,1,1,100000001,510000000372,
3.46154,µm,Segment,2,2,1,100000001,510000000378,
2.70368,µm,Segment,3,1,1,100000002,510000000392,
2.23935,µm,Segment,2,2,1,100000002,510000000405,
8.92622,µm,Segment,1,1,1,100000002,510000000415,
2.64828,µm,Segment,2,1,1,100000002,510000000417,
2.67733,µm,Segment,4,2,1,100000002,510000000430,
2.79586,µm,Segment,4,1,1,100000002,510000000449,
1.76618,µm,Segment,5,1,1,100000002,510000000451,
3.42154,µm,Segment,2,2,1,100000002,510000000457,
1.84762,µm,Segment,3,2,1,100000002,510000000459,
2.63216,µm,Segment,2,2,1,100000002,510000000468,
2.02295,µm,Segment,3,2,1,100000002,510000000470,
1.76216,µm,Segment,3,3,1,100000002,510000000481,
2.30693,µm,Segment,3,2,1,100000002,510000000485,
1.6484,µm,Segment,5,2,1,100000002,510000000490,
3.98726,µm,Segment,1,1,1,100000002,510000000503,
11.9688,µm,Segment,1,1,1,100000003,510000000517,
4.47189,µm,Segment,1,1,1,100000003,510000000532,
3.26366,µm,Segment,2,1,1,100000003,510000000537,
4.58543,µm,Segment,2,2,1,100000003,510000000547,
3.9195,µm,Segment,3,2,1,100000003,510000000550,
3.57011,µm,Segment,4,2,1,100000003,510000000555,
3.12598,µm,Segment,5,2,1,100000003,510000000558,
2.95515,µm,Segment,4,3,1,100000003,510000000575,
3.22107,µm,Segment,3,3,1,100000003,510000000585,
2.88931,µm,Segment,4,3,1,100000003,510000000591,
2.83898,µm,Segment,4,4,1,100000003,510000000611,
3.09177,µm,Segment,2,3,1,100000003,510000000625,
2.89909,µm,Segment,5,3,1,100000003,510000000650,
3.60085,µm,Segment,1,2,1,100000003,510000000668,
3.06248,µm,Segment,2,2,1,100000003,510000000672,
14.7689,µm,Segment,1,1,1,100000004,510000000678,
6.98997,µm,Segment,2,1,1,100000004,510000000680,
6.52522,µm,Segment,2,1,1,100000004,510000000686,
4.73979,µm,Segment,3,1,1,100000004,510000000700,
4.70859,µm,Segment,3,2,1,100000004,510000000703,
7.48911,µm,Segment,1,1,1,100000004,510000000705,
7.97777,µm,Segment,2,1,1,100000004,510000000720,
6.07743,µm,Segment,3,1,1,100000004,510000000723,
4.93593,µm,Segment,4,1,1,100000004,510000000727,
4.80154,µm,Segment,4,2,1,100000004,510000000730,
5.00645,µm,Segment,3,2,1,100000004,510000000733,
6.4981,µm,Segment,2,2,1,100000004,510000000740,
5.07624,µm,Segment,3,2,1,100000004,510000000743,
4.76272,µm,Segment,4,2,1,100000004,510000000745,
5.80987,µm,Segment,2,2,1,100000004,510000000751,
4.62912,µm,Segment,3,3,1,100000004,510000000756,
5.44454,µm,Segment,2,2,1,100000004,510000000766,
5.3884,µm,Segment,2,2,1,100000004,510000000771,
5.50939,µm,Segment,3,2,1,100000004,510000000784,
4.55036,µm,Segment,2,1,1,100000005,510000000789,
4.6252,µm,Segment,2,2,1,100000005,510000000803,
3.90092,µm,Segment,2,2,1,100000005,510000000827,
4.23631,µm,Segment,2,2,1,100000005,510000000841,
3.85932,µm,Segment,2,2,1,100000005,510000000846,
5.80845,µm,Segment,2,1,1,100000005,510000000866,
4.1405,µm,Segment,3,1,1,100000005,510000000869,
3.86921,µm,Segment,2,2,1,100000005,510000000880,
3.65933,µm,Segment,3,2,1,100000005,510000000897,
5.05867,µm,Segment,2,1,1,100000005,510000000911,
3.64855,µm,Segment,3,1,1,100000005,510000000913,
3.61154,µm,Segment,3,2,1,100000005,510000000942,
3.44259,µm,Segment,4,2,1,100000005,510000000947,
3.41484,µm,Segment,4,3,1,100000005,510000000964,
3.72899,µm,Segment,3,1,1,100000006,510000000982,
2.99491,µm,Segment,2,2,1,100000006,510000001003,
