
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
144737,,Segment,1,1,Image 1,1,1,100000000,510000000001,
33286,,Segment,1,2,Image 1,1,1,100000000,510000000003,
104032,,Segment,1,3,Image 1,1,1,100000000,510000000007,
24192,,Segment,1,3,Image 1,2,1,100000000,510000000039,
18475,,Segment,1,2,Image 1,2,1,100000000,510000000051,
7793,,Segment,1,3,Image 1,2,1,100000000,510000000054,
9914,,Segment,1,3,Image 1,3,1,100000000,510000000060,
171213,,Segment,1,1,Image 1,1,1,100000000,510000000083,
26026,,Segment,1,2,Image 1,1,1,100000000,510000000098,
17534,,Segment,1,3,Image 1,1,1,100000000,510000000103,
10745,,Segment,1,3,Image 1,2,1,100000000,510000000123,
13334,,Segment,1,2,Image 1,1,1,100000000,510000000137,
24522,,Segment,1,3,Image 1,1,1,100000000,510000000139,
20356,,Segment,1,3,Image 1,2,1,100000000,510000000160,
26338,,Segment,1,2,Image 1,2,1,100000000,510000000181,
27370,,Segment,1,2,Image 1,2,1,100000000,510000000190,
24085,,Segment,1,2,Image 1,2,1,100000000,510000000208,
3788,,Segment,1,2,Image 1,1,1,100000001,510000000218,
2065,,Segment,1,3,Image 1,1,1,100000001,510000000225,
2174,,Segment,1,3,Image 1,2,1,100000001,510000000234,
3409,,Segment,1,2,Image 1,2,1,100000001,510000000244,
7411,,Segment,1,1,Image 1,1,1,100000001,510000000263,
3213,,Segment,1,2,Image 1,1,1,100000001,510000000265,
9007,,Segment,1,1,Image 1,1,1,100000001,510000000277,
4414,,Segment,1,2,Image 1,1,1,100000001,510000000280,
2613,,Segment,1,3,Image 1,1,1,100000001,510000000291,
3791,,Segment,1,3,Image 1,2,1,100000001,510000000304,
2106,,Segment,1,2,Image 1,2,1,100000001,510000000325,
4330,,Segment,1,3,Image 1,2,1,100000001,510000000335,
1826,,Segment,1,3,Image 1,3,1,100000001,510000000360,
8901,,Segment,1,1,Image 1,1,1,100000001,510000000372,
2233,,Segment,1,2,Image 1,2,1,100000001,510000000378,
1835,,Segment,1,3,Image 1,1,1,100000002,510000000392,
1433,,Segment,1,2,Image 1,2,1,100000002,510000000405,
13312,,Segment,1,1,Image 1,1,1,100000002,510000000415,
1566,,Segment,1,2,Image 1,1,1,100000002,510000000417,
2497,,Segment,1,4,Image 1,2,1,100000002,510000000430,
367,,Segment,1,4,Image 1,1,1,100000002,510000000449,
500,,Segment,1,5,Image 1,1,1,100000002,510000000451,
1015,,Segment,1,2,Image 1,2,1,100000002,510000000457,
570,,Segment,1,3,Image 1,2,1,100000002,510000000459,
618,,Segment,1,2,Image 1,2,1,100000002,510000000468,
976,,Segment,1,3,Image 1,2,1,100000002,510000000470,
287,,Segment,1,3,Image 1,3,1,100000002,510000000481,
634,,Segment,1,3,Image 1,2,1,100000002,510000000485,
702,,Segment,1,5,Image 1,2,1,100000002,510000000490,
14532,,Segment,1,1,Image 1,1,1,100000002,510000000503,
37328,,Segment,1,1,Image 1,1,1,100000003,510000000517,
2286,,Segment,1,1,Image 1,1,1,100000003,510000000532,
1428,,Segment,1,2,Image 1,1,1,100000003,510000000537,
1455,,Segment,1,2,Image 1,2,1,100000003,510000000547,
1338,,Segment,1,3,Image 1,2,1,100000003,510000000550,
574,,Segment,1,4,Image 1,2,1,100000003,510000000555,
1790,,Segment,1,5,Image 1,2,1,100000003,510000000558,
1652,,Segment,1,4,Image 1,3,1,100000003,510000000575,
1192,,Segment,1,3,Image 1,3,1,100000003,510000000585,
2719,,Segment,1,4,Image 1,3,1,100000003,510000000591,
1892,,Segment,1,4,Image 1,4,1,100000003,510000000611,
4218,,Segment,1,2,Image 1,3,1,100000003,510000000625,
2760,,Segment,1,5,Image 1,3,1,100000003,510000000650,
1571,,Segment,1,1,Image 1,2,1,100000003,510000000668,
1197,,Segment,1,2,Image 1,2,1,100000003,510000000672,
49668,,Segment,1,1,Image 1,1,1,100000004,510000000678,
6651,,Segment,1,2,Image 1,1,1,100000004,510000000680,
21544,,Segment,1,2,Image 1,1,1,100000004,510000000686,
2154,,Segment,1,3,Image 1,1,1,100000004,510000000700,
2468,,Segment,1,3,Image 1,2,1,100000004,510000000703,
56968,,Segment,1,1,Image 1,1,1,100000004,510000000705,
7645,,Segment,1,2,Image 1,1,1,100000004,510000000720,
