
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-60.4655,°,Segment,1,1,1,100000000,510000000001,
-59.3933,°,Segment,2,1,1,100000000,510000000003,
-31.8182,°,Segment,3,1,1,100000000,510000000007,
-78.8065,°,Segment,3,2,1,100000000,510000000039,
-111.559,°,Segment,2,2,1,100000000,510000000051,
-79.9637,°,Segment,3,2,1,100000000,510000000054,
-106.739,°,Segment,3,3,1,100000000,510000000060,
-131.353,°,Segment,1,1,1,100000000,510000000083,
-162.764,°,Segment,2,1,1,100000000,510000000098,
-162.524,°,Segment,3,1,1,100000000,510000000103,
-122.523,°,Segment,3,2,1,100000000,510000000123,
62.1087,°,Segment,2,1,1,100000000,510000000137,
62.0748,°,Segment,3,1,1,100000000,510000000139,
-11.3584,°,Segment,3,2,1,100000000,510000000160,
106.013,°,Segment,2,2,1,100000000,510000000181,
171.733,°,Segment,2,2,1,100000000,510000000190,
61.1922,°,Segment,2,2,1,100000000,510000000208,
31.6161,°,Segment,2,1,1,100000001,510000000218,
54.5591,°,Segment,3,1,1,100000001,510000000225,
-20.2872,°,Segment,3,2,1,100000001,510000000234,
77.1414,°,Segment,2,2,1,100000001,510000000244,
135.325,°,Segment,1,1,1,100000001,510000000263,
114.009,°,Segment,2,1,1,100000001,510000000265,
-129.289,°,Segment,1,1,1,100000001,510000000277,
-161.638,°,Segment,2,1,1,100000001,510000000280,
-166.31,°,Segment,3,1,1,100000001,510000000291,
-122.912,°,Segment,3,2,1,100000001,510000000304,
-126.156,°,Segment,2,2,1,100000001,510000000325,
-107.81,°,Segment,3,2,1,100000001,510000000335,
-112.345,°,Segment,3,3,1,100000001,510000000360,
-61.1264,°,Segment,1,1,1,100000001,510000000372,
-160.101,°,Segment,2,2,1,100000001,510000000378,
105.731,°,Segment,3,1,1,100000002,510000000392,
119.008,°,Segment,2,2,1,100000002,510000000405,
166.468,°,Segment,1,1,1,100000002,510000000415,
129.955,°,Segment,2,1,1,100000002,510000000417,
-95.2904,°,Segment,4,2,1,100000002,510000000430,
6.54977,°,Segment,4,1,1,100000002,510000000449,
-29.4359,°,Segment,5,1,1,100000002,510000000451,
23.5917,°,Segment,2,2,1,100000002,510000000457,
-14.1939,°,Segment,3,2,1,100000002,510000000459,
-92.0235,°,Segment,2,2,1,100000002,510000000468,
23.7651,°,Segment,3,2,1,100000002,510000000470,
37.0494,°,Segment,3,3,1,100000002,510000000481,
-129.225,°,Segment,3,2,1,100000002,510000000485,
-54.9891,°,Segment,5,2,1,100000002,510000000490,
131.311,°,Segment,1,1,1,100000002,510000000503,
110.181,°,Segment,1,1,1,100000003,510000000517,
29.4674,°,Segment,1,1,1,100000003,510000000532,
24.9233,°,Segment,2,1,1,100000003,510000000537,
-148.771,°,Segment,2,2,1,100000003,510000000547,
-161.193,°,Segment,3,2,1,100000003,510000000550,
-166.362,°,Segment,4,2,1,100000003,510000000555,
-152.752,°,Segment,5,2,1,100000003,510000000558,
-150.16,°,Segment,4,3,1,100000003,510000000575,
-79.3185,°,Segment,3,3,1,100000003,510000000585,
-70.121,°,Segment,4,3,1,100000003,510000000591,
-45.5041,°,Segment,4,4,1,100000003,510000000611,
-41.518,°,Segment,2,3,1,100000003,510000000625,
140.747,°,Segment,5,3,1,100000003,510000000650,
-24.8241,°,Segment,1,2,1,100000003,510000000668,
-30.6863,°,Segment,2,2,1,100000003,510000000672,
126.272,°,Segment,1,1,1,100000004,510000000678,
112.994,°,Segment,2,1,1,100000004,510000000680,
53.4114,°,Segment,2,1,1,100000004,510000000686,
77.9805,°,Segment,3,1,1,100000004,510000000700,
22.5944,°,Segment,3,2,1,100000004,510000000703,
67.0985,°,Segment,1,1,1,100000004,510000000705,
