
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
112692,10246,21,µm,Segment,Segment Position,0,1,1,100000003,510000001744,
112692,10246,21,µm,Segment,Segment Position,0,1,1,100000003,510000001746,
112125,9643.34,20.2738,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
112081,9599.27,12.0393,µm,Segment,Segment Position,1,1,1,100000000,510000000083,
111777,9963.23,19.8661,µm,Segment,Segment Position,1,1,1,100000001,510000000263,
111775,9956.25,20.0409,µm,Segment,Segment Position,1,1,1,100000001,510000000277,
111784,9948.4,18.4946,µm,Segment,Segment Position,1,1,1,100000001,510000000372,
111916,10269,11.1062,µm,Segment,Segment Position,1,1,1,100000002,510000000415,
111903,10294.7,14.4979,µm,Segment,Segment Position,1,1,1,100000002,510000000503,
112681,10276.8,13.5794,µm,Segment,Segment Position,1,1,1,100000003,510000000517,
112711,10262.2,18.6414,µm,Segment,Segment Position,1,1,1,100000003,510000000532,
111811,9698.74,3.89639,µm,Segment,Segment Position,1,1,1,100000004,510000000678,
111834,9755.16,0.555303,µm,Segment,Segment Position,1,1,1,100000004,510000000705,
112428,9282.62,14.0744,µm,Segment,Segment Position,1,1,1,100000006,510000001027,
112441,9314.93,19.6514,µm,Segment,Segment Position,1,1,1,100000006,510000001090,
112368,10053.8,20.4706,µm,Segment,Segment Position,1,1,1,100000007,510000001236,
112589,9393.42,14.6762,µm,Segment,Segment Position,1,1,1,100000008,510000001301,
112585,9452.9,8.90658,µm,Segment,Segment Position,1,1,1,100000008,510000001322,
112531,9394.51,7.13948,µm,Segment,Segment Position,1,1,1,100000008,510000001349,
112552,9376.77,6.5562,µm,Segment,Segment Position,1,1,1,100000008,510000001360,
112553,9404.96,2.564,µm,Segment,Segment Position,1,1,1,100000008,510000001373,
112419,9626.3,17.6621,µm,Segment,Segment Position,1,1,1,100000009,510000001468,
112381,9667.45,16.8291,µm,Segment,Segment Position,1,1,1,100000009,510000001489,
112351,9712.29,16.4376,µm,Segment,Segment Position,1,1,1,100000009,510000001514,
112384,9676.89,16.4462,µm,Segment,Segment Position,1,1,1,100000009,510000001533,
111484,9458.92,-2.02366,µm,Segment,Segment Position,1,1,1,100000010,510000001537,
111491,9488.69,-6.08713,µm,Segment,Segment Position,1,1,1,100000010,510000001626,
111848,9364.75,11.8087,µm,Segment,Segment Position,1,1,1,100000011,510000001726,
112123,9647.48,21,µm,Segment,Segment Position,1,1,1,100000000,510000001736,
112123,9647.48,21,µm,Segment,Segment Position,1,1,1,100000000,510000001737,
111778,9961.8,21,µm,Segment,Segment Position,1,1,1,100000001,510000001738,
111920,10268.2,11,µm,Segment,Segment Position,1,1,1,100000002,510000001739,
111920,10268.2,11,µm,Segment,Segment Position,1,1,1,100000002,510000001741,
111816,9693.09,3,µm,Segment,Segment Position,1,1,1,100000004,510000001747,
111816,9693.09,3,µm,Segment,Segment Position,1,1,1,100000004,510000001748,
112524,9207.64,21,µm,Segment,Segment Position,1,1,1,100000005,510000001750,
112524,9207.64,21,µm,Segment,Segment Position,1,1,1,100000005,510000001751,
112524,9207.64,21,µm,Segment,Segment Position,1,1,1,100000005,510000001752,
112419,9313.84,21,µm,Segment,Segment Position,1,1,1,100000006,510000001753,
