
Segment Position X
 ==================== 
Segment Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
112125,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
112141,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
112266,µm,Segment,Segment Position,3,1,1,100000000,510000000007,
112176,µm,Segment,Segment Position,3,2,1,100000000,510000000039,
112128,µm,Segment,Segment Position,2,2,1,100000000,510000000051,
112124,µm,Segment,Segment Position,3,2,1,100000000,510000000054,
112107,µm,Segment,Segment Position,3,3,1,100000000,510000000060,
112081,µm,Segment,Segment Position,1,1,1,100000000,510000000083,
112090,µm,Segment,Segment Position,2,1,1,100000000,510000000098,
112030,µm,Segment,Segment Position,3,1,1,100000000,510000000103,
112053,µm,Segment,Segment Position,3,2,1,100000000,510000000123,
112130,µm,Segment,Segment Position,2,1,1,100000000,510000000137,
112147,µm,Segment,Segment Position,3,1,1,100000000,510000000139,
112185,µm,Segment,Segment Position,3,2,1,100000000,510000000160,
112097,µm,Segment,Segment Position,2,2,1,100000000,510000000181,
112043,µm,Segment,Segment Position,2,2,1,100000000,510000000190,
112143,µm,Segment,Segment Position,2,2,1,100000000,510000000208,
111800,µm,Segment,Segment Position,2,1,1,100000001,510000000218,
111831,µm,Segment,Segment Position,3,1,1,100000001,510000000225,
111843,µm,Segment,Segment Position,3,2,1,100000001,510000000234,
111789,µm,Segment,Segment Position,2,2,1,100000001,510000000244,
111777,µm,Segment,Segment Position,1,1,1,100000001,510000000263,
111762,µm,Segment,Segment Position,2,1,1,100000001,510000000265,
111775,µm,Segment,Segment Position,1,1,1,100000001,510000000277,
111742,µm,Segment,Segment Position,2,1,1,100000001,510000000280,
111690,µm,Segment,Segment Position,3,1,1,100000001,510000000291,
111684,µm,Segment,Segment Position,3,2,1,100000001,510000000304,
111757,µm,Segment,Segment Position,2,2,1,100000001,510000000325,
111733,µm,Segment,Segment Position,3,2,1,100000001,510000000335,
111736,µm,Segment,Segment Position,3,3,1,100000001,510000000360,
111784,µm,Segment,Segment Position,1,1,1,100000001,510000000372,
111751,µm,Segment,Segment Position,2,2,1,100000001,510000000378,
111927,µm,Segment,Segment Position,3,1,1,100000002,510000000392,
111910,µm,Segment,Segment Position,2,2,1,100000002,510000000405,
111916,µm,Segment,Segment Position,1,1,1,100000002,510000000415,
111886,µm,Segment,Segment Position,2,1,1,100000002,510000000417,
111920,µm,Segment,Segment Position,4,2,1,100000002,510000000430,
111929,µm,Segment,Segment Position,4,1,1,100000002,510000000449,
111945,µm,Segment,Segment Position,5,1,1,100000002,510000000451,
111927,µm,Segment,Segment Position,2,2,1,100000002,510000000457,
111957,µm,Segment,Segment Position,3,2,1,100000002,510000000459,
111901,µm,Segment,Segment Position,2,2,1,100000002,510000000468,
