
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
9643.34,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
9614.37,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
9513.28,µm,Segment,Segment Position,3,1,1,100000000,510000000007,
9534.32,µm,Segment,Segment Position,3,2,1,100000000,510000000039,
9612.38,µm,Segment,Segment Position,2,2,1,100000000,510000000051,
9561.08,µm,Segment,Segment Position,3,2,1,100000000,510000000054,
9552.34,µm,Segment,Segment Position,3,3,1,100000000,510000000060,
9599.27,µm,Segment,Segment Position,1,1,1,100000000,510000000083,
9645.13,µm,Segment,Segment Position,2,1,1,100000000,510000000098,
9626.55,µm,Segment,Segment Position,3,1,1,100000000,510000000103,
9609.52,µm,Segment,Segment Position,3,2,1,100000000,510000000123,
9662.25,µm,Segment,Segment Position,2,1,1,100000000,510000000137,
9696.94,µm,Segment,Segment Position,3,1,1,100000000,510000000139,
9655.74,µm,Segment,Segment Position,3,2,1,100000000,510000000160,
9695.01,µm,Segment,Segment Position,2,2,1,100000000,510000000181,
9656.78,µm,Segment,Segment Position,2,2,1,100000000,510000000190,
9697.42,µm,Segment,Segment Position,2,2,1,100000000,510000000208,
9974.23,µm,Segment,Segment Position,2,1,1,100000001,510000000218,
10001.3,µm,Segment,Segment Position,3,1,1,100000001,510000000225,
9977.46,µm,Segment,Segment Position,3,2,1,100000001,510000000234,
9995.42,µm,Segment,Segment Position,2,2,1,100000001,510000000244,
9963.23,µm,Segment,Segment Position,1,1,1,100000001,510000000263,
9987.69,µm,Segment,Segment Position,2,1,1,100000001,510000000265,
9956.25,µm,Segment,Segment Position,1,1,1,100000001,510000000277,
9935.71,µm,Segment,Segment Position,2,1,1,100000001,510000000280,
9927.03,µm,Segment,Segment Position,3,1,1,100000001,510000000291,
9881.9,µm,Segment,Segment Position,3,2,1,100000001,510000000304,
9935.87,µm,Segment,Segment Position,2,2,1,100000001,510000000325,
9860.37,µm,Segment,Segment Position,3,2,1,100000001,510000000335,
9898.13,µm,Segment,Segment Position,3,3,1,100000001,510000000360,
9948.4,µm,Segment,Segment Position,1,1,1,100000001,510000000372,
9959.55,µm,Segment,Segment Position,2,2,1,100000001,510000000378,
10312.3,µm,Segment,Segment Position,3,1,1,100000002,510000000392,
