
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20.2738,µm,Segment,Segment Position,1,1,1,100000000,510000000001,
16.8248,µm,Segment,Segment Position,2,1,1,100000000,510000000003,
13.4041,µm,Segment,Segment Position,3,1,1,100000000,510000000007,
16.7151,µm,Segment,Segment Position,3,2,1,100000000,510000000039,
18.2168,µm,Segment,Segment Position,2,2,1,100000000,510000000051,
17.6161,µm,Segment,Segment Position,3,2,1,100000000,510000000054,
-1.59293,µm,Segment,Segment Position,3,3,1,100000000,510000000060,
12.0393,µm,Segment,Segment Position,1,1,1,100000000,510000000083,
15.0961,µm,Segment,Segment Position,2,1,1,100000000,510000000098,
-5.52909,µm,Segment,Segment Position,3,1,1,100000000,510000000103,
3.12126,µm,Segment,Segment Position,3,2,1,100000000,510000000123,
16.0408,µm,Segment,Segment Position,2,1,1,100000000,510000000137,
-5.61225,µm,Segment,Segment Position,3,1,1,100000000,510000000139,
-6.27027,µm,Segment,Segment Position,3,2,1,100000000,510000000160,
17.726,µm,Segment,Segment Position,2,2,1,100000000,510000000181,
8.33834,µm,Segment,Segment Position,2,2,1,100000000,510000000190,
15.1039,µm,Segment,Segment Position,2,2,1,100000000,510000000208,
16.3642,µm,Segment,Segment Position,2,1,1,100000001,510000000218,
16.6385,µm,Segment,Segment Position,3,1,1,100000001,510000000225,
16.5363,µm,Segment,Segment Position,3,2,1,100000001,510000000234,
4.18118,µm,Segment,Segment Position,2,2,1,100000001,510000000244,
19.8661,µm,Segment,Segment Position,1,1,1,100000001,510000000263,
9.10489,µm,Segment,Segment Position,2,1,1,100000001,510000000265,
20.0409,µm,Segment,Segment Position,1,1,1,100000001,510000000277,
16.7658,µm,Segment,Segment Position,2,1,1,100000001,510000000280,
7.91049,µm,Segment,Segment Position,3,1,1,100000001,510000000291,
17.7561,µm,Segment,Segment Position,3,2,1,100000001,510000000304,
12.1273,µm,Segment,Segment Position,2,2,1,100000001,510000000325,
12.9894,µm,Segment,Segment Position,3,2,1,100000001,510000000335,
-1.3333,µm,Segment,Segment Position,3,3,1,100000001,510000000360,
18.4946,µm,Segment,Segment Position,1,1,1,100000001,510000000372,
11.4786,µm,Segment,Segment Position,2,2,1,100000001,510000000378,
14.7785,µm,Segment,Segment Position,3,1,1,100000002,510000000392,
14.2759,µm,Segment,Segment Position,2,2,1,100000002,510000000405,
11.1062,µm,Segment,Segment Position,1,1,1,100000002,510000000415,
11.6431,µm,Segment,Segment Position,2,1,1,100000002,510000000417,
8.15744,µm,Segment,Segment Position,4,2,1,100000002,510000000430,
11.7926,µm,Segment,Segment Position,4,1,1,100000002,510000000449,
14.9981,µm,Segment,Segment Position,5,1,1,100000002,510000000451,
10.6226,µm,Segment,Segment Position,2,2,1,100000002,510000000457,
10.6476,µm,Segment,Segment Position,3,2,1,100000002,510000000459,
11.9049,µm,Segment,Segment Position,2,2,1,100000002,510000000468,
16.5223,µm,Segment,Segment Position,3,2,1,100000002,510000000470,
11.2252,µm,Segment,Segment Position,3,3,1,100000002,510000000481,
8.8631,µm,Segment,Segment Position,3,2,1,100000002,510000000485,
16.4603,µm,Segment,Segment Position,5,2,1,100000002,510000000490,
14.4979,µm,Segment,Segment Position,1,1,1,100000002,510000000503,
13.5794,µm,Segment,Segment Position,1,1,1,100000003,510000000517,
18.6414,µm,Segment,Segment Position,1,1,1,100000003,510000000532,
16.1382,µm,Segment,Segment Position,2,1,1,100000003,510000000537,
18.5257,µm,Segment,Segment Position,2,2,1,100000003,510000000547,
18.7759,µm,Segment,Segment Position,3,2,1,100000003,510000000550,
16.249,µm,Segment,Segment Position,4,2,1,100000003,510000000555,
-0.33073,µm,Segment,Segment Position,5,2,1,100000003,510000000558,
18.0802,µm,Segment,Segment Position,4,3,1,100000003,510000000575,
18.9241,µm,Segment,Segment Position,3,3,1,100000003,510000000585,
16.2079,µm,Segment,Segment Position,4,3,1,100000003,510000000591,
13.8393,µm,Segment,Segment Position,4,4,1,100000003,510000000611,
18.6598,µm,Segment,Segment Position,2,3,1,100000003,510000000625,
15.2252,µm,Segment,Segment Position,5,3,1,100000003,510000000650,
19.7972,µm,Segment,Segment Position,1,2,1,100000003,510000000668,
18.7835,µm,Segment,Segment Position,2,2,1,100000003,510000000672,
3.89639,µm,Segment,Segment Position,1,1,1,100000004,510000000678,
5.74835,µm,Segment,Segment Position,2,1,1,100000004,510000000680,
3.2863,µm,Segment,Segment Position,2,1,1,100000004,510000000686,
8.32653,µm,Segment,Segment Position,3,1,1,100000004,510000000700,
8.15563,µm,Segment,Segment Position,3,2,1,100000004,510000000703,
0.555303,µm,Segment,Segment Position,1,1,1,100000004,510000000705,
6.247,µm,Segment,Segment Position,2,1,1,100000004,510000000720,
7.93532,µm,Segment,Segment Position,3,1,1,100000004,510000000723,
6.92951,µm,Segment,Segment Position,4,1,1,100000004,510000000727,
6.67289,µm,Segment,Segment Position,4,2,1,100000004,510000000730,
3.64221,µm,Segment,Segment Position,3,2,1,100000004,510000000733,
6.55077,µm,Segment,Segment Position,2,2,1,100000004,510000000740,
6.68671,µm,Segment,Segment Position,3,2,1,100000004,510000000743,
1.48205,µm,Segment,Segment Position,4,2,1,100000004,510000000745,
1.86125,µm,Segment,Segment Position,2,2,1,100000004,510000000751,
3.87071,µm,Segment,Segment Position,3,3,1,100000004,510000000756,
10.0668,µm,Segment,Segment Position,2,2,1,100000004,510000000766,
13.3538,µm,Segment,Segment Position,2,2,1,100000004,510000000771,
9.25228,µm,Segment,Segment Position,3,2,1,100000004,510000000784,
18.0817,µm,Segment,Segment Position,2,1,1,100000005,510000000789,
