
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,1,1,1,100000000,510000000001,
0,1/10µm,Segment,2,1,1,100000000,510000000003,
0,1/10µm,Segment,3,1,1,100000000,510000000007,
0,1/10µm,Segment,3,2,1,100000000,510000000039,
0,1/10µm,Segment,2,2,1,100000000,510000000051,
0,1/10µm,Segment,3,2,1,100000000,510000000054,
0,1/10µm,Segment,3,3,1,100000000,510000000060,
0,1/10µm,Segment,1,1,1,100000000,510000000083,
0,1/10µm,Segment,2,1,1,100000000,510000000098,
0,1/10µm,Segment,3,1,1,100000000,510000000103,
0,1/10µm,Segment,3,2,1,100000000,510000000123,
0,1/10µm,Segment,2,1,1,100000000,510000000137,
0,1/10µm,Segment,3,1,1,100000000,510000000139,
0,1/10µm,Segment,3,2,1,100000000,510000000160,
0,1/10µm,Segment,2,2,1,100000000,510000000181,
0,1/10µm,Segment,2,2,1,100000000,510000000190,
0,1/10µm,Segment,2,2,1,100000000,510000000208,
0,1/10µm,Segment,2,1,1,100000001,510000000218,
0,1/10µm,Segment,3,1,1,100000001,510000000225,
0,1/10µm,Segment,3,2,1,100000001,510000000234,
0,1/10µm,Segment,2,2,1,100000001,510000000244,
0,1/10µm,Segment,1,1,1,100000001,510000000263,
0,1/10µm,Segment,2,1,1,100000001,510000000265,
0,1/10µm,Segment,1,1,1,100000001,510000000277,
0,1/10µm,Segment,2,1,1,100000001,510000000280,
0,1/10µm,Segment,3,1,1,100000001,510000000291,
0,1/10µm,Segment,3,2,1,100000001,510000000304,
0,1/10µm,Segment,2,2,1,100000001,510000000325,
0,1/10µm,Segment,3,2,1,100000001,510000000335,
0,1/10µm,Segment,3,3,1,100000001,510000000360,
0,1/10µm,Segment,1,1,1,100000001,510000000372,
0,1/10µm,Segment,2,2,1,100000001,510000000378,
0,1/10µm,Segment,3,1,1,100000002,510000000392,
0,1/10µm,Segment,2,2,1,100000002,510000000405,
0,1/10µm,Segment,1,1,1,100000002,510000000415,
0,1/10µm,Segment,2,1,1,100000002,510000000417,
0,1/10µm,Segment,4,2,1,100000002,510000000430,
0,1/10µm,Segment,4,1,1,100000002,510000000449,
0,1/10µm,Segment,5,1,1,100000002,510000000451,
0,1/10µm,Segment,2,2,1,100000002,510000000457,
0,1/10µm,Segment,3,2,1,100000002,510000000459,
0,1/10µm,Segment,2,2,1,100000002,510000000468,
0,1/10µm,Segment,3,2,1,100000002,510000000470,
0,1/10µm,Segment,3,3,1,100000002,510000000481,
0,1/10µm,Segment,3,2,1,100000002,510000000485,
0,1/10µm,Segment,5,2,1,100000002,510000000490,
0,1/10µm,Segment,1,1,1,100000002,510000000503,
0,1/10µm,Segment,1,1,1,100000003,510000000517,
0,1/10µm,Segment,1,1,1,100000003,510000000532,
