
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.999632,,Segment,1,1,1,100000000,510000000001,
0.997957,,Segment,2,1,1,100000000,510000000003,
0.977044,,Segment,3,1,1,100000000,510000000007,
0.923909,,Segment,3,2,1,100000000,510000000039,
0.959879,,Segment,2,2,1,100000000,510000000051,
0.993599,,Segment,3,2,1,100000000,510000000054,
0.855329,,Segment,3,3,1,100000000,510000000060,
0.988565,,Segment,1,1,1,100000000,510000000083,
0.987934,,Segment,2,1,1,100000000,510000000098,
0.977252,,Segment,3,1,1,100000000,510000000103,
0.880328,,Segment,3,2,1,100000000,510000000123,
0.986041,,Segment,2,1,1,100000000,510000000137,
0.985053,,Segment,3,1,1,100000000,510000000139,
0.967083,,Segment,3,2,1,100000000,510000000160,
0.969899,,Segment,2,2,1,100000000,510000000181,
0.97662,,Segment,2,2,1,100000000,510000000190,
0.944747,,Segment,2,2,1,100000000,510000000208,
0.992187,,Segment,2,1,1,100000001,510000000218,
0.988156,,Segment,3,1,1,100000001,510000000225,
0.983459,,Segment,3,2,1,100000001,510000000234,
0.91689,,Segment,2,2,1,100000001,510000000244,
0.997091,,Segment,1,1,1,100000001,510000000263,
0.990985,,Segment,2,1,1,100000001,510000000265,
0.99021,,Segment,1,1,1,100000001,510000000277,
0.988555,,Segment,2,1,1,100000001,510000000280,
0.927769,,Segment,3,1,1,100000001,510000000291,
0.986629,,Segment,3,2,1,100000001,510000000304,
0.885432,,Segment,2,2,1,100000001,510000000325,
0.94425,,Segment,3,2,1,100000001,510000000335,
0.969463,,Segment,3,3,1,100000001,510000000360,
0.98987,,Segment,1,1,1,100000001,510000000372,
0.899178,,Segment,2,2,1,100000001,510000000378,
0.910684,,Segment,3,1,1,100000002,510000000392,
0.986766,,Segment,2,2,1,100000002,510000000405,
0.999431,,Segment,1,1,1,100000002,510000000415,
0.972579,,Segment,2,1,1,100000002,510000000417,
0.950115,,Segment,4,2,1,100000002,510000000430,
0.93308,,Segment,4,1,1,100000002,510000000449,
0.970145,,Segment,5,1,1,100000002,510000000451,
0.982398,,Segment,2,2,1,100000002,510000000457,
0.994162,,Segment,3,2,1,100000002,510000000459,
0.991906,,Segment,2,2,1,100000002,510000000468,
0.929818,,Segment,3,2,1,100000002,510000000470,
0.957381,,Segment,3,3,1,100000002,510000000481,
0.7959,,Segment,3,2,1,100000002,510000000485,
0.86656,,Segment,5,2,1,100000002,510000000490,
0.940537,,Segment,1,1,1,100000002,510000000503,
0.984477,,Segment,1,1,1,100000003,510000000517,
0.97424,,Segment,1,1,1,100000003,510000000532,
0.981805,,Segment,2,1,1,100000003,510000000537,
0.989301,,Segment,2,2,1,100000003,510000000547,
0.994819,,Segment,3,2,1,100000003,510000000550,
0.99775,,Segment,4,2,1,100000003,510000000555,
0.98555,,Segment,5,2,1,100000003,510000000558,
0.957846,,Segment,4,3,1,100000003,510000000575,
0.994655,,Segment,3,3,1,100000003,510000000585,
0.925994,,Segment,4,3,1,100000003,510000000591,
0.972905,,Segment,4,4,1,100000003,510000000611,
0.930925,,Segment,2,3,1,100000003,510000000625,
0.970082,,Segment,5,3,1,100000003,510000000650,
0.997054,,Segment,1,2,1,100000003,510000000668,
0.979733,,Segment,2,2,1,100000003,510000000672,
0.999582,,Segment,1,1,1,100000004,510000000678,
0.989146,,Segment,2,1,1,100000004,510000000680,
0.97165,,Segment,2,1,1,100000004,510000000686,
0.995405,,Segment,3,1,1,100000004,510000000700,
0.999926,,Segment,3,2,1,100000004,510000000703,
0.969115,,Segment,1,1,1,100000004,510000000705,
0.957677,,Segment,2,1,1,100000004,510000000720,
0.992375,,Segment,3,1,1,100000004,510000000723,
0.999957,,Segment,4,1,1,100000004,510000000727,
0.915483,,Segment,4,2,1,100000004,510000000730,
0.995821,,Segment,3,2,1,100000004,510000000733,
0.980319,,Segment,2,2,1,100000004,510000000740,
0.99936,,Segment,3,2,1,100000004,510000000743,
0.9932,,Segment,4,2,1,100000004,510000000745,
0.981235,,Segment,2,2,1,100000004,510000000751,
0.966106,,Segment,3,3,1,100000004,510000000756,
0.9805,,Segment,2,2,1,100000004,510000000766,
0.848074,,Segment,2,2,1,100000004,510000000771,
0.927298,,Segment,3,2,1,100000004,510000000784,
0.970363,,Segment,2,1,1,100000005,510000000789,
0.913196,,Segment,2,2,1,100000005,510000000803,
0.864542,,Segment,2,2,1,100000005,510000000827,
0.991028,,Segment,2,2,1,100000005,510000000841,
0.920628,,Segment,2,2,1,100000005,510000000846,
0.992457,,Segment,2,1,1,100000005,510000000866,
0.963489,,Segment,3,1,1,100000005,510000000869,
0.980311,,Segment,2,2,1,100000005,510000000880,
0.962318,,Segment,3,2,1,100000005,510000000897,
0.990631,,Segment,2,1,1,100000005,510000000911,
0.887271,,Segment,3,1,1,100000005,510000000913,
0.678477,,Segment,3,2,1,100000005,510000000942,
0.997781,,Segment,4,2,1,100000005,510000000947,
0.971126,,Segment,4,3,1,100000005,510000000964,
0.986157,,Segment,3,1,1,100000006,510000000982,
0.959335,,Segment,2,2,1,100000006,510000001003,
0.8867,,Segment,1,1,1,100000006,510000001027,
0.894435,,Segment,3,2,1,100000006,510000001041,
0.937578,,Segment,3,2,1,100000006,510000001060,
0.978864,,Segment,1,1,1,100000006,510000001090,
0.993476,,Segment,2,1,1,100000007,510000001100,
0.984293,,Segment,3,1,1,100000007,510000001103,
0.899293,,Segment,4,1,1,100000007,510000001107,
0.99757,,Segment,5,1,1,100000007,510000001119,
0.876167,,Segment,5,2,1,100000007,510000001123,
0.999208,,Segment,3,2,1,100000007,510000001133,
0.960847,,Segment,4,2,1,100000007,510000001136,
0.924511,,Segment,4,3,1,100000007,510000001147,
0.946884,,Segment,3,1,1,100000007,510000001157,
0.98015,,Segment,3,2,1,100000007,510000001178,
0.985267,,Segment,4,2,1,100000007,510000001191,
0.947858,,Segment,4,3,1,100000007,510000001202,
0.977102,,Segment,2,2,1,100000007,510000001210,
0.999501,,Segment,1,1,1,100000007,510000001236,
0.956687,,Segment,2,1,1,100000007,510000001238,
0.953572,,Segment,2,2,1,100000007,510000001254,
0.954533,,Segment,2,2,1,100000007,510000001270,
0.961799,,Segment,4,2,1,100000007,510000001294,
0.931543,,Segment,1,1,1,100000008,510000001301,
0.884143,,Segment,1,1,1,100000008,510000001322,
0.990646,,Segment,1,1,1,100000008,510000001349,
0.926704,,Segment,1,1,1,100000008,510000001360,
0.999597,,Segment,1,1,1,100000008,510000001373,
0.965938,,Segment,2,1,1,100000008,510000001375,
0.994771,,Segment,3,1,1,100000008,510000001384,
0.856324,,Segment,3,2,1,100000008,510000001387,
0.989378,,Segment,4,2,1,100000008,510000001391,
0.973757,,Segment,4,3,1,100000008,510000001408,
0.938571,,Segment,2,2,1,100000008,510000001424,
0.975953,,Segment,2,1,1,100000009,510000001441,
0.930747,,Segment,2,2,1,100000009,510000001449,
0.968906,,Segment,1,1,1,100000009,510000001468,
0.999094,,Segment,1,1,1,100000009,510000001489,
0.999753,,Segment,2,2,1,100000009,510000001491,
0.938391,,Segment,3,1,1,100000009,510000001494,
0.985755,,Segment,3,2,1,100000009,510000001510,
0.962525,,Segment,1,1,1,100000009,510000001514,
0.998174,,Segment,1,1,1,100000009,510000001533,
0.995259,,Segment,1,1,1,100000010,510000001537,
0.975894,,Segment,2,1,1,100000010,510000001541,
0.914651,,Segment,2,2,1,100000010,510000001558,
0.990072,,Segment,2,1,1,100000010,510000001575,
0.927575,,Segment,2,2,1,100000010,510000001584,
0.930107,,Segment,2,2,1,100000010,510000001609,
0.963266,,Segment,1,1,1,100000010,510000001626,
0.997214,,Segment,2,1,1,100000010,510000001636,
0.979144,,Segment,2,2,1,100000010,510000001640,
0.991128,,Segment,3,2,1,100000010,510000001649,
0.91793,,Segment,3,3,1,100000010,510000001652,
0.994518,,Segment,2,1,1,100000010,510000001659,
0.96095,,Segment,3,1,1,100000010,510000001662,
0.910007,,Segment,3,2,1,100000010,510000001672,
0.978888,,Segment,2,1,1,100000011,510000001682,
0.9913,,Segment,2,2,1,100000011,510000001692,
0.98107,,Segment,3,3,1,100000011,510000001695,
0.998268,,Segment,2,1,1,100000011,510000001716,
0.92412,,Segment,3,2,1,100000011,510000001718,
0.980355,,Segment,3,1,1,100000011,510000001719,
0.994256,,Segment,1,1,1,100000011,510000001726,
1,,Segment,1,1,1,100000000,510000001736,
1,,Segment,1,1,1,100000000,510000001737,
1,,Segment,1,1,1,100000001,510000001738,
1,,Segment,1,1,1,100000002,510000001739,
1,,Segment,2,1,1,100000002,510000001740,
1,,Segment,1,1,1,100000002,510000001741,
1,,Segment,2,1,1,100000002,510000001742,
1,,Segment,3,1,1,100000002,510000001743,
1,,Segment,0,1,1,100000003,510000001744,
1,,Segment,1,2,1,100000003,510000001745,
1,,Segment,0,1,1,100000003,510000001746,
1,,Segment,1,1,1,100000004,510000001747,
1,,Segment,1,1,1,100000004,510000001748,
1,,Segment,4,3,1,100000004,510000001749,
1,,Segment,1,1,1,100000005,510000001750,
1,,Segment,1,1,1,100000005,510000001751,
1,,Segment,1,1,1,100000005,510000001752,
1,,Segment,1,1,1,100000006,510000001753,
1,,Segment,2,1,1,100000006,510000001754,
1,,Segment,1,1,1,100000007,510000001755,
1,,Segment,1,1,1,100000007,510000001756,
1,,Segment,2,1,1,100000007,510000001757,
1,,Segment,1,1,1,100000009,510000001758,
1,,Segment,2,1,1,100000009,510000001759,
1,,Segment,1,1,1,100000010,510000001760,
1,,Segment,1,1,1,100000010,510000001761,
1,,Segment,1,1,1,100000011,510000001762,
1,,Segment,3,2,1,100000011,510000001763,
1,,Segment,1,1,1,100000011,510000001764,
1,,Segment,2,2,1,100000011,510000001765,
